,pkg_received_utc_ts,package_tracking_number,scac,Pallet,Linehaul,Partition
0,57.01666667,PKG000001,UPSN,1,A,UPSN
1,57.01666667,PKG000002,UPSN,1,A,UPSN
2,57.01666667,PKG000003,UPSN,1,A,UPSN
3,57.01666667,PKG000004,UPSN,1,A,UPSN
4,57.01666667,PKG000005,UPSN,1,A,UPSN
5,57.01666667,PKG000006,FDEG,1,A,FDEG
6,57.01666667,PKG000007,FDEG,1,A,FDEG
7,57.01666667,PKG000008,FDEG,1,A,FDEG
8,57.01666667,PKG000009,FDEG,1,A,FDEG
9,57.01666667,PKG000010,FDEG,1,A,FDEG
10,57.01666667,PKG000011,FDEG,1,A,FDEG
11,57.01666667,PKG000012,FDEG,1,A,FDEG
12,57.01666667,PKG000013,USPS,1,A,USPS
13,57.01666667,PKG000014,TLMD,1,A,3AB
14,57.01666667,PKG000015,TLMD,1,A,1
15,57.01666667,PKG000016,TLMD,1,A,2
16,57.01666667,PKG000017,TLMD,1,A,2
17,57.01666667,PKG000018,TLMD,1,A,1
18,57.01666667,PKG000019,TLMD,1,A,1
19,57.01666667,PKG000020,TLMD,1,A,1
20,57.01666667,PKG000021,TLMD,1,A,1
21,57.01666667,PKG000022,TLMD,1,A,1
22,57.01666667,PKG000023,TLMD,1,A,2
23,57.01666667,PKG000024,TLMD,1,A,2
24,57.01666667,PKG000025,TLMD,1,A,1
25,57.01666667,PKG000026,TLMD,1,A,2
26,57.01666667,PKG000027,TLMD,1,A,1
27,57.01666667,PKG000028,TLMD,1,A,2
28,57.01666667,PKG000029,TLMD,1,A,1
29,57.01666667,PKG000030,TLMD,1,A,1
30,57.01666667,PKG000031,TLMD,1,A,1
31,57.01666667,PKG000032,TLMD,1,A,2
32,57.01666667,PKG000033,TLMD,1,A,1
33,57.01666667,PKG000034,TLMD,1,A,2
34,57.01666667,PKG000035,TLMD,1,A,1
35,57.01666667,PKG000036,TLMD,1,A,2
36,57.01666667,PKG000037,TLMD,1,A,2
37,57.01666667,PKG000038,UPSN,1,A,UPSN
38,57.01666667,PKG000039,UPSN,1,A,UPSN
39,57.01666667,PKG000040,UPSN,1,A,UPSN
40,57.01666667,PKG000041,UPSN,1,A,UPSN
41,57.01666667,PKG000042,FDEG,1,A,FDEG
42,57.01666667,PKG000043,FDEG,1,A,FDEG
43,57.01666667,PKG000044,FDEG,1,A,FDEG
44,57.01666667,PKG000045,FDEG,1,A,FDEG
45,57.01666667,PKG000046,FDEG,1,A,FDEG
46,57.01666667,PKG000047,FDEG,1,A,FDEG
47,57.01666667,PKG000048,FDEG,1,A,FDEG
48,57.01666667,PKG000049,USPS,1,A,USPS
49,57.01666667,PKG000050,TLMD,1,A,2
50,57.01666667,PKG000051,TLMD,1,A,1
51,57.01666667,PKG000052,TLMD,1,A,2
52,57.01666667,PKG000053,TLMD,1,A,2
53,57.01666667,PKG000054,TLMD,1,A,1
54,57.01666667,PKG000055,TLMD,1,A,1
55,57.01666667,PKG000056,TLMD,1,A,1
56,57.01666667,PKG000057,TLMD,1,A,3AB
57,57.01666667,PKG000058,TLMD,1,A,2
58,57.01666667,PKG000059,TLMD,1,A,1
59,57.01666667,PKG000060,TLMD,1,A,2
60,57.01666667,PKG000061,TLMD,1,A,2
61,57.01666667,PKG000062,TLMD,1,A,1
62,57.01666667,PKG000063,TLMD,1,A,1
63,57.01666667,PKG000064,TLMD,1,A,2
64,57.01666667,PKG000065,TLMD,1,A,1
65,57.01666667,PKG000066,TLMD,1,A,1
66,57.01666667,PKG000067,TLMD,1,A,1
67,57.01666667,PKG000068,TLMD,1,A,1
68,57.01666667,PKG000069,TLMD,1,A,2
69,57.01666667,PKG000070,TLMD,1,A,2
70,57.01666667,PKG000071,TLMD,1,A,2
71,57.01666667,PKG000072,TLMD,1,A,2
72,57.01666667,PKG000073,TLMD,1,A,2
73,57.01666667,PKG000074,TLMD,1,A,3AB
74,57.01666667,PKG000075,TLMD,1,A,2
75,57.01666667,PKG000076,TLMD,1,A,2
76,57.01666667,PKG000077,TLMD,1,A,1
77,57.01666667,PKG000078,TLMD,1,A,1
78,57.01666667,PKG000079,TLMD,1,A,2
79,57.01666667,PKG000080,TLMD,1,A,2
80,57.01666667,PKG000081,TLMD,1,A,1
81,57.01666667,PKG000082,UPSN,2,A,UPSN
82,57.01666667,PKG000083,UPSN,2,A,UPSN
83,57.01666667,PKG000084,UPSN,2,A,UPSN
84,57.01666667,PKG000085,UPSN,2,A,UPSN
85,57.01666667,PKG000086,FDEG,2,A,FDEG
86,57.01666667,PKG000087,FDEG,2,A,FDEG
87,57.01666667,PKG000088,FDEG,2,A,FDEG
88,57.01666667,PKG000089,FDEG,2,A,FDEG
89,57.01666667,PKG000090,USPS,2,A,USPS
90,57.01666667,PKG000091,TLMD,2,A,3AB
91,57.01666667,PKG000092,TLMD,2,A,1
92,57.01666667,PKG000093,TLMD,2,A,2
93,57.01666667,PKG000094,TLMD,2,A,1
94,57.01666667,PKG000095,TLMD,2,A,1
95,57.01666667,PKG000096,TLMD,2,A,2
96,57.01666667,PKG000097,TLMD,2,A,2
97,57.01666667,PKG000098,TLMD,2,A,1
98,57.01666667,PKG000099,TLMD,2,A,1
99,57.01666667,PKG000100,TLMD,2,A,1
100,57.01666667,PKG000101,TLMD,2,A,1
101,57.01666667,PKG000102,TLMD,2,A,2
102,57.01666667,PKG000103,TLMD,2,A,1
103,57.01666667,PKG000104,TLMD,2,A,2
104,57.01666667,PKG000105,TLMD,2,A,2
105,57.01666667,PKG000106,TLMD,2,A,3AB
106,57.01666667,PKG000107,TLMD,2,A,1
107,57.01666667,PKG000108,TLMD,2,A,1
108,57.01666667,PKG000109,UPSN,2,A,UPSN
109,57.01666667,PKG000110,UPSN,2,A,UPSN
110,57.01666667,PKG000111,UPSN,2,A,UPSN
111,57.01666667,PKG000112,FDEG,2,A,FDEG
112,57.01666667,PKG000113,FDEG,2,A,FDEG
113,57.01666667,PKG000114,FDEG,2,A,FDEG
114,57.01666667,PKG000115,FDEG,2,A,FDEG
115,57.01666667,PKG000116,FDEG,2,A,FDEG
116,57.01666667,PKG000117,FDEG,2,A,FDEG
117,57.01666667,PKG000118,USPS,2,A,USPS
118,57.01666667,PKG000119,TLMD,2,A,1
119,57.01666667,PKG000120,TLMD,2,A,3AB
120,57.01666667,PKG000121,TLMD,2,A,1
121,57.01666667,PKG000122,TLMD,2,A,1
122,57.01666667,PKG000123,TLMD,2,A,1
123,57.01666667,PKG000124,TLMD,2,A,2
124,57.01666667,PKG000125,TLMD,2,A,1
125,57.01666667,PKG000126,TLMD,2,A,2
126,57.01666667,PKG000127,TLMD,2,A,1
127,57.01666667,PKG000128,TLMD,2,A,1
128,57.01666667,PKG000129,TLMD,2,A,2
129,57.01666667,PKG000130,TLMD,2,A,1
130,57.01666667,PKG000131,TLMD,2,A,2
131,57.01666667,PKG000132,TLMD,2,A,1
132,57.01666667,PKG000133,TLMD,2,A,2
133,57.01666667,PKG000134,TLMD,2,A,1
134,57.01666667,PKG000135,TLMD,2,A,1
135,57.01666667,PKG000136,TLMD,2,A,1
136,57.01666667,PKG000137,TLMD,2,A,3AB
137,57.01666667,PKG000138,TLMD,2,A,2
138,57.01666667,PKG000139,TLMD,2,A,1
139,57.01666667,PKG000140,TLMD,2,A,1
140,57.01666667,PKG000141,TLMD,2,A,1
141,57.01666667,PKG000142,UPSN,3,A,UPSN
142,57.01666667,PKG000143,UPSN,3,A,UPSN
143,57.01666667,PKG000144,UPSN,3,A,UPSN
144,57.01666667,PKG000145,UPSN,3,A,UPSN
145,57.01666667,PKG000146,UPSN,3,A,UPSN
146,57.01666667,PKG000147,FDEG,3,A,FDEG
147,57.01666667,PKG000148,FDEG,3,A,FDEG
148,57.01666667,PKG000149,FDEG,3,A,FDEG
149,57.01666667,PKG000150,FDEG,3,A,FDEG
150,57.01666667,PKG000151,USPS,3,A,USPS
151,57.01666667,PKG000152,USPS,3,A,USPS
152,57.01666667,PKG000153,TLMD,3,A,2
153,57.01666667,PKG000154,TLMD,3,A,1
154,57.01666667,PKG000155,TLMD,3,A,3AB
155,57.01666667,PKG000156,TLMD,3,A,3AB
156,57.01666667,PKG000157,TLMD,3,A,2
157,57.01666667,PKG000158,TLMD,3,A,2
158,57.01666667,PKG000159,TLMD,3,A,2
159,57.01666667,PKG000160,TLMD,3,A,1
160,57.01666667,PKG000161,TLMD,3,A,2
161,57.01666667,PKG000162,TLMD,3,A,1
162,57.01666667,PKG000163,TLMD,3,A,2
163,57.01666667,PKG000164,TLMD,3,A,1
164,57.01666667,PKG000165,TLMD,3,A,1
165,57.01666667,PKG000166,TLMD,3,A,2
166,57.01666667,PKG000167,FDEG,3,A,FDEG
167,57.01666667,PKG000168,FDEG,3,A,FDEG
168,57.01666667,PKG000169,FDEG,3,A,FDEG
169,57.01666667,PKG000170,USPS,3,A,USPS
170,57.01666667,PKG000171,USPS,3,A,USPS
171,57.01666667,PKG000172,USPS,3,A,USPS
172,57.01666667,PKG000173,USPS,3,A,USPS
173,57.01666667,PKG000174,USPS,3,A,USPS
174,57.01666667,PKG000175,TLMD,3,A,1
175,57.01666667,PKG000176,TLMD,3,A,3AB
176,57.01666667,PKG000177,TLMD,3,A,2
177,57.01666667,PKG000178,TLMD,3,A,2
178,57.01666667,PKG000179,TLMD,3,A,1
179,57.01666667,PKG000180,TLMD,3,A,1
180,57.01666667,PKG000181,TLMD,3,A,2
181,57.01666667,PKG000182,TLMD,3,A,3AB
182,57.01666667,PKG000183,TLMD,3,A,1
183,57.01666667,PKG000184,TLMD,3,A,3AB
184,57.01666667,PKG000185,TLMD,3,A,3AB
185,57.01666667,PKG000186,TLMD,3,A,1
186,57.01666667,PKG000187,TLMD,3,A,1
187,57.01666667,PKG000188,TLMD,3,A,2
188,57.01666667,PKG000189,UPSN,4,A,UPSN
189,57.01666667,PKG000190,FDEG,4,A,FDEG
190,57.01666667,PKG000191,FDEG,4,A,FDEG
191,57.01666667,PKG000192,FDEG,4,A,FDEG
192,57.01666667,PKG000193,FDEG,4,A,FDEG
193,57.01666667,PKG000194,FDEG,4,A,FDEG
194,57.01666667,PKG000195,USPS,4,A,USPS
195,57.01666667,PKG000196,USPS,4,A,USPS
196,57.01666667,PKG000197,USPS,4,A,USPS
197,57.01666667,PKG000198,USPS,4,A,USPS
198,57.01666667,PKG000199,USPS,4,A,USPS
199,57.01666667,PKG000200,USPS,4,A,USPS
200,57.01666667,PKG000201,USPS,4,A,USPS
201,57.01666667,PKG000202,USPS,4,A,USPS
202,57.01666667,PKG000203,TLMD,4,A,2
203,57.01666667,PKG000204,TLMD,4,A,2
204,57.01666667,PKG000205,TLMD,4,A,2
205,57.01666667,PKG000206,TLMD,4,A,2
206,57.01666667,PKG000207,TLMD,4,A,2
207,57.01666667,PKG000208,TLMD,4,A,2
208,57.01666667,PKG000209,TLMD,4,A,2
209,57.01666667,PKG000210,TLMD,4,A,2
210,57.01666667,PKG000211,TLMD,4,A,2
211,57.01666667,PKG000212,TLMD,4,A,2
212,57.01666667,PKG000213,TLMD,4,A,1
213,57.01666667,PKG000214,TLMD,4,A,1
214,57.01666667,PKG000215,TLMD,4,A,1
215,57.01666667,PKG000216,TLMD,4,A,1
216,57.01666667,PKG000217,TLMD,4,A,1
217,57.01666667,PKG000218,TLMD,4,A,3AB
218,57.01666667,PKG000219,TLMD,4,A,2
219,57.01666667,PKG000220,TLMD,4,A,1
220,57.01666667,PKG000221,TLMD,4,A,1
221,57.01666667,PKG000222,TLMD,4,A,1
222,57.01666667,PKG000223,TLMD,4,A,3AB
223,57.01666667,PKG000224,TLMD,4,A,2
224,57.01666667,PKG000225,TLMD,4,A,1
225,57.01666667,PKG000226,TLMD,4,A,1
226,57.01666667,PKG000227,TLMD,4,A,2
227,57.01666667,PKG000228,TLMD,4,A,3AB
228,57.01666667,PKG000229,UPSN,4,A,UPSN
229,57.01666667,PKG000230,UPSN,4,A,UPSN
230,57.01666667,PKG000231,FDEG,4,A,FDEG
231,57.01666667,PKG000232,FDEG,4,A,FDEG
232,57.01666667,PKG000233,FDEG,4,A,FDEG
233,57.01666667,PKG000234,FDEG,4,A,FDEG
234,57.01666667,PKG000235,FDEG,4,A,FDEG
235,57.01666667,PKG000236,FDEG,4,A,FDEG
236,57.01666667,PKG000237,USPS,4,A,USPS
237,57.01666667,PKG000238,USPS,4,A,USPS
238,57.01666667,PKG000239,TLMD,4,A,3AB
239,57.01666667,PKG000240,TLMD,4,A,1
240,57.01666667,PKG000241,TLMD,4,A,1
241,57.01666667,PKG000242,TLMD,4,A,1
242,57.01666667,PKG000243,TLMD,4,A,1
243,57.01666667,PKG000244,TLMD,4,A,2
244,57.01666667,PKG000245,TLMD,4,A,1
