,Truck_1_Arrival,Truck_2_Arrival,Truck_3_Arrival,Truck_4_Arrival,Truck_5_Arrival,Truck_6_Arrival,Truck_7_Arrival,Truck_8_Arrival,Truck_9_Arrival,Truck_10_Arrival,Truck_11_Arrival,Truck_12_Arrival,Truck_13_Arrival,Truck_14_Arrival,Truck_15_Arrival,Truck_1_Volume,Truck_2_Volume,Truck_3_Volume,Truck_4_Volume,Truck_5_Volume,Truck_6_Volume,Truck_7_Volume,Truck_8_Volume,Truck_9_Volume,Truck_10_Volume,Truck_11_Volume,Truck_12_Volume,Truck_13_Volume,Truck_14_Volume,Truck_15_Volume
1,70.5105459,131.8240798,124.2819624,113.5370134,143.2873442,142.3612639,176.9283678,242.9793053,216.8570779,250.1014631,179.0222837,910.0295219,922.5801094,978.336048,968.1182514,429,524,630,203,314,619,152,198,452,969,239,229,73,67,228
2,51.59758489,116.6068454,129.9305695,106.3373817,126.7030982,183.3994914,211.3097266,217.1066589,285.5906667,247.4209386,204.1036572,900.5730199,935.9991278,975.639724,888.6622814,326,521,644,103,281,650,85,533,642,482,413,212,269,105,114
3,54.74156548,101.2802267,111.8937592,104.0372174,132.8275632,212.901208,189.3313528,219.818653,218.7809638,255.6646911,182.9511143,934.2938681,948.1930056,962.9712826,841.4171489,523,618,629,253,406,556,144,498,631,594,241,321,269,192,126
4,23.37194726,85.14745814,129.9848904,107.472574,128.5274235,143.6528809,153.3930422,212.4446396,180.2996993,243.1601097,229.5574901,916.5024865,984.5972719,949.9270508,919.9062447,676,521,476,482,660,544,238,569,749,1161,282,30,110,148,43
5,53.21988497,92.82243028,132.7527406,119.5872841,138.5781206,139.8323404,210.1696357,221.1482523,220.7558615,263.0196777,167.6065742,959.4579678,957.2182368,986.9677556,880.4444369,297,653,777,562,742,675,0,503,472,508,372,172,169,100,102
6,59.61958649,100.5979429,145.3085926,160.310105,90.64543015,179.5506175,172.1882407,214.6340781,229.2164636,255.2124183,239.6283282,906.5918951,950.2276036,978.4898034,846.9738606,425,571,579,308,600,679,233,626,703,715,347,266,350,153,130
7,88.10647817,70.43225297,132.5096303,64.65868723,163.3935835,156.1557117,183.2645252,239.0544959,223.1417727,259.2006722,143.5326399,979.2761405,822.0822928,950.4964629,856.1676657,605,285,559,142,59,977,0,460,379,444,424,192,148,80,65
8,66.31611062,55.12646372,141.9466021,140.244607,206.8719787,154.9386827,155.6764474,200.9379387,240.9163851,230.6336045,225.6962011,925.6704149,923.7102464,952.6351991,895.0845971,273,500,683,320,281,593,288,569,498,585,479,231,58,31,246
9,37.37964113,78.18172183,97.60810182,118.2846811,120.2583633,169.0917957,173.9920894,234.9604797,234.0081631,241.5084209,224.1771845,975.1811659,1009.886708,954.4735841,902.0622994,243,539,1021,84,337,874,362,581,172,722,209,226,344,109,171
10,52.10250216,71.19094923,131.6514278,102.7748017,104.353189,160.0622209,159.8101641,218.9226196,224.8851035,258.5032251,243.194907,947.5873354,882.602743,978.81298,818.0348259,567,700,660,319,532,776,43,445,237,500,620,61,188,171,234
11,48.27336649,105.6313554,126.9906088,129.5818942,140.6781895,166.6590911,221.3623111,229.6808764,227.9329199,264.4106308,195.7611584,907.3897631,961.0457279,936.9296576,908.8210452,420,241,511,375,591,607,80,563,929,442,277,164,112,247,157
12,67.36517411,101.1302751,120.6208975,155.5848189,86.47667548,187.4712632,139.687008,238.4303504,201.8530639,244.4252738,210.8969785,933.1554618,927.635017,970.7378114,948.7119463,399,577,629,565,650,444,0,287,897,715,488,219,249,127,151
13,47.03560939,94.83891903,142.6501764,123.7436426,90.81945469,200.7084231,189.7641555,205.6446756,223.810475,228.3921057,283.3901044,956.579334,913.7213545,1016.080391,811.3072021,427,606,488,615,771,694,241,464,444,734,271,246,315,104,180
14,54.05628542,105.9199459,105.5736906,114.6035065,103.6992751,179.6281756,232.1836197,205.0280924,229.9953675,279.4062808,238.7413369,925.7569408,969.5253766,967.560247,863.8538292,108,657,407,0,750,772,187,556,312,698,253,207,128,112,128
15,61.72947696,118.0910882,72.48487182,102.0473038,116.7448701,167.8144255,203.6899699,212.5813693,245.3380446,266.6091218,265.0625819,930.1994165,968.8834857,982.8243542,941.227934,419,473,798,397,432,543,397,475,631,831,421,51,223,120,229
16,58.76349,86.15565311,75.05317796,158.0111984,104.3047735,179.676967,186.788827,225.7751021,189.2153333,223.4781239,182.9549165,951.9583435,884.8671849,971.8910653,930.0559162,177,551,523,468,251,697,138,577,717,545,310,218,369,115,127
17,18.50878167,104.6911679,88.1717106,86.92186125,123.2416789,170.0282588,169.5051505,217.6472807,217.2715363,286.2845826,218.2963595,916.3380287,941.0896899,913.382622,954.0767697,462,378,588,404,669,658,75,518,738,916,286,186,381,98,130
18,70.6860161,96.57806972,124.3359796,96.9836503,159.080302,149.1106442,190.0018979,196.7235127,194.4788603,272.5063261,210.4653004,957.7137154,962.489109,970.5815937,861.159873,395,509,755,285,293,754,86,651,756,536,293,178,220,66,232
19,60.19620773,126.2842893,124.6102281,148.5003412,138.2965336,125.8663733,227.3446529,222.9328413,213.6309582,261.2309994,230.7323243,952.7621404,898.900371,970.1150313,824.4923489,248,588,671,328,452,511,372,545,1107,912,436,165,175,68,87
20,70.0997469,100.4220848,106.1425618,90.72556978,86.55763408,155.4573047,174.479992,230.359144,244.3779347,241.9075913,160.7619691,940.7589791,927.4517499,971.4197994,941.5410249,318,463,646,345,806,681,183,435,933,735,260,181,281,78,120
21,83.44330634,91.39030801,69.86058241,121.4796665,133.2818232,160.2726122,175.5350227,229.1023057,221.6341553,264.0947132,253.3752398,935.381511,930.9070531,975.419116,918.4145518,684,449,576,378,117,557,179,326,411,906,487,142,163,162,134
22,37.47332112,156.5615891,131.0796307,119.0940762,132.1697437,183.9039469,125.4776867,233.0102706,273.0471683,251.4379706,215.3455405,918.6767141,985.9754966,1015.343067,789.1101791,269,389,219,365,525,671,240,556,737,424,389,68,127,202,188
23,34.5030583,129.2235234,114.0684213,103.7278029,124.2698136,168.6362411,280.9351292,220.5758454,228.3650943,241.5613016,201.8499003,943.5711719,940.9749422,962.308702,872.3820678,490,377,692,235,699,599,187,439,634,750,442,270,250,66,273
24,56.65149267,121.2787634,112.4937836,169.7740027,88.10988198,163.2212107,172.6972131,238.5156449,213.5077139,208.2259974,236.8854281,924.6774313,902.1093088,999.0405421,872.0267441,395,846,546,185,410,796,221,414,557,705,207,178,59,209,112
25,62.37792479,93.15449273,145.3557289,112.109625,100.2736227,145.8024885,193.4526049,206.0231465,202.2519006,274.4192879,261.4305573,929.4309467,906.5312511,1030.971864,817.5761389,488,794,645,368,287,1001,85,255,635,608,467,146,376,287,221
26,75.61040805,80.99208112,143.3429659,145.0233067,192.4022175,158.171215,177.6029783,213.0736272,194.2961543,230.9481177,226.8870149,972.8207532,891.5889054,982.6045019,918.9386875,518,718,1046,84,512,997,0,585,482,625,176,20,359,177,188
27,52.24493538,137.4006313,72.62644604,158.0871104,116.1010893,152.2524442,158.2816454,222.7268584,230.2155344,238.0264163,294.585867,933.1761995,957.5470341,986.8292768,877.0149514,484,164,923,298,408,779,81,434,972,741,202,229,325,185,228
28,73.94470981,99.89663844,84.59901433,177.6799695,146.1119165,169.4272822,157.7143258,243.8023308,218.1777431,235.0791484,206.1215081,930.517314,926.1398589,919.9311662,917.3398318,461,527,633,292,792,642,221,501,907,831,352,0,81,172,155
29,44.27939611,94.04315676,75.34478298,92.57573535,138.6040485,177.0513286,170.4536318,211.5868559,264.7073357,228.7240056,250.4184298,943.8121395,901.6108245,979.4413127,975.6851182,395,300,842,211,626,635,405,730,792,702,268,99,145,94,154
30,58.90439958,72.9515562,134.146985,156.4243749,102.6252582,157.6054627,164.8099793,230.3390674,219.485767,220.9631366,218.4381272,945.8598587,967.9298168,995.2527859,825.152492,120,325,559,228,498,444,418,395,376,1020,254,40,153,185,105
31,33.60506086,51.31467044,105.6293426,105.2285954,102.6383584,194.8570856,168.9092728,225.7859714,245.8555166,256.860276,230.8866438,933.0516246,882.1250134,990.3628923,930.7890244,379,279,772,274,749,479,307,648,534,1016,409,115,279,66,193
32,86.79521614,124.4071353,100.666869,146.9922522,119.9311121,151.0441186,168.7866614,205.7220548,174.1051085,274.4133708,224.1420944,944.3711205,920.1754572,973.3951596,1009.634046,295,1007,439,373,722,464,233,475,502,940,270,105,481,210,219
