,pkg_received_utc_ts,package_tracking_number,scac,Pallet,Linehaul,Partition
0,68.21829275,PKG000001,TLMD,1,A,2
1,68.21829275,PKG000002,TLMD,1,A,2
2,68.21829275,PKG000003,TLMD,1,A,1
3,68.21829275,PKG000004,TLMD,1,A,1
4,68.21829275,PKG000005,TLMD,1,A,1
5,68.21829275,PKG000006,TLMD,1,A,3AB
6,68.21829275,PKG000007,FDEG,1,A,FDEG
7,68.21829275,PKG000008,UPSN,1,A,UPSN
8,68.21829275,PKG000009,TLMD,1,A,1
9,68.21829275,PKG000010,TLMD,1,A,2
10,68.21829275,PKG000011,TLMD,1,A,1
11,68.21829275,PKG000012,TLMD,1,A,3AB
12,68.21829275,PKG000013,TLMD,1,A,1
13,68.21829275,PKG000014,FDEG,1,A,FDEG
14,68.21829275,PKG000015,UPSN,1,A,UPSN
15,68.21829275,PKG000016,TLMD,1,A,1
16,68.21829275,PKG000017,TLMD,1,A,1
17,68.21829275,PKG000018,TLMD,1,A,2
18,68.21829275,PKG000019,TLMD,1,A,1
19,68.21829275,PKG000020,USPS,1,A,USPS
20,68.21829275,PKG000021,FDEG,1,A,FDEG
21,68.21829275,PKG000022,TLMD,1,A,1
22,68.21829275,PKG000023,TLMD,1,A,2
23,68.21829275,PKG000024,TLMD,1,A,3AB
24,68.21829275,PKG000025,TLMD,1,A,2
25,68.21829275,PKG000026,TLMD,1,A,2
26,68.21829275,PKG000027,TLMD,1,A,3AB
27,68.21829275,PKG000028,TLMD,1,A,3AB
28,68.21829275,PKG000029,USPS,1,A,USPS
29,68.21829275,PKG000030,TLMD,1,A,2
30,68.21829275,PKG000031,TLMD,1,A,3AB
31,68.21829275,PKG000032,TLMD,1,A,2
32,68.21829275,PKG000033,TLMD,1,A,2
33,68.21829275,PKG000034,UPSN,1,A,UPSN
34,68.21829275,PKG000035,TLMD,1,A,2
35,68.21829275,PKG000036,FDEG,1,A,FDEG
36,68.21829275,PKG000037,TLMD,1,A,1
37,68.21829275,PKG000038,USPS,1,A,USPS
38,68.21829275,PKG000039,TLMD,1,A,1
39,68.21829275,PKG000040,TLMD,1,A,1
40,68.21829275,PKG000041,TLMD,1,A,1
41,68.21829275,PKG000042,UPSN,1,A,UPSN
42,68.21829275,PKG000043,UPSN,1,A,UPSN
43,68.21829275,PKG000044,TLMD,1,A,1
44,68.21829275,PKG000045,TLMD,1,A,1
45,68.21829275,PKG000046,FDEG,1,A,FDEG
46,68.21829275,PKG000047,TLMD,1,A,2
47,68.21829275,PKG000048,TLMD,1,A,2
48,68.21829275,PKG000049,TLMD,1,A,1
49,68.21829275,PKG000050,TLMD,1,A,2
50,68.21829275,PKG000051,TLMD,1,A,2
51,68.21829275,PKG000052,TLMD,1,A,1
52,68.21829275,PKG000053,TLMD,1,A,1
53,68.21829275,PKG000054,TLMD,1,A,2
54,68.21829275,PKG000055,TLMD,1,A,1
55,68.21829275,PKG000056,UPSN,1,A,UPSN
56,68.21829275,PKG000057,TLMD,1,A,2
57,68.21829275,PKG000058,TLMD,1,A,1
58,68.21829275,PKG000059,TLMD,1,A,1
59,68.21829275,PKG000060,TLMD,1,A,1
60,68.21829275,PKG000061,TLMD,1,A,1
61,68.21829275,PKG000062,USPS,1,A,USPS
62,68.21829275,PKG000063,TLMD,1,A,1
63,68.21829275,PKG000064,TLMD,1,A,1
64,68.21829275,PKG000065,TLMD,1,A,1
65,68.21829275,PKG000066,TLMD,1,A,1
66,68.21829275,PKG000067,TLMD,2,A,1
67,68.21829275,PKG000068,TLMD,2,A,3AB
