,tracking_number,pallet_id,scac,partition,received_ts,inducted_ts,sorted_ts,current_queue
0,PKG000001,1,USPS,USPS,34.471825812304765,35.89087343135239,36.27117646165542,queue_national_carrier_sort
1,PKG000005,1,USPS,USPS,34.471825812304765,35.97658771706668,36.35689074736971,queue_national_carrier_sort
2,PKG000006,1,USPS,USPS,34.471825812304765,35.97658771706668,36.37355741403638,queue_national_carrier_sort
3,PKG000008,1,UPSN,UPSN,34.471825812304765,36.00992105040001,36.40689074736971,queue_national_carrier_sort
4,PKG000010,1,USPS,USPS,34.471825812304765,36.06230200278097,36.63481282529179,queue_national_carrier_sort
5,PKG000014,1,UPSN,UPSN,34.471825812304765,36.148016288495256,36.72052711100608,queue_national_carrier_sort
6,PKG000019,1,USPS,USPS,34.471825812304765,36.25039724087621,36.73719377767274,queue_national_carrier_sort
7,PKG000022,1,FDEG,FDEG,34.471825812304765,36.319444859923834,36.770527111006075,queue_national_carrier_sort
8,PKG000023,1,FDEG,FDEG,34.471825812304765,36.3361115265905,36.998449188928156,queue_national_carrier_sort
9,PKG000025,1,USPS,USPS,34.471825812304765,36.40515914563812,37.084163474642445,queue_national_carrier_sort
10,PKG000028,1,UPSN,UPSN,34.471825812304765,36.438492478971455,37.10083014130911,queue_national_carrier_sort
11,PKG000032,1,FDEG,FDEG,34.471825812304765,36.524206764685744,37.13416347464244,queue_national_carrier_sort
12,PKG000036,1,USPS,USPS,34.471825812304765,36.60992105040003,37.36208555256452,queue_national_carrier_sort
13,PKG000037,1,FDEG,FDEG,34.471825812304765,36.66230200278099,37.44779983827881,queue_national_carrier_sort
14,PKG000039,1,FDEG,FDEG,34.471825812304765,36.678968669447656,37.46446650494548,queue_national_carrier_sort
15,PKG000040,1,FDEG,FDEG,34.471825812304765,36.69563533611432,37.49779983827881,queue_national_carrier_sort
16,PKG000041,1,USPS,USPS,34.471825812304765,36.74801628849528,37.72572191620089,queue_national_carrier_sort
17,PKG000047,1,UPSN,UPSN,34.471825812304765,36.850397240876234,37.81143620191518,queue_national_carrier_sort
18,PKG000048,1,UPSN,UPSN,34.471825812304765,36.8670639075429,37.828102868581844,queue_national_carrier_sort
19,PKG000049,1,FDEG,FDEG,34.471825812304765,36.91944485992386,37.861436201915176,queue_national_carrier_sort
20,PKG000050,1,UPSN,UPSN,34.471825812304765,36.91944485992386,38.089358279837256,queue_national_carrier_sort
21,PKG000053,2,UPSN,UPSN,35.8051591456381,37.224206764685725,38.175072565551545,queue_national_carrier_sort
22,PKG000055,2,FDEG,FDEG,35.8051591456381,37.224206764685725,38.19173923221821,queue_national_carrier_sort
23,PKG000056,2,FDEG,FDEG,35.8051591456381,37.224206764685725,38.22507256555154,queue_national_carrier_sort
24,PKG000057,2,USPS,USPS,35.8051591456381,37.309921050400014,38.45299464347362,queue_national_carrier_sort
25,PKG000059,2,UPSN,UPSN,35.8051591456381,37.32658771706668,38.53870892918791,queue_national_carrier_sort
26,PKG000062,2,USPS,USPS,35.8051591456381,37.3956353361143,38.55537559585458,queue_national_carrier_sort
27,PKG000063,2,USPS,USPS,35.8051591456381,37.41230200278097,38.58870892918791,queue_national_carrier_sort
28,PKG000064,2,FDEG,FDEG,35.8051591456381,37.428968669447634,38.81663100710999,queue_national_carrier_sort
29,PKG000065,2,USPS,USPS,35.8051591456381,37.48134962182859,38.90234529282428,queue_national_carrier_sort
30,PKG000066,2,USPS,USPS,35.8051591456381,37.48134962182859,38.919011959490945,queue_national_carrier_sort
31,PKG000071,2,USPS,USPS,35.8051591456381,37.58373057420955,38.952345292824276,queue_national_carrier_sort
32,PKG000073,2,USPS,USPS,35.8051591456381,37.65277819325717,39.18026737074636,queue_national_carrier_sort
33,PKG000075,2,UPSN,UPSN,35.8051591456381,37.669444859923836,39.265981656460646,queue_national_carrier_sort
