,tracking_number,pallet_id,scac,partition,received_ts,inducted_ts,sorted_ts,current_queue
0,PKG000001,1,UPSN,UPSN,53.34772204839695,54.76676966744458,55.14707269774761,queue_national_carrier_sort
1,PKG000008,1,UPSN,UPSN,53.34772204839695,54.8858172864922,55.2827869834619,queue_national_carrier_sort
2,PKG000014,1,UPSN,UPSN,53.34772204839695,55.023912524587445,55.42088222155714,queue_national_carrier_sort
3,PKG000015,1,UPSN,UPSN,53.34772204839695,55.04057919125411,55.43754888822381,queue_national_carrier_sort
4,PKG000018,1,UPSN,UPSN,53.34772204839695,55.109626810301734,55.51070906138398,queue_national_carrier_sort
5,PKG000025,1,UPSN,UPSN,53.34772204839695,55.28105538173031,55.661358412033344,queue_national_carrier_sort
6,PKG000026,1,UPSN,UPSN,53.34772204839695,55.28105538173031,55.78451858519351,queue_national_carrier_sort
7,PKG000027,1,FDEG,FDEG,53.34772204839695,55.29772204839698,55.801185251860176,queue_national_carrier_sort
8,PKG000028,1,UPSN,UPSN,53.34772204839695,55.31438871506364,55.874345425020344,queue_national_carrier_sort
9,PKG000031,1,FDEG,FDEG,53.34772204839695,55.383436334111266,56.02499477566971,queue_national_carrier_sort
10,PKG000032,1,USPS,USPS,53.34772204839695,55.40010300077793,56.14815494882988,queue_national_carrier_sort
11,PKG000034,1,UPSN,UPSN,53.34772204839695,55.45248395315889,56.16482161549654,queue_national_carrier_sort
12,PKG000039,1,UPSN,UPSN,53.34772204839695,55.554864905539844,56.23798178865671,queue_national_carrier_sort
13,PKG000040,1,USPS,USPS,53.34772204839695,55.57153157220651,56.38863113930608,queue_national_carrier_sort
14,PKG000042,1,UPSN,UPSN,53.34772204839695,55.62391252458747,56.511791312466244,queue_national_carrier_sort
15,PKG000047,1,USPS,USPS,53.34772204839695,55.72629347696842,56.52845797913291,queue_national_carrier_sort
16,PKG000049,2,USPS,USPS,54.68105538173029,56.100103000777914,56.60161815229308,queue_national_carrier_sort
17,PKG000050,2,UPSN,UPSN,54.68105538173029,56.100103000777914,56.752267502942445,queue_national_carrier_sort
18,PKG000052,2,UPSN,UPSN,54.68105538173029,56.100103000777914,56.87542767610261,queue_national_carrier_sort
19,PKG000053,2,UPSN,UPSN,54.68105538173029,56.1858172864922,56.892094342769276,queue_national_carrier_sort
20,PKG000056,2,USPS,USPS,54.68105538173029,56.219150619825534,56.965254515929445,queue_national_carrier_sort
21,PKG000057,2,UPSN,UPSN,54.68105538173029,56.27153157220649,57.11590386657881,queue_national_carrier_sort
22,PKG000058,2,UPSN,UPSN,54.68105538173029,56.27153157220649,57.23906403973898,queue_national_carrier_sort
23,PKG000062,2,FDEG,FDEG,54.68105538173029,56.35724585792078,57.25573070640564,queue_national_carrier_sort
24,PKG000063,2,UPSN,UPSN,54.68105538173029,56.373912524587446,57.32889087956581,queue_national_carrier_sort
25,PKG000073,2,FDEG,FDEG,54.68105538173029,56.61438871506365,57.47954023021518,queue_national_carrier_sort
26,PKG000074,2,FDEG,FDEG,54.68105538173029,56.61438871506365,57.602700403375344,queue_national_carrier_sort
27,PKG000076,2,USPS,USPS,54.68105538173029,56.64772204839698,57.61936707004201,queue_national_carrier_sort
28,PKG000083,2,USPS,USPS,54.68105538173029,56.80248395315889,57.69252724320218,queue_national_carrier_sort
29,PKG000087,2,USPS,USPS,54.68105538173029,56.88819823887318,57.843176593851545,queue_national_carrier_sort
30,PKG000088,2,FDEG,FDEG,54.68105538173029,56.904864905539846,57.96633676701171,queue_national_carrier_sort
31,PKG000093,2,USPS,USPS,54.68105538173029,57.04296014363509,57.98300343367838,queue_national_carrier_sort
32,PKG000098,2,USPS,USPS,54.68105538173029,57.12867442934938,58.056163606838545,queue_national_carrier_sort
33,PKG000100,2,UPSN,UPSN,54.68105538173029,57.16200776268271,58.20681295748791,queue_national_carrier_sort
34,PKG000105,3,USPS,USPS,56.014388715063625,57.43343633411125,58.32997313064808,queue_national_carrier_sort
35,PKG000106,3,UPSN,UPSN,56.014388715063625,57.51915061982554,58.346639797314744,queue_national_carrier_sort
36,PKG000107,3,USPS,USPS,56.014388715063625,57.51915061982554,58.41979997047491,queue_national_carrier_sort
37,PKG000108,3,UPSN,UPSN,56.014388715063625,57.535817286492204,58.57044932112428,queue_national_carrier_sort
38,PKG000112,3,USPS,USPS,56.014388715063625,57.62153157220649,58.693609494284445,queue_national_carrier_sort
39,PKG000113,3,FDEG,FDEG,56.014388715063625,57.63819823887316,58.71027616095111,queue_national_carrier_sort
40,PKG000114,3,FDEG,FDEG,56.014388715063625,57.690579191254116,58.78343633411128,queue_national_carrier_sort
41,PKG000115,3,UPSN,UPSN,56.014388715063625,57.690579191254116,58.934085684760646,queue_national_carrier_sort
42,PKG000120,3,UPSN,UPSN,56.014388715063625,57.79296014363507,59.05724585792081,queue_national_carrier_sort
43,PKG000121,3,UPSN,UPSN,56.014388715063625,57.80962681030174,59.07391252458748,queue_national_carrier_sort
44,PKG000126,3,FDEG,FDEG,56.014388715063625,57.94772204839698,59.147072697747646,queue_national_carrier_sort
45,PKG000128,3,UPSN,UPSN,56.014388715063625,57.96438871506365,59.29772204839701,queue_national_carrier_sort
46,PKG000132,3,USPS,USPS,56.014388715063625,58.05010300077794,59.42088222155718,queue_national_carrier_sort
47,PKG000133,3,USPS,USPS,56.014388715063625,58.0667696674446,59.437548888223844,queue_national_carrier_sort
48,PKG000134,3,USPS,USPS,56.014388715063625,58.11915061982556,59.51070906138401,queue_national_carrier_sort
49,PKG000136,3,FDEG,FDEG,56.014388715063625,58.13581728649223,59.66135841203338,queue_national_carrier_sort
50,PKG000138,3,USPS,USPS,56.014388715063625,58.20486490553985,59.784518585193545,queue_national_carrier_sort
51,PKG000139,3,FDEG,FDEG,56.014388715063625,58.20486490553985,59.80118525186021,queue_national_carrier_sort
52,PKG000144,3,USPS,USPS,56.014388715063625,58.307245857920805,59.87434542502038,queue_national_carrier_sort
53,PKG000145,3,FDE,FDE,56.014388715063625,58.32391252458747,60.02499477566975,queue_national_carrier_sort
54,PKG000147,3,USPS,USPS,56.014388715063625,58.37629347696843,60.14815494882991,queue_national_carrier_sort
55,PKG000155,4,FDEG,FDEG,57.34772204839696,58.766769667444585,60.16482161549658,queue_national_carrier_sort
56,PKG000156,4,USPS,USPS,57.34772204839696,58.766769667444585,60.23798178865675,queue_national_carrier_sort
57,PKG000160,4,FDEG,FDEG,57.34772204839696,58.852483953158874,60.38863113930611,queue_national_carrier_sort
58,PKG000161,4,FDEG,FDEG,57.34772204839696,58.86915061982554,60.51179131246628,queue_national_carrier_sort
59,PKG000163,4,USPS,USPS,57.34772204839696,58.93819823887316,60.528457979132945,queue_national_carrier_sort
60,PKG000164,4,UPSN,UPSN,57.34772204839696,58.93819823887316,60.60161815229311,queue_national_carrier_sort
61,PKG000168,4,UPSN,UPSN,57.34772204839696,59.02391252458745,60.75226750294248,queue_national_carrier_sort
62,PKG000169,4,USPS,USPS,57.34772204839696,59.04057919125412,60.875427676102646,queue_national_carrier_sort
63,PKG000170,4,USPS,USPS,57.34772204839696,59.05724585792078,60.89209434276931,queue_national_carrier_sort
64,PKG000171,4,USPS,USPS,57.34772204839696,59.10962681030174,60.96525451592948,queue_national_carrier_sort
65,PKG000177,4,USPS,USPS,57.34772204839696,59.212007762682695,61.11590386657885,queue_national_carrier_sort
66,PKG000181,4,UPSN,UPSN,57.34772204839696,59.297722048396984,61.23906403973901,queue_national_carrier_sort
67,PKG000184,4,FDEG,FDEG,57.34772204839696,59.36676966744461,61.25573070640568,queue_national_carrier_sort
68,PKG000186,4,USPS,USPS,57.34772204839696,59.40010300077794,61.32889087956585,queue_national_carrier_sort
69,PKG000188,4,USPS,USPS,57.34772204839696,59.4524839531589,61.479540230215214,queue_national_carrier_sort
70,PKG000189,4,UPSN,UPSN,57.34772204839696,59.46915061982556,61.60270040337538,queue_national_carrier_sort
71,PKG000192,4,USPS,USPS,57.34772204839696,59.538198238873186,61.619367070042045,queue_national_carrier_sort
72,PKG000193,4,FDEG,FDEG,57.34772204839696,59.55486490553985,61.692527243202214,queue_national_carrier_sort
73,PKG000208,5,USPS,USPS,58.681055381730296,60.10010300077792,61.84317659385158,queue_national_carrier_sort
74,PKG000214,5,UPSN,UPSN,58.681055381730296,60.202483953158875,61.96633676701175,queue_national_carrier_sort
75,PKG000216,5,USPS,USPS,58.681055381730296,60.2715315722065,61.98300343367841,queue_national_carrier_sort
76,PKG000219,5,USPS,USPS,58.681055381730296,60.30486490553983,62.05616360683858,queue_national_carrier_sort
77,PKG000221,5,USPS,USPS,58.681055381730296,60.35724585792079,62.20681295748795,queue_national_carrier_sort
78,PKG000226,5,UPSN,UPSN,58.681055381730296,60.45962681030174,62.32997313064811,queue_national_carrier_sort
79,PKG000228,5,UPSN,UPSN,58.681055381730296,60.528674429349365,62.34663979731478,queue_national_carrier_sort
