,tracking_number,pallet_id,scac,partition,received_ts,inducted_ts,sorted_ts,current_queue
0,PKG000001,1,FDEG,FDEG,34.471825812304765,35.89087343135239,36.27117646165542,queue_national_carrier_sort
1,PKG000002,1,FDEG,FDEG,34.471825812304765,35.89087343135239,36.28784312832209,queue_national_carrier_sort
2,PKG000003,1,USPS,USPS,34.471825812304765,35.89087343135239,36.30450979498875,queue_national_carrier_sort
3,PKG000004,1,UPSN,UPSN,34.471825812304765,35.89087343135239,36.32117646165542,queue_national_carrier_sort
4,PKG000006,1,FDEG,FDEG,34.471825812304765,35.97658771706668,36.63481282529179,queue_national_carrier_sort
5,PKG000011,1,USPS,USPS,34.471825812304765,36.07896866944763,36.651479491958455,queue_national_carrier_sort
6,PKG000012,1,UPSN,UPSN,34.471825812304765,36.0956353361143,36.66814615862512,queue_national_carrier_sort
7,PKG000013,1,FDEG,FDEG,34.471825812304765,36.148016288495256,36.684812825291786,queue_national_carrier_sort
8,PKG000019,1,UPSN,UPSN,34.471825812304765,36.25039724087621,36.998449188928156,queue_national_carrier_sort
9,PKG000020,1,USPS,USPS,34.471825812304765,36.26706390754288,37.01511585559482,queue_national_carrier_sort
10,PKG000022,1,FDEG,FDEG,34.471825812304765,36.319444859923834,37.03178252226149,queue_national_carrier_sort
11,PKG000023,1,UPSN,UPSN,34.471825812304765,36.3361115265905,37.04844918892815,queue_national_carrier_sort
12,PKG000024,1,USPS,USPS,34.471825812304765,36.352778193257166,37.36208555256452,queue_national_carrier_sort
13,PKG000026,1,FDEG,FDEG,34.471825812304765,36.40515914563812,37.37875221923119,queue_national_carrier_sort
14,PKG000029,1,USPS,USPS,34.471825812304765,36.49087343135241,37.395418885897854,queue_national_carrier_sort
15,PKG000033,1,USPS,USPS,34.471825812304765,36.5765877170667,37.41208555256452,queue_national_carrier_sort
16,PKG000036,1,USPS,USPS,34.471825812304765,36.60992105040003,37.72572191620089,queue_national_carrier_sort
