,Pallet,num_packages,earliest_arrival,packages,linehaul
0,1,51,53.13268207252829,"[('PKG000001', 'FDEG', 'FDEG'), ('PKG000002', 'FDEG', 'FDEG'), ('PKG000003', 'FDEG', 'FDEG'), ('PKG000004', 'TLMD', '3AB'), ('PKG000005', 'UPSN', 'UPSN'), ('PKG000006', 'TLMD', '1'), ('PKG000007', 'UPSN', 'UPSN'), ('PKG000008', 'UPSN', 'UPSN'), ('PKG000009', 'UPSN', 'UPSN'), ('PKG000010', 'UPSN', 'UPSN'), ('PKG000011', 'UPSN', 'UPSN'), ('PKG000012', 'FDEG', 'FDEG'), ('PKG000013', 'TLMD', '2'), ('PKG000014', 'USPS', 'USPS'), ('PKG000015', 'TLMD', '2'), ('PKG000016', 'USPS', 'USPS'), ('PKG000017', 'USPS', 'USPS'), ('PKG000018', 'TLMD', '1'), ('PKG000019', 'UPSN', 'UPSN'), ('PKG000020', 'TLMD', '2'), ('PKG000021', 'FDEG', 'FDEG'), ('PKG000022', 'USPS', 'USPS'), ('PKG000023', 'TLMD', '1'), ('PKG000024', 'USPS', 'USPS'), ('PKG000025', 'FDEG', 'FDEG'), ('PKG000026', 'USPS', 'USPS'), ('PKG000027', 'FDEG', 'FDEG'), ('PKG000028', 'FDEG', 'FDEG'), ('PKG000029', 'USPS', 'USPS'), ('PKG000030', 'UPSN', 'UPSN'), ('PKG000031', 'UPSN', 'UPSN'), ('PKG000032', 'USPS', 'USPS'), ('PKG000033', 'UPSN', 'UPSN'), ('PKG000034', 'FDEG', 'FDEG'), ('PKG000035', 'UPSN', 'UPSN'), ('PKG000036', 'TLMD', '3AB'), ('PKG000037', 'UPSN', 'UPSN'), ('PKG000038', 'TLMD', '3AB'), ('PKG000039', 'TLMD', '1'), ('PKG000040', 'TLMD', '1'), ('PKG000041', 'FDEG', 'FDEG'), ('PKG000042', 'TLMD', '1'), ('PKG000043', 'FDEG', 'FDEG'), ('PKG000044', 'UPSN', 'UPSN'), ('PKG000045', 'USPS', 'USPS'), ('PKG000046', 'UPSN', 'UPSN'), ('PKG000047', 'USPS', 'USPS'), ('PKG000048', 'TLMD', '3AB'), ('PKG000049', 'FDEG', 'FDEG'), ('PKG000050', 'TLMD', '2'), ('PKG000051', 'USPS', 'USPS')]",A
1,2,59,53.13268207252829,"[('PKG000052', 'UPSN', 'UPSN'), ('PKG000053', 'UPSN', 'UPSN'), ('PKG000054', 'UPSN', 'UPSN'), ('PKG000055', 'UPSN', 'UPSN'), ('PKG000056', 'UPSN', 'UPSN'), ('PKG000057', 'UPSN', 'UPSN'), ('PKG000058', 'TLMD', '1'), ('PKG000059', 'USPS', 'USPS'), ('PKG000060', 'FDEG', 'FDEG'), ('PKG000061', 'FDEG', 'FDEG'), ('PKG000062', 'TLMD', '2'), ('PKG000063', 'USPS', 'USPS'), ('PKG000064', 'TLMD', '2'), ('PKG000065', 'UPSN', 'UPSN'), ('PKG000066', 'UPSN', 'UPSN'), ('PKG000067', 'UPSN', 'UPSN'), ('PKG000068', 'UPSN', 'UPSN'), ('PKG000069', 'USPS', 'USPS'), ('PKG000070', 'UPSN', 'UPSN'), ('PKG000071', 'USPS', 'USPS'), ('PKG000072', 'USPS', 'USPS'), ('PKG000073', 'TLMD', '1'), ('PKG000074', 'TLMD', '1'), ('PKG000075', 'USPS', 'USPS'), ('PKG000076', 'UPSN', 'UPSN'), ('PKG000077', 'USPS', 'USPS'), ('PKG000078', 'TLMD', '2'), ('PKG000079', 'FDEG', 'FDEG'), ('PKG000080', 'TLMD', '2'), ('PKG000081', 'UPSN', 'UPSN'), ('PKG000082', 'UPSN', 'UPSN'), ('PKG000083', 'TLMD', '2'), ('PKG000084', 'UPSN', 'UPSN'), ('PKG000085', 'TLMD', '2'), ('PKG000086', 'USPS', 'USPS'), ('PKG000087', 'TLMD', '2'), ('PKG000088', 'UPSN', 'UPSN'), ('PKG000089', 'UPSN', 'UPSN'), ('PKG000090', 'USPS', 'USPS'), ('PKG000091', 'TLMD', '2'), ('PKG000092', 'TLMD', '1'), ('PKG000093', 'FDEG', 'FDEG'), ('PKG000094', 'UPSN', 'UPSN'), ('PKG000095', 'TLMD', '3AB'), ('PKG000096', 'UPSN', 'UPSN'), ('PKG000097', 'TLMD', '1'), ('PKG000098', 'TLMD', '2'), ('PKG000099', 'TLMD', '1'), ('PKG000100', 'TLMD', '2'), ('PKG000101', 'FDEG', 'FDEG'), ('PKG000102', 'UPSN', 'UPSN'), ('PKG000103', 'FDEG', 'FDEG'), ('PKG000104', 'TLMD', '1'), ('PKG000105', 'UPSN', 'UPSN'), ('PKG000106', 'TLMD', '2'), ('PKG000107', 'UPSN', 'UPSN'), ('PKG000108', 'FDEG', 'FDEG'), ('PKG000109', 'UPSN', 'UPSN'), ('PKG000110', 'TLMD', '1')]",A
2,3,53,53.13268207252829,"[('PKG000111', 'TLMD', '1'), ('PKG000112', 'FDEG', 'FDEG'), ('PKG000113', 'TLMD', '2'), ('PKG000114', 'TLMD', '2'), ('PKG000115', 'USPS', 'USPS'), ('PKG000116', 'FDEG', 'FDEG'), ('PKG000117', 'USPS', 'USPS'), ('PKG000118', 'UPSN', 'UPSN'), ('PKG000119', 'TLMD', '3AB'), ('PKG000120', 'FDEG', 'FDEG'), ('PKG000121', 'FDEG', 'FDEG'), ('PKG000122', 'TLMD', '1'), ('PKG000123', 'TLMD', '1'), ('PKG000124', 'TLMD', '3AB'), ('PKG000125', 'USPS', 'USPS'), ('PKG000126', 'TLMD', '3AB'), ('PKG000127', 'UPSN', 'UPSN'), ('PKG000128', 'FDEG', 'FDEG'), ('PKG000129', 'FDEG', 'FDEG'), ('PKG000130', 'TLMD', '3AB'), ('PKG000131', 'TLMD', '1'), ('PKG000132', 'USPS', 'USPS'), ('PKG000133', 'TLMD', '2'), ('PKG000134', 'USPS', 'USPS'), ('PKG000135', 'TLMD', '1'), ('PKG000136', 'FDEG', 'FDEG'), ('PKG000137', 'USPS', 'USPS'), ('PKG000138', 'TLMD', '1'), ('PKG000139', 'TLMD', '2'), ('PKG000140', 'TLMD', '1'), ('PKG000141', 'USPS', 'USPS'), ('PKG000142', 'FDEG', 'FDEG'), ('PKG000143', 'TLMD', '3AB'), ('PKG000144', 'FDEG', 'FDEG'), ('PKG000145', 'USPS', 'USPS'), ('PKG000146', 'UPSN', 'UPSN'), ('PKG000147', 'TLMD', '1'), ('PKG000148', 'TLMD', '1'), ('PKG000149', 'USPS', 'USPS'), ('PKG000150', 'TLMD', '3AB'), ('PKG000151', 'UPSN', 'UPSN'), ('PKG000152', 'TLMD', '3AB'), ('PKG000153', 'TLMD', '2'), ('PKG000154', 'FDEG', 'FDEG'), ('PKG000155', 'FDEG', 'FDEG'), ('PKG000156', 'TLMD', '3AB'), ('PKG000157', 'TLMD', '2'), ('PKG000158', 'TLMD', '1'), ('PKG000159', 'TLMD', '3AB'), ('PKG000160', 'FDEG', 'FDEG'), ('PKG000161', 'TLMD', '2'), ('PKG000162', 'USPS', 'USPS'), ('PKG000163', 'UPSN', 'UPSN')]",A
3,4,51,53.13268207252829,"[('PKG000164', 'TLMD', '3AB'), ('PKG000165', 'TLMD', '1'), ('PKG000166', 'FDEG', 'FDEG'), ('PKG000167', 'TLMD', '1'), ('PKG000168', 'UPSN', 'UPSN'), ('PKG000169', 'TLMD', '1'), ('PKG000170', 'TLMD', '1'), ('PKG000171', 'UPSN', 'UPSN'), ('PKG000172', 'USPS', 'USPS'), ('PKG000173', 'TLMD', '1'), ('PKG000174', 'UPSN', 'UPSN'), ('PKG000175', 'TLMD', '3AB'), ('PKG000176', 'USPS', 'USPS'), ('PKG000177', 'USPS', 'USPS'), ('PKG000178', 'TLMD', '2'), ('PKG000179', 'FDEG', 'FDEG'), ('PKG000180', 'UPSN', 'UPSN'), ('PKG000181', 'USPS', 'USPS'), ('PKG000182', 'USPS', 'USPS'), ('PKG000183', 'USPS', 'USPS'), ('PKG000184', 'FDEG', 'FDEG'), ('PKG000185', 'TLMD', '2'), ('PKG000186', 'FDEG', 'FDEG'), ('PKG000187', 'FDEG', 'FDEG'), ('PKG000188', 'USPS', 'USPS'), ('PKG000189', 'FDEG', 'FDEG'), ('PKG000190', 'USPS', 'USPS'), ('PKG000191', 'USPS', 'USPS'), ('PKG000192', 'FDEG', 'FDEG'), ('PKG000193', 'USPS', 'USPS'), ('PKG000194', 'TLMD', '2'), ('PKG000195', 'TLMD', '1'), ('PKG000196', 'FDEG', 'FDEG'), ('PKG000197', 'USPS', 'USPS'), ('PKG000198', 'TLMD', '1'), ('PKG000199', 'TLMD', '2'), ('PKG000200', 'TLMD', '2'), ('PKG000201', 'TLMD', '1'), ('PKG000202', 'UPSN', 'UPSN'), ('PKG000203', 'TLMD', '1'), ('PKG000204', 'TLMD', '2'), ('PKG000205', 'TLMD', '1'), ('PKG000206', 'TLMD', '3AB'), ('PKG000207', 'TLMD', '3AB'), ('PKG000208', 'TLMD', '2'), ('PKG000209', 'FDEG', 'FDEG'), ('PKG000210', 'FDEG', 'FDEG'), ('PKG000211', 'TLMD', '3AB'), ('PKG000212', 'UPSN', 'UPSN'), ('PKG000213', 'TLMD', '1'), ('PKG000214', 'USPS', 'USPS')]",A
4,5,70,53.13268207252829,"[('PKG000215', 'TLMD', '1'), ('PKG000216', 'USPS', 'USPS'), ('PKG000217', 'TLMD', '3AB'), ('PKG000218', 'TLMD', '1'), ('PKG000219', 'USPS', 'USPS'), ('PKG000220', 'TLMD', '1'), ('PKG000221', 'USPS', 'USPS'), ('PKG000222', 'UPSN', 'UPSN'), ('PKG000223', 'FDEG', 'FDEG'), ('PKG000224', 'USPS', 'USPS'), ('PKG000225', 'UPSN', 'UPSN'), ('PKG000226', 'TLMD', '3AB'), ('PKG000227', 'TLMD', '2'), ('PKG000228', 'USPS', 'USPS'), ('PKG000229', 'TLMD', '2'), ('PKG000230', 'UPSN', 'UPSN'), ('PKG000231', 'TLMD', '1'), ('PKG000232', 'UPSN', 'UPSN'), ('PKG000233', 'FDEG', 'FDEG'), ('PKG000234', 'TLMD', '1'), ('PKG000235', 'FDEG', 'FDEG'), ('PKG000236', 'TLMD', '3AB'), ('PKG000237', 'TLMD', '1'), ('PKG000238', 'UPSN', 'UPSN'), ('PKG000239', 'FDEG', 'FDEG'), ('PKG000240', 'FDEG', 'FDEG'), ('PKG000241', 'TLMD', '2'), ('PKG000242', 'USPS', 'USPS'), ('PKG000243', 'UPSN', 'UPSN'), ('PKG000244', 'TLMD', '2'), ('PKG000245', 'TLMD', '3AB'), ('PKG000246', 'TLMD', '1'), ('PKG000247', 'TLMD', '3AB'), ('PKG000248', 'USPS', 'USPS'), ('PKG000249', 'FDEG', 'FDEG'), ('PKG000250', 'FDEG', 'FDEG'), ('PKG000251', 'TLMD', '1'), ('PKG000252', 'USPS', 'USPS'), ('PKG000253', 'USPS', 'USPS'), ('PKG000254', 'UPSN', 'UPSN'), ('PKG000255', 'TLMD', '1'), ('PKG000256', 'USPS', 'USPS'), ('PKG000257', 'TLMD', '1'), ('PKG000258', 'USPS', 'USPS'), ('PKG000259', 'USPS', 'USPS'), ('PKG000260', 'FDEG', 'FDEG'), ('PKG000261', 'UPSN', 'UPSN'), ('PKG000262', 'TLMD', '1'), ('PKG000263', 'USPS', 'USPS'), ('PKG000264', 'TLMD', '2'), ('PKG000265', 'TLMD', '3AB'), ('PKG000266', 'TLMD', '2'), ('PKG000267', 'TLMD', '2'), ('PKG000268', 'TLMD', '1'), ('PKG000269', 'TLMD', '1'), ('PKG000270', 'TLMD', '1'), ('PKG000271', 'UPSN', 'UPSN'), ('PKG000272', 'USPS', 'USPS'), ('PKG000273', 'TLMD', '3AB'), ('PKG000274', 'USPS', 'USPS'), ('PKG000275', 'TLMD', '1'), ('PKG000276', 'FDEG', 'FDEG'), ('PKG000277', 'FDEG', 'FDEG'), ('PKG000278', 'TLMD', '1'), ('PKG000279', 'TLMD', '2'), ('PKG000280', 'UPSN', 'UPSN'), ('PKG000281', 'UPSN', 'UPSN'), ('PKG000282', 'USPS', 'USPS'), ('PKG000283', 'USPS', 'USPS'), ('PKG000284', 'TLMD', '1')]",A
5,6,65,53.13268207252829,"[('PKG000285', 'UPSN', 'UPSN'), ('PKG000286', 'UPSN', 'UPSN'), ('PKG000287', 'TLMD', '1'), ('PKG000288', 'FDEG', 'FDEG'), ('PKG000289', 'TLMD', '2'), ('PKG000290', 'FDEG', 'FDEG'), ('PKG000291', 'USPS', 'USPS'), ('PKG000292', 'TLMD', '2'), ('PKG000293', 'USPS', 'USPS'), ('PKG000294', 'USPS', 'USPS'), ('PKG000295', 'FDEG', 'FDEG'), ('PKG000296', 'TLMD', '2'), ('PKG000297', 'FDEG', 'FDEG'), ('PKG000298', 'TLMD', '2'), ('PKG000299', 'TLMD', '2'), ('PKG000300', 'FDEG', 'FDEG'), ('PKG000301', 'TLMD', '1'), ('PKG000302', 'USPS', 'USPS'), ('PKG000303', 'TLMD', '2'), ('PKG000304', 'TLMD', '1'), ('PKG000305', 'TLMD', '1'), ('PKG000306', 'TLMD', '2'), ('PKG000307', 'UPSN', 'UPSN'), ('PKG000308', 'UPSN', 'UPSN'), ('PKG000309', 'TLMD', '1'), ('PKG000310', 'TLMD', '3AB'), ('PKG000311', 'TLMD', '2'), ('PKG000312', 'TLMD', '2'), ('PKG000313', 'TLMD', '1'), ('PKG000314', 'USPS', 'USPS'), ('PKG000315', 'TLMD', '2'), ('PKG000316', 'USPS', 'USPS'), ('PKG000317', 'USPS', 'USPS'), ('PKG000318', 'TLMD', '1'), ('PKG000319', 'TLMD', '2'), ('PKG000320', 'UPSN', 'UPSN'), ('PKG000321', 'FDEG', 'FDEG'), ('PKG000322', 'FDEG', 'FDEG'), ('PKG000323', 'FDEG', 'FDEG'), ('PKG000324', 'UPSN', 'UPSN'), ('PKG000325', 'TLMD', '3AB'), ('PKG000326', 'FDEG', 'FDEG'), ('PKG000327', 'FDEG', 'FDEG'), ('PKG000328', 'TLMD', '1'), ('PKG000329', 'FDEG', 'FDEG'), ('PKG000330', 'FDEG', 'FDEG'), ('PKG000331', 'USPS', 'USPS'), ('PKG000332', 'USPS', 'USPS'), ('PKG000333', 'TLMD', '2'), ('PKG000334', 'UPSN', 'UPSN'), ('PKG000335', 'TLMD', '1'), ('PKG000336', 'TLMD', '1'), ('PKG000337', 'TLMD', '2'), ('PKG000338', 'USPS', 'USPS'), ('PKG000339', 'USPS', 'USPS'), ('PKG000340', 'FDEG', 'FDEG'), ('PKG000341', 'FDEG', 'FDEG'), ('PKG000342', 'TLMD', '1'), ('PKG000343', 'USPS', 'USPS'), ('PKG000344', 'TLMD', '1'), ('PKG000345', 'TLMD', '3AB'), ('PKG000346', 'FDEG', 'FDEG'), ('PKG000347', 'FDEG', 'FDEG'), ('PKG000348', 'UPSN', 'UPSN'), ('PKG000349', 'TLMD', '1')]",A
6,7,67,53.13268207252829,"[('PKG000350', 'FDEG', 'FDEG'), ('PKG000351', 'UPSN', 'UPSN'), ('PKG000352', 'USPS', 'USPS'), ('PKG000353', 'FDEG', 'FDEG'), ('PKG000354', 'FDEG', 'FDEG'), ('PKG000355', 'UPSN', 'UPSN'), ('PKG000356', 'USPS', 'USPS'), ('PKG000357', 'FDEG', 'FDEG'), ('PKG000358', 'USPS', 'USPS'), ('PKG000359', 'USPS', 'USPS'), ('PKG000360', 'UPSN', 'UPSN'), ('PKG000361', 'USPS', 'USPS'), ('PKG000362', 'TLMD', '2'), ('PKG000363', 'USPS', 'USPS'), ('PKG000364', 'UPSN', 'UPSN'), ('PKG000365', 'USPS', 'USPS'), ('PKG000366', 'TLMD', '2'), ('PKG000367', 'TLMD', '1'), ('PKG000368', 'UPSN', 'UPSN'), ('PKG000369', 'TLMD', '3AB'), ('PKG000370', 'TLMD', '3AB'), ('PKG000371', 'TLMD', '1'), ('PKG000372', 'USPS', 'USPS'), ('PKG000373', 'USPS', 'USPS'), ('PKG000374', 'TLMD', '1'), ('PKG000375', 'TLMD', '1'), ('PKG000376', 'TLMD', '2'), ('PKG000377', 'UPSN', 'UPSN'), ('PKG000378', 'FDEG', 'FDEG'), ('PKG000379', 'USPS', 'USPS'), ('PKG000380', 'TLMD', '1'), ('PKG000381', 'UPSN', 'UPSN'), ('PKG000382', 'TLMD', '1'), ('PKG000383', 'TLMD', '3AB'), ('PKG000384', 'TLMD', '1'), ('PKG000385', 'TLMD', '1'), ('PKG000386', 'USPS', 'USPS'), ('PKG000387', 'TLMD', '3AB'), ('PKG000388', 'TLMD', '3AB'), ('PKG000389', 'TLMD', '3AB'), ('PKG000390', 'FDEG', 'FDEG'), ('PKG000391', 'FDEG', 'FDEG'), ('PKG000392', 'TLMD', '1'), ('PKG000393', 'UPSN', 'UPSN'), ('PKG000394', 'TLMD', '1'), ('PKG000395', 'USPS', 'USPS'), ('PKG000396', 'FDEG', 'FDEG'), ('PKG000397', 'TLMD', '2'), ('PKG000398', 'FDEG', 'FDEG'), ('PKG000399', 'USPS', 'USPS'), ('PKG000400', 'TLMD', '3AB'), ('PKG000401', 'USPS', 'USPS'), ('PKG000402', 'FDEG', 'FDEG'), ('PKG000403', 'USPS', 'USPS'), ('PKG000404', 'UPSN', 'UPSN'), ('PKG000405', 'USPS', 'USPS'), ('PKG000406', 'TLMD', '2'), ('PKG000407', 'TLMD', '2'), ('PKG000408', 'FDEG', 'FDEG'), ('PKG000409', 'TLMD', '2'), ('PKG000410', 'USPS', 'USPS'), ('PKG000411', 'TLMD', '2'), ('PKG000412', 'TLMD', '1'), ('PKG000413', 'UPSN', 'UPSN'), ('PKG000414', 'FDEG', 'FDEG'), ('PKG000415', 'USPS', 'USPS'), ('PKG000416', 'USPS', 'USPS')]",A
7,8,45,53.13268207252829,"[('PKG000417', 'TLMD', '1'), ('PKG000418', 'TLMD', '2'), ('PKG000419', 'UPSN', 'UPSN'), ('PKG000420', 'FDEG', 'FDEG'), ('PKG000421', 'FDEG', 'FDEG'), ('PKG000422', 'TLMD', '3AB'), ('PKG000423', 'USPS', 'USPS'), ('PKG000424', 'UPSN', 'UPSN'), ('PKG000425', 'TLMD', '3AB'), ('PKG000426', 'TLMD', '1'), ('PKG000427', 'TLMD', '3AB'), ('PKG000428', 'FDEG', 'FDEG'), ('PKG000429', 'TLMD', '2'), ('PKG000430', 'TLMD', '2'), ('PKG000431', 'UPSN', 'UPSN'), ('PKG000432', 'TLMD', '3AB'), ('PKG000433', 'USPS', 'USPS'), ('PKG000434', 'TLMD', '2'), ('PKG000435', 'USPS', 'USPS'), ('PKG000436', 'UPSN', 'UPSN'), ('PKG000437', 'USPS', 'USPS'), ('PKG000438', 'TLMD', '3AB'), ('PKG000439', 'FDEG', 'FDEG'), ('PKG000440', 'USPS', 'USPS'), ('PKG000441', 'FDEG', 'FDEG'), ('PKG000442', 'TLMD', '3AB'), ('PKG000443', 'TLMD', '1'), ('PKG000444', 'FDEG', 'FDEG'), ('PKG000445', 'UPSN', 'UPSN'), ('PKG000446', 'UPSN', 'UPSN'), ('PKG000447', 'TLMD', '2'), ('PKG000448', 'TLMD', '1'), ('PKG000449', 'USPS', 'USPS'), ('PKG000450', 'FDEG', 'FDEG'), ('PKG000451', 'FDEG', 'FDEG'), ('PKG000452', 'TLMD', '3AB'), ('PKG000453', 'UPSN', 'UPSN'), ('PKG000454', 'TLMD', '1'), ('PKG000455', 'TLMD', '1'), ('PKG000456', 'TLMD', '1'), ('PKG000457', 'TLMD', '2'), ('PKG000458', 'UPSN', 'UPSN'), ('PKG000459', 'FDEG', 'FDEG'), ('PKG000460', 'TLMD', '1'), ('PKG000461', 'USPS', 'USPS')]",A
8,9,48,53.13268207252829,"[('PKG000462', 'TLMD', '2'), ('PKG000463', 'USPS', 'USPS'), ('PKG000464', 'TLMD', '1'), ('PKG000465', 'UPSN', 'UPSN'), ('PKG000466', 'USPS', 'USPS'), ('PKG000467', 'FDEG', 'FDEG'), ('PKG000468', 'TLMD', '2'), ('PKG000469', 'TLMD', '1'), ('PKG000470', 'USPS', 'USPS'), ('PKG000471', 'UPSN', 'UPSN'), ('PKG000472', 'FDEG', 'FDEG'), ('PKG000473', 'USPS', 'USPS'), ('PKG000474', 'FDEG', 'FDEG'), ('PKG000475', 'FDEG', 'FDEG'), ('PKG000476', 'TLMD', '1'), ('PKG000477', 'TLMD', '3AB'), ('PKG000478', 'USPS', 'USPS'), ('PKG000479', 'TLMD', '3AB'), ('PKG000480', 'USPS', 'USPS'), ('PKG000481', 'USPS', 'USPS'), ('PKG000482', 'TLMD', '3AB'), ('PKG000483', 'USPS', 'USPS'), ('PKG000484', 'TLMD', '3AB'), ('PKG000485', 'USPS', 'USPS'), ('PKG000486', 'USPS', 'USPS'), ('PKG000487', 'USPS', 'USPS'), ('PKG000488', 'FDEG', 'FDEG'), ('PKG000489', 'UPSN', 'UPSN'), ('PKG000490', 'FDEG', 'FDEG'), ('PKG000491', 'TLMD', '1'), ('PKG000492', 'FDEG', 'FDEG'), ('PKG000493', 'TLMD', '2'), ('PKG000494', 'USPS', 'USPS'), ('PKG000495', 'USPS', 'USPS'), ('PKG000496', 'TLMD', '1'), ('PKG000497', 'UPSN', 'UPSN'), ('PKG000498', 'TLMD', '3AB'), ('PKG000499', 'USPS', 'USPS'), ('PKG000500', 'USPS', 'USPS'), ('PKG000501', 'TLMD', '2'), ('PKG000502', 'TLMD', '1'), ('PKG000503', 'TLMD', '1'), ('PKG000504', 'TLMD', '2'), ('PKG000505', 'TLMD', '2'), ('PKG000506', 'UPSN', 'UPSN'), ('PKG000507', 'TLMD', '3AB'), ('PKG000508', 'FDEG', 'FDEG'), ('PKG000509', 'USPS', 'USPS')]",A
9,10,58,53.13268207252829,"[('PKG000510', 'TLMD', '2'), ('PKG000511', 'TLMD', '2'), ('PKG000512', 'FDEG', 'FDEG'), ('PKG000513', 'UPSN', 'UPSN'), ('PKG000514', 'FDEG', 'FDEG'), ('PKG000515', 'TLMD', '2'), ('PKG000516', 'TLMD', '3AB'), ('PKG000517', 'UPSN', 'UPSN'), ('PKG000518', 'TLMD', '3AB'), ('PKG000519', 'TLMD', '2'), ('PKG000520', 'TLMD', '3AB'), ('PKG000521', 'UPSN', 'UPSN'), ('PKG000522', 'UPSN', 'UPSN'), ('PKG000523', 'FDEG', 'FDEG'), ('PKG000524', 'TLMD', '2'), ('PKG000525', 'UPSN', 'UPSN'), ('PKG000526', 'TLMD', '3AB'), ('PKG000527', 'FDEG', 'FDEG'), ('PKG000528', 'USPS', 'USPS'), ('PKG000529', 'UPSN', 'UPSN'), ('PKG000530', 'TLMD', '1'), ('PKG000531', 'TLMD', '3AB'), ('PKG000532', 'TLMD', '2'), ('PKG000533', 'TLMD', '2'), ('PKG000534', 'FDEG', 'FDEG'), ('PKG000535', 'TLMD', '1'), ('PKG000536', 'USPS', 'USPS'), ('PKG000537', 'FDEG', 'FDEG'), ('PKG000538', 'TLMD', '2'), ('PKG000539', 'UPSN', 'UPSN'), ('PKG000540', 'TLMD', '3AB'), ('PKG000541', 'UPSN', 'UPSN'), ('PKG000542', 'FDEG', 'FDEG'), ('PKG000543', 'USPS', 'USPS'), ('PKG000544', 'TLMD', '2'), ('PKG000545', 'UPSN', 'UPSN'), ('PKG000546', 'FDEG', 'FDEG'), ('PKG000547', 'FDEG', 'FDEG'), ('PKG000548', 'USPS', 'USPS'), ('PKG000549', 'FDEG', 'FDEG'), ('PKG000550', 'USPS', 'USPS'), ('PKG000551', 'FDEG', 'FDEG'), ('PKG000552', 'TLMD', '3AB'), ('PKG000553', 'FDEG', 'FDEG'), ('PKG000554', 'UPSN', 'UPSN'), ('PKG000555', 'TLMD', '2'), ('PKG000556', 'TLMD', '1'), ('PKG000557', 'TLMD', '2'), ('PKG000558', 'TLMD', '2'), ('PKG000559', 'UPSN', 'UPSN'), ('PKG000560', 'TLMD', '2'), ('PKG000561', 'TLMD', '1'), ('PKG000562', 'TLMD', '1'), ('PKG000563', 'TLMD', '2'), ('PKG000564', 'TLMD', '3AB'), ('PKG000565', 'TLMD', '1'), ('PKG000566', 'TLMD', '3AB'), ('PKG000567', 'TLMD', '1')]",A
