,Pallet,num_packages,earliest_arrival,packages,linehaul
0,1,47,94.15132180873012,"[('PKG000001', 'TLMD', '3AB'), ('PKG000002', 'TLMD', '1'), ('PKG000003', 'TLMD', '3AB'), ('PKG000004', 'TLMD', '3AB'), ('PKG000005', 'TLMD', '2'), ('PKG000006', 'TLMD', '3AB'), ('PKG000007', 'TLMD', '2'), ('PKG000008', 'USPS', 'USPS'), ('PKG000009', 'FDEG', 'FDEG'), ('PKG000010', 'TLMD', '1'), ('PKG000011', 'FDEG', 'FDEG'), ('PKG000012', 'TLMD', '2'), ('PKG000013', 'FDEG', 'FDEG'), ('PKG000014', 'USPS', 'USPS'), ('PKG000015', 'TLMD', '2'), ('PKG000016', 'TLMD', '1'), ('PKG000017', 'TLMD', '3AB'), ('PKG000018', 'USPS', 'USPS'), ('PKG000019', 'TLMD', '2'), ('PKG000020', 'TLMD', '2'), ('PKG000021', 'USPS', 'USPS'), ('PKG000022', 'TLMD', '1'), ('PKG000023', 'TLMD', '2'), ('PKG000024', 'TLMD', '1'), ('PKG000025', 'TLMD', '3AB'), ('PKG000026', 'USPS', 'USPS'), ('PKG000027', 'FDEG', 'FDEG'), ('PKG000028', 'TLMD', '1'), ('PKG000029', 'TLMD', '2'), ('PKG000030', 'FDEG', 'FDEG'), ('PKG000031', 'UPSN', 'UPSN'), ('PKG000032', 'FDEG', 'FDEG'), ('PKG000033', 'TLMD', '3AB'), ('PKG000034', 'FDEG', 'FDEG'), ('PKG000035', 'TLMD', '2'), ('PKG000036', 'FDEG', 'FDEG'), ('PKG000037', 'TLMD', '1'), ('PKG000038', 'TLMD', '2'), ('PKG000039', 'TLMD', '1'), ('PKG000040', 'USPS', 'USPS'), ('PKG000041', 'TLMD', '3AB'), ('PKG000042', 'TLMD', '1'), ('PKG000043', 'TLMD', '3AB'), ('PKG000044', 'TLMD', '3AB'), ('PKG000045', 'TLMD', '2'), ('PKG000046', 'TLMD', '1'), ('PKG000047', 'TLMD', '1')]",A
1,2,55,94.15132180873012,"[('PKG000048', 'TLMD', '2'), ('PKG000049', 'TLMD', '3AB'), ('PKG000050', 'TLMD', '3AB'), ('PKG000051', 'TLMD', '2'), ('PKG000052', 'FDEG', 'FDEG'), ('PKG000053', 'TLMD', '3AB'), ('PKG000054', 'TLMD', '2'), ('PKG000055', 'TLMD', '3AB'), ('PKG000056', 'UPSN', 'UPSN'), ('PKG000057', 'TLMD', '3AB'), ('PKG000058', 'TLMD', '1'), ('PKG000059', 'TLMD', '3AB'), ('PKG000060', 'TLMD', '1'), ('PKG000061', 'TLMD', '2'), ('PKG000062', 'UPSN', 'UPSN'), ('PKG000063', 'TLMD', '1'), ('PKG000064', 'TLMD', '1'), ('PKG000065', 'TLMD', '3AB'), ('PKG000066', 'TLMD', '2'), ('PKG000067', 'TLMD', '3AB'), ('PKG000068', 'TLMD', '1'), ('PKG000069', 'UPSN', 'UPSN'), ('PKG000070', 'TLMD', '2'), ('PKG000071', 'FDEG', 'FDEG'), ('PKG000072', 'TLMD', '2'), ('PKG000073', 'UPSN', 'UPSN'), ('PKG000074', 'TLMD', '1'), ('PKG000075', 'TLMD', '3AB'), ('PKG000076', 'TLMD', '1'), ('PKG000077', 'TLMD', '3AB'), ('PKG000078', 'TLMD', '2'), ('PKG000079', 'FDEG', 'FDEG'), ('PKG000080', 'UPSN', 'UPSN'), ('PKG000081', 'TLMD', '1'), ('PKG000082', 'TLMD', '2'), ('PKG000083', 'USPS', 'USPS'), ('PKG000084', 'TLMD', '1'), ('PKG000085', 'FDEG', 'FDEG'), ('PKG000086', 'TLMD', '2'), ('PKG000087', 'TLMD', '3AB'), ('PKG000088', 'USPS', 'USPS'), ('PKG000089', 'UPSN', 'UPSN'), ('PKG000090', 'TLMD', '1'), ('PKG000091', 'USPS', 'USPS'), ('PKG000092', 'TLMD', '1'), ('PKG000093', 'TLMD', '2'), ('PKG000094', 'TLMD', '1'), ('PKG000095', 'USPS', 'USPS'), ('PKG000096', 'TLMD', '1'), ('PKG000097', 'TLMD', '3AB'), ('PKG000098', 'TLMD', '1'), ('PKG000099', 'TLMD', '3AB'), ('PKG000100', 'FDEG', 'FDEG'), ('PKG000101', 'TLMD', '3AB'), ('PKG000102', 'TLMD', '1')]",A
2,3,50,94.15132180873012,"[('PKG000103', 'TLMD', '3AB'), ('PKG000104', 'TLMD', '2'), ('PKG000105', 'TLMD', '1'), ('PKG000106', 'TLMD', '2'), ('PKG000107', 'TLMD', '2'), ('PKG000108', 'TLMD', '3AB'), ('PKG000109', 'TLMD', '1'), ('PKG000110', 'TLMD', '1'), ('PKG000111', 'TLMD', '1'), ('PKG000112', 'TLMD', '3AB'), ('PKG000113', 'UPSN', 'UPSN'), ('PKG000114', 'FDEG', 'FDEG'), ('PKG000115', 'TLMD', '3AB'), ('PKG000116', 'FDEG', 'FDEG'), ('PKG000117', 'USPS', 'USPS'), ('PKG000118', 'TLMD', '1'), ('PKG000119', 'TLMD', '1'), ('PKG000120', 'TLMD', '1'), ('PKG000121', 'USPS', 'USPS'), ('PKG000122', 'UPSN', 'UPSN'), ('PKG000123', 'TLMD', '2'), ('PKG000124', 'TLMD', '2'), ('PKG000125', 'TLMD', '2'), ('PKG000126', 'FDEG', 'FDEG'), ('PKG000127', 'TLMD', '1'), ('PKG000128', 'TLMD', '3AB'), ('PKG000129', 'TLMD', '2'), ('PKG000130', 'TLMD', '1'), ('PKG000131', 'TLMD', '1'), ('PKG000132', 'UPSN', 'UPSN'), ('PKG000133', 'UPSN', 'UPSN'), ('PKG000134', 'TLMD', '1'), ('PKG000135', 'TLMD', '1'), ('PKG000136', 'TLMD', '3AB'), ('PKG000137', 'USPS', 'USPS'), ('PKG000138', 'TLMD', '1'), ('PKG000139', 'TLMD', '3AB'), ('PKG000140', 'TLMD', '2'), ('PKG000141', 'TLMD', '2'), ('PKG000142', 'TLMD', '2'), ('PKG000143', 'USPS', 'USPS'), ('PKG000144', 'TLMD', '1'), ('PKG000145', 'TLMD', '3AB'), ('PKG000146', 'USPS', 'USPS'), ('PKG000147', 'TLMD', '2'), ('PKG000148', 'TLMD', '1'), ('PKG000149', 'TLMD', '1'), ('PKG000150', 'TLMD', '2'), ('PKG000151', 'TLMD', '3AB'), ('PKG000152', 'TLMD', '1')]",A
3,4,56,94.15132180873012,"[('PKG000153', 'TLMD', '1'), ('PKG000154', 'TLMD', '1'), ('PKG000155', 'TLMD', '2'), ('PKG000156', 'USPS', 'USPS'), ('PKG000157', 'TLMD', '2'), ('PKG000158', 'TLMD', '3AB'), ('PKG000159', 'TLMD', '1'), ('PKG000160', 'USPS', 'USPS'), ('PKG000161', 'TLMD', '1'), ('PKG000162', 'TLMD', '1'), ('PKG000163', 'TLMD', '1'), ('PKG000164', 'USPS', 'USPS'), ('PKG000165', 'TLMD', '2'), ('PKG000166', 'TLMD', '2'), ('PKG000167', 'TLMD', '1'), ('PKG000168', 'FDEG', 'FDEG'), ('PKG000169', 'FDEG', 'FDEG'), ('PKG000170', 'FDEG', 'FDEG'), ('PKG000171', 'TLMD', '3AB'), ('PKG000172', 'USPS', 'USPS'), ('PKG000173', 'FDEG', 'FDEG'), ('PKG000174', 'TLMD', '3AB'), ('PKG000175', 'USPS', 'USPS'), ('PKG000176', 'UPSN', 'UPSN'), ('PKG000177', 'TLMD', '3AB'), ('PKG000178', 'TLMD', '1'), ('PKG000179', 'TLMD', '1'), ('PKG000180', 'TLMD', '1'), ('PKG000181', 'UPSN', 'UPSN'), ('PKG000182', 'TLMD', '1'), ('PKG000183', 'TLMD', '3AB'), ('PKG000184', 'TLMD', '3AB'), ('PKG000185', 'TLMD', '3AB'), ('PKG000186', 'TLMD', '1'), ('PKG000187', 'TLMD', '2'), ('PKG000188', 'TLMD', '2'), ('PKG000189', 'TLMD', '3AB'), ('PKG000190', 'FDEG', 'FDEG'), ('PKG000191', 'TLMD', '1'), ('PKG000192', 'TLMD', '1'), ('PKG000193', 'TLMD', '3AB'), ('PKG000194', 'UPSN', 'UPSN'), ('PKG000195', 'TLMD', '3AB'), ('PKG000196', 'TLMD', '2'), ('PKG000197', 'TLMD', '1'), ('PKG000198', 'TLMD', '1'), ('PKG000199', 'TLMD', '2'), ('PKG000200', 'TLMD', '1'), ('PKG000201', 'TLMD', '1'), ('PKG000202', 'TLMD', '3AB'), ('PKG000203', 'FDEG', 'FDEG'), ('PKG000204', 'TLMD', '3AB'), ('PKG000205', 'FDEG', 'FDEG'), ('PKG000206', 'TLMD', '2'), ('PKG000207', 'TLMD', '2'), ('PKG000208', 'TLMD', '3AB')]",A
4,5,55,94.15132180873012,"[('PKG000209', 'TLMD', '2'), ('PKG000210', 'TLMD', '1'), ('PKG000211', 'FDEG', 'FDEG'), ('PKG000212', 'TLMD', '1'), ('PKG000213', 'TLMD', '1'), ('PKG000214', 'TLMD', '1'), ('PKG000215', 'TLMD', '3AB'), ('PKG000216', 'UPSN', 'UPSN'), ('PKG000217', 'TLMD', '2'), ('PKG000218', 'TLMD', '2'), ('PKG000219', 'USPS', 'USPS'), ('PKG000220', 'TLMD', '2'), ('PKG000221', 'USPS', 'USPS'), ('PKG000222', 'TLMD', '2'), ('PKG000223', 'TLMD', '2'), ('PKG000224', 'TLMD', '1'), ('PKG000225', 'TLMD', '3AB'), ('PKG000226', 'TLMD', '3AB'), ('PKG000227', 'TLMD', '3AB'), ('PKG000228', 'TLMD', '1'), ('PKG000229', 'TLMD', '2'), ('PKG000230', 'TLMD', '2'), ('PKG000231', 'TLMD', '2'), ('PKG000232', 'FDEG', 'FDEG'), ('PKG000233', 'TLMD', '1'), ('PKG000234', 'TLMD', '2'), ('PKG000235', 'TLMD', '3AB'), ('PKG000236', 'UPSN', 'UPSN'), ('PKG000237', 'TLMD', '2'), ('PKG000238', 'UPSN', 'UPSN'), ('PKG000239', 'TLMD', '3AB'), ('PKG000240', 'TLMD', '2'), ('PKG000241', 'TLMD', '1'), ('PKG000242', 'TLMD', '2'), ('PKG000243', 'FDEG', 'FDEG'), ('PKG000244', 'UPSN', 'UPSN'), ('PKG000245', 'TLMD', '3AB'), ('PKG000246', 'TLMD', '1'), ('PKG000247', 'TLMD', '1'), ('PKG000248', 'TLMD', '1'), ('PKG000249', 'UPSN', 'UPSN'), ('PKG000250', 'TLMD', '2'), ('PKG000251', 'FDEG', 'FDEG'), ('PKG000252', 'FDEG', 'FDEG'), ('PKG000253', 'TLMD', '1'), ('PKG000254', 'FDEG', 'FDEG'), ('PKG000255', 'TLMD', '3AB'), ('PKG000256', 'TLMD', '1'), ('PKG000257', 'TLMD', '2'), ('PKG000258', 'TLMD', '3AB'), ('PKG000259', 'TLMD', '3AB'), ('PKG000260', 'TLMD', '3AB'), ('PKG000261', 'TLMD', '3AB'), ('PKG000262', 'TLMD', '2'), ('PKG000263', 'TLMD', '1')]",A
5,6,59,105.36293071549598,"[('PKG000264', 'TLMD', '1'), ('PKG000265', 'FDEG', 'FDEG'), ('PKG000266', 'TLMD', '1'), ('PKG000267', 'USPS', 'USPS'), ('PKG000268', 'FDEG', 'FDEG'), ('PKG000269', 'TLMD', '1'), ('PKG000270', 'UPSN', 'UPSN'), ('PKG000271', 'FDEG', 'FDEG'), ('PKG000272', 'TLMD', '1'), ('PKG000273', 'TLMD', '1'), ('PKG000274', 'TLMD', '2'), ('PKG000275', 'TLMD', '1'), ('PKG000276', 'TLMD', '1'), ('PKG000277', 'TLMD', '2'), ('PKG000278', 'TLMD', '1'), ('PKG000279', 'TLMD', '2'), ('PKG000280', 'TLMD', '2'), ('PKG000281', 'TLMD', '2'), ('PKG000282', 'TLMD', '1'), ('PKG000283', 'FDEG', 'FDEG'), ('PKG000284', 'TLMD', '3AB'), ('PKG000285', 'FDEG', 'FDEG'), ('PKG000286', 'TLMD', '1'), ('PKG000287', 'TLMD', '1'), ('PKG000288', 'TLMD', '1'), ('PKG000289', 'USPS', 'USPS'), ('PKG000290', 'UPSN', 'UPSN'), ('PKG000291', 'TLMD', '1'), ('PKG000292', 'TLMD', '2'), ('PKG000293', 'TLMD', '3AB'), ('PKG000294', 'TLMD', '3AB'), ('PKG000295', 'UPSN', 'UPSN'), ('PKG000296', 'TLMD', '2'), ('PKG000297', 'TLMD', '1'), ('PKG000298', 'TLMD', '3AB'), ('PKG000299', 'TLMD', '3AB'), ('PKG000300', 'TLMD', '2'), ('PKG000301', 'TLMD', '2'), ('PKG000302', 'FDEG', 'FDEG'), ('PKG000303', 'TLMD', '1'), ('PKG000304', 'TLMD', '1'), ('PKG000305', 'TLMD', '3AB'), ('PKG000306', 'FDEG', 'FDEG'), ('PKG000307', 'TLMD', '1'), ('PKG000308', 'TLMD', '1'), ('PKG000309', 'TLMD', '2'), ('PKG000310', 'TLMD', '1'), ('PKG000311', 'TLMD', '1'), ('PKG000312', 'TLMD', '2'), ('PKG000313', 'TLMD', '1'), ('PKG000314', 'FDEG', 'FDEG'), ('PKG000315', 'TLMD', '1'), ('PKG000316', 'TLMD', '3AB'), ('PKG000317', 'TLMD', '3AB'), ('PKG000318', 'TLMD', '1'), ('PKG000319', 'TLMD', '3AB'), ('PKG000320', 'TLMD', '1'), ('PKG000321', 'TLMD', '3AB'), ('PKG000322', 'TLMD', '3AB')]",A
6,7,48,105.36293071549598,"[('PKG000323', 'TLMD', '3AB'), ('PKG000324', 'FDEG', 'FDEG'), ('PKG000325', 'TLMD', '3AB'), ('PKG000326', 'FDEG', 'FDEG'), ('PKG000327', 'TLMD', '1'), ('PKG000328', 'TLMD', '2'), ('PKG000329', 'UPSN', 'UPSN'), ('PKG000330', 'TLMD', '1'), ('PKG000331', 'FDEG', 'FDEG'), ('PKG000332', 'USPS', 'USPS'), ('PKG000333', 'TLMD', '3AB'), ('PKG000334', 'TLMD', '3AB'), ('PKG000335', 'FDEG', 'FDEG'), ('PKG000336', 'TLMD', '3AB'), ('PKG000337', 'TLMD', '3AB'), ('PKG000338', 'UPSN', 'UPSN'), ('PKG000339', 'TLMD', '1'), ('PKG000340', 'TLMD', '1'), ('PKG000341', 'FDEG', 'FDEG'), ('PKG000342', 'TLMD', '3AB'), ('PKG000343', 'TLMD', '2'), ('PKG000344', 'FDEG', 'FDEG'), ('PKG000345', 'TLMD', '2'), ('PKG000346', 'TLMD', '1'), ('PKG000347', 'TLMD', '2'), ('PKG000348', 'FDEG', 'FDEG'), ('PKG000349', 'TLMD', '1'), ('PKG000350', 'UPSN', 'UPSN'), ('PKG000351', 'TLMD', '1'), ('PKG000352', 'TLMD', '2'), ('PKG000353', 'TLMD', '1'), ('PKG000354', 'TLMD', '1'), ('PKG000355', 'TLMD', '1'), ('PKG000356', 'FDEG', 'FDEG'), ('PKG000357', 'TLMD', '3AB'), ('PKG000358', 'TLMD', '1'), ('PKG000359', 'TLMD', '3AB'), ('PKG000360', 'TLMD', '2'), ('PKG000361', 'TLMD', '3AB'), ('PKG000362', 'UPSN', 'UPSN'), ('PKG000363', 'TLMD', '2'), ('PKG000364', 'FDEG', 'FDEG'), ('PKG000365', 'TLMD', '3AB'), ('PKG000366', 'USPS', 'USPS'), ('PKG000367', 'TLMD', '1'), ('PKG000368', 'TLMD', '1'), ('PKG000369', 'TLMD', '1'), ('PKG000370', 'TLMD', '2')]",A
7,8,50,105.36293071549598,"[('PKG000371', 'FDEG', 'FDEG'), ('PKG000372', 'UPSN', 'UPSN'), ('PKG000373', 'TLMD', '2'), ('PKG000374', 'FDEG', 'FDEG'), ('PKG000375', 'FDEG', 'FDEG'), ('PKG000376', 'TLMD', '1'), ('PKG000377', 'USPS', 'USPS'), ('PKG000378', 'FDEG', 'FDEG'), ('PKG000379', 'TLMD', '1'), ('PKG000380', 'UPSN', 'UPSN'), ('PKG000381', 'TLMD', '1'), ('PKG000382', 'TLMD', '2'), ('PKG000383', 'TLMD', '1'), ('PKG000384', 'FDEG', 'FDEG'), ('PKG000385', 'TLMD', '3AB'), ('PKG000386', 'TLMD', '2'), ('PKG000387', 'TLMD', '3AB'), ('PKG000388', 'UPSN', 'UPSN'), ('PKG000389', 'TLMD', '3AB'), ('PKG000390', 'TLMD', '1'), ('PKG000391', 'TLMD', '3AB'), ('PKG000392', 'FDEG', 'FDEG'), ('PKG000393', 'USPS', 'USPS'), ('PKG000394', 'TLMD', '2'), ('PKG000395', 'TLMD', '1'), ('PKG000396', 'TLMD', '1'), ('PKG000397', 'TLMD', '3AB'), ('PKG000398', 'USPS', 'USPS'), ('PKG000399', 'TLMD', '2'), ('PKG000400', 'UPSN', 'UPSN'), ('PKG000401', 'TLMD', '2'), ('PKG000402', 'UPSN', 'UPSN'), ('PKG000403', 'TLMD', '2'), ('PKG000404', 'USPS', 'USPS'), ('PKG000405', 'TLMD', '2'), ('PKG000406', 'TLMD', '3AB'), ('PKG000407', 'TLMD', '1'), ('PKG000408', 'TLMD', '1'), ('PKG000409', 'TLMD', '2'), ('PKG000410', 'FDEG', 'FDEG'), ('PKG000411', 'TLMD', '1'), ('PKG000412', 'USPS', 'USPS'), ('PKG000413', 'TLMD', '1'), ('PKG000414', 'UPSN', 'UPSN'), ('PKG000415', 'TLMD', '1'), ('PKG000416', 'TLMD', '2'), ('PKG000417', 'TLMD', '1'), ('PKG000418', 'FDEG', 'FDEG'), ('PKG000419', 'TLMD', '2'), ('PKG000420', 'TLMD', '3AB')]",A
8,9,46,105.36293071549598,"[('PKG000421', 'TLMD', '1'), ('PKG000422', 'TLMD', '2'), ('PKG000423', 'TLMD', '2'), ('PKG000424', 'TLMD', '1'), ('PKG000425', 'FDEG', 'FDEG'), ('PKG000426', 'TLMD', '2'), ('PKG000427', 'TLMD', '2'), ('PKG000428', 'UPSN', 'UPSN'), ('PKG000429', 'TLMD', '1'), ('PKG000430', 'FDEG', 'FDEG'), ('PKG000431', 'TLMD', '2'), ('PKG000432', 'TLMD', '2'), ('PKG000433', 'UPSN', 'UPSN'), ('PKG000434', 'TLMD', '3AB'), ('PKG000435', 'USPS', 'USPS'), ('PKG000436', 'TLMD', '1'), ('PKG000437', 'TLMD', '2'), ('PKG000438', 'FDEG', 'FDEG'), ('PKG000439', 'FDEG', 'FDEG'), ('PKG000440', 'TLMD', '3AB'), ('PKG000441', 'FDEG', 'FDEG'), ('PKG000442', 'TLMD', '2'), ('PKG000443', 'TLMD', '2'), ('PKG000444', 'TLMD', '1'), ('PKG000445', 'USPS', 'USPS'), ('PKG000446', 'TLMD', '3AB'), ('PKG000447', 'TLMD', '1'), ('PKG000448', 'TLMD', '3AB'), ('PKG000449', 'TLMD', '2'), ('PKG000450', 'TLMD', '3AB'), ('PKG000451', 'TLMD', '2'), ('PKG000452', 'TLMD', '1'), ('PKG000453', 'TLMD', '3AB'), ('PKG000454', 'TLMD', '1'), ('PKG000455', 'TLMD', '1'), ('PKG000456', 'UPSN', 'UPSN'), ('PKG000457', 'TLMD', '3AB'), ('PKG000458', 'TLMD', '1'), ('PKG000459', 'USPS', 'USPS'), ('PKG000460', 'TLMD', '1'), ('PKG000461', 'TLMD', '1'), ('PKG000462', 'TLMD', '1'), ('PKG000463', 'UPSN', 'UPSN'), ('PKG000464', 'FDEG', 'FDEG'), ('PKG000465', 'TLMD', '2'), ('PKG000466', 'TLMD', '1')]",A
9,10,63,105.36293071549598,"[('PKG000467', 'UPSN', 'UPSN'), ('PKG000468', 'UPSN', 'UPSN'), ('PKG000469', 'USPS', 'USPS'), ('PKG000470', 'FDEG', 'FDEG'), ('PKG000471', 'TLMD', '1'), ('PKG000472', 'TLMD', '1'), ('PKG000473', 'TLMD', '3AB'), ('PKG000474', 'TLMD', '2'), ('PKG000475', 'TLMD', '3AB'), ('PKG000476', 'TLMD', '1'), ('PKG000477', 'FDEG', 'FDEG'), ('PKG000478', 'TLMD', '3AB'), ('PKG000479', 'TLMD', '2'), ('PKG000480', 'TLMD', '2'), ('PKG000481', 'TLMD', '3AB'), ('PKG000482', 'USPS', 'USPS'), ('PKG000483', 'TLMD', '3AB'), ('PKG000484', 'TLMD', '1'), ('PKG000485', 'TLMD', '1'), ('PKG000486', 'FDEG', 'FDEG'), ('PKG000487', 'TLMD', '1'), ('PKG000488', 'TLMD', '1'), ('PKG000489', 'TLMD', '1'), ('PKG000490', 'TLMD', '3AB'), ('PKG000491', 'FDEG', 'FDEG'), ('PKG000492', 'TLMD', '1'), ('PKG000493', 'TLMD', '1'), ('PKG000494', 'TLMD', '3AB'), ('PKG000495', 'UPSN', 'UPSN'), ('PKG000496', 'TLMD', '2'), ('PKG000497', 'UPSN', 'UPSN'), ('PKG000498', 'TLMD', '2'), ('PKG000499', 'UPSN', 'UPSN'), ('PKG000500', 'FDEG', 'FDEG'), ('PKG000501', 'FDEG', 'FDEG'), ('PKG000502', 'TLMD', '2'), ('PKG000503', 'TLMD', '1'), ('PKG000504', 'TLMD', '1'), ('PKG000505', 'TLMD', '1'), ('PKG000506', 'TLMD', '1'), ('PKG000507', 'FDEG', 'FDEG'), ('PKG000508', 'FDEG', 'FDEG'), ('PKG000509', 'USPS', 'USPS'), ('PKG000510', 'TLMD', '1'), ('PKG000511', 'UPSN', 'UPSN'), ('PKG000512', 'TLMD', '1'), ('PKG000513', 'USPS', 'USPS'), ('PKG000514', 'TLMD', '2'), ('PKG000515', 'USPS', 'USPS'), ('PKG000516', 'USPS', 'USPS'), ('PKG000517', 'TLMD', '3AB'), ('PKG000518', 'TLMD', '3AB'), ('PKG000519', 'TLMD', '3AB'), ('PKG000520', 'FDEG', 'FDEG'), ('PKG000521', 'TLMD', '3AB'), ('PKG000522', 'FDEG', 'FDEG'), ('PKG000523', 'TLMD', '1'), ('PKG000524', 'TLMD', '2'), ('PKG000525', 'TLMD', '2'), ('PKG000526', 'TLMD', '1'), ('PKG000527', 'TLMD', '3AB'), ('PKG000528', 'USPS', 'USPS'), ('PKG000529', 'TLMD', '3AB')]",A
