,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
0,12100,7470,4630,2988,2241,1939,302,7470.0,4860,4500,551,724,716,73,580,516,73,956,866,100,9,14,3,2591,2388,302,2189,537.2779753339037,1136.02724372784,360.0,873.7467610943283,1107.2852226327839,1327.4670408146621,1354.921586269217,505.34317793129924,505.39317793129925,505.3598445979659,498.1728316109527,116,24,31,39,1,0
1,12100,8730,3370,3492,2619,1826,793,8730.0,4563,3604,1258,587,499,175,404,316,113,597,497,176,2,3,1,2973,2289,793,2675,452.37469962663056,1106.4484689364938,360.0,634.0176192393711,1038.4538663255807,1287.2720481438191,1359.2720481438437,396.952496853789,400.1395098408021,399.8782544295467,314.33799468928447,137,17,26,26,1,0
2,12100,7716,4384,3086,2315,1811,504,,3996,4193,964,741,859,216,731,746,165,422,425,79,0,0,0,2102,2163,504,2947,558.9650083622928,1244.0273535287643,360.0,921.5643291729928,1161.9112988699887,1409.4567534154994,,512.8642427817233,512.7451951626757,511.1841562016367,0.0,120,33,37,19,0,500
3,12100,7139,4961,2856,2142,1876,265,,3200,3294,804,627,655,160,1011,1073,253,484,558,124,6,8,2,1072,1000,265,4802,634.8741720783754,1358.93980507874,360.0,1068.520868472869,1278.2481412002082,,,560.7945299544756,559.7369541968998,561.4694217293674,527.6345732445179,111,47,29,24,1,1581
4,12100,7136,4964,2854,2141,1698,443,,5348,3271,925,1410,819,259,826,568,133,503,336,87,10,10,3,2599,1538,443,2556,570.3694167739067,1230.5397318883636,360.0,920.1517236005988,1144.6971781460734,1384.8789963279442,,531.7987746372678,531.7630603515536,531.4518049402982,529.1676058060989,111,31,50,19,1,167
5,12100,7228,4872,2891,2168,1614,555,7228.0,4987,3321,1119,854,555,197,673,444,153,1042,713,211,13,14,3,2405,1595,555,2673,542.3820100151277,1187.2689811033024,360.0,874.4861076346666,1101.3951985437498,1348.9406530892543,1399.486107634726,501.3986490302121,502.2116360431991,502.6609866925498,498.1425884241514,113,26,33,40,1,0
6,12100,7653,4447,3061,2296,1851,445,7653.0,3979,3984,888,702,634,143,456,491,110,845,863,189,5,8,1,1971,1988,445,3249,528.9473234982737,1168.4668876608139,360.0,866.0915221239217,1104.8021281845188,1351.802128184576,1392.3475827300445,479.6158522364539,480.2574106780124,481.3983197689215,469.01801673861814,120,22,30,38,1,0
7,12100,7848,4252,3139,2354,1688,667,,3987,3625,1283,648,582,205,448,405,131,781,742,273,16,14,7,2094,1882,667,3205,517.2672623797084,1191.130076435307,360.0,857.3159807827152,1095.8501299668478,1360.1228572396274,,466.46247695656257,466.63390552799115,466.8594466535323,465.110312454398,123,20,29,36,1,119
8,12100,7967,4133,3187,2390,1728,662,7967.0,4259,3590,1220,715,613,214,718,560,199,517,432,144,10,10,1,2299,1975,662,3031,491.35039112171444,1143.6444471162588,360.0,657.3979667402087,1058.8578735000856,1315.76696440923,1375.9487825910687,444.8398144898212,444.90886210886885,443.40193570194236,440.94219544220203,125,30,31,22,1,0
9,12100,7656,4444,3062,2297,1681,616,,4627,3383,1237,674,523,184,808,587,251,716,515,186,0,0,0,2429,1758,616,2853,521.3627017678125,1188.8980929659797,360.0,857.6338609254568,1092.4870077785856,1357.2142805059104,,476.80793816341844,476.68889054437085,476.48001608549635,0.0,120,33,28,29,0,35
