,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
0,12500,8991,3509,3596,2697,2351,347,8991.0,4144,4496,572,308,343,48,520,589,75,713,802,101,5,4,1,2598,2758,347,3288,485.58527796352877,1140.397662096131,360.0,847.9687216142231,1116.2873819609276,1369.9237455973641,1401.3782910519203,436.35472669901844,436.06013795442965,436.3213933656851,366.4980167423069,141,24,14,33,1,0
1,12500,8467,4033,3387,2540,2030,510,,5034,3073,876,588,329,92,514,344,87,1181,707,186,1,3,1,2750,1690,510,3517,510.47530934334196,1173.1339159239835,360.0,864.1074139012516,1123.2682530620839,1372.6318894257831,,457.4513394834546,458.35004078215593,458.19527887739406,443.8212529033677,133,19,21,42,1,99
2,12500,8741,3759,3496,2622,2053,570,8741.0,5393,3179,918,737,445,116,725,430,115,640,409,114,14,11,3,3277,1884,570,3010,468.97617672441396,1115.4773225669323,360.0,650.7993327044446,1068.1893093943945,1317.7347639399127,1369.5529457581122,408.22534423991783,408.79785506242865,408.69547411004766,400.60564727022063,136,26,26,24,1,0
3,12500,8263,4237,3305,2479,2012,467,,4201,3356,969,992,765,246,675,522,155,418,348,100,4,11,1,2112,1710,467,3974,531.0760250169105,1237.9826397393153,360.0,893.1395398714892,1148.3143650463278,,,469.37395852255264,469.7733091719033,469.42633947493357,459.8694130680069,129,28,41,18,1,590
4,12500,7752,4748,3101,2326,1846,479,,5196,3542,929,908,650,159,784,509,131,858,568,159,14,7,1,2632,1808,479,2833,553.0677432316655,1233.4960844173181,360.0,911.8581659389572,1153.130893211705,1401.949075029944,,511.41080100917185,511.96253261090345,511.9101516585225,440.88201313038195,121,29,35,32,1,390
5,12500,8868,3632,3547,2660,2126,535,,4255,2988,974,1170,800,263,460,343,107,234,171,68,9,6,1,2382,1668,535,4283,503.1610764291005,1198.8129677253844,360.0,865.0034679262383,1135.5209504437182,1407.6118595346932,,435.3614299605173,436.0196550687424,436.0720360211233,416.2590490081362,138,19,45,10,1,508
6,12500,7048,5452,2819,2114,1620,495,,4898,4660,1006,798,761,162,412,441,93,1301,1208,254,12,8,2,2375,2242,495,1936,640.0643412208825,1358.694204848864,360.0,1075.2590622918422,1282.4408804737259,,,613.2892753213939,614.3111367932554,614.3968510789697,486.4301844122994,110,19,35,56,1,1557
7,12500,8442,4058,3377,2533,1986,546,,4179,4173,979,454,462,123,752,765,186,605,564,124,13,10,0,2355,2372,546,3169,518.6425696585627,1199.003734588236,360.0,877.0188317991219,1137.1839833142785,1394.5476196779764,,468.4102342930605,468.3578533406796,468.1472472800735,435.2836109164362,131,35,21,26,1,378
8,12500,7028,5472,2811,2108,1835,274,,5529,3657,624,887,568,101,1599,1103,191,572,374,57,10,9,1,2461,1603,274,2690,642.649673434801,1333.5984597441454,360.0,1080.380111111415,1287.016474747844,,,604.0071092054036,601.7729100712044,602.8471524954468,593.7395767378708,111,58,32,21,1,1273
9,12500,8416,4084,3366,2525,2182,343,,3697,2798,811,726,549,169,591,461,139,706,564,157,12,7,3,1662,1217,343,5194,538.3806684394744,1254.0932170074818,360.0,911.1701903985066,1170.5435004218427,,,458.1203424012939,457.42640300735445,458.46731209826356,414.09848092943156,131,24,29,29,1,814
