,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
0,12100,7470,4630,2988,2241,1939,302,7470.0,4860,4500,551,724,716,73,580,516,73,956,866,100,9,14,3,2591,2388,302,2189,537.2773363002162,,360.0,873.7465909058121,1107.2178030270184,1298.3996212088966,1325.8541666634515,505.82586191398326,505.80919524731655,504.97954156766286,497.7568142949354,116,24,31,39,1,0
1,12100,8730,3370,3492,2619,1826,793,8730.0,4563,3604,1258,587,499,175,404,316,113,597,497,176,2,3,1,2973,2289,793,2675,452.3479394144263,,360.0,633.9883310020883,1038.424578088298,1219.2427599065363,1291.4245780883791,398.80401200530423,399.04860074989296,399.0819340832263,314.52608992737976,137,17,26,26,1,0
2,12100,7716,4384,3086,2315,1811,504,7716.0,3996,4193,964,741,859,216,731,746,165,422,425,79,0,0,0,2102,2163,504,2947,558.9499180726597,,360.0,921.5462107595642,1161.8931804565602,1341.438635002071,1387.2568168202683,513.0023380198186,512.8475761150567,510.56337698085747,0.0,120,33,37,19,0,0
3,12100,7139,4961,2856,2142,1876,265,,3200,3294,804,627,655,160,1011,1073,253,484,558,124,6,8,2,1072,1000,265,4802,633.8681126741111,,360.0,1066.8666589303255,1276.5939316576646,,,559.7536208635664,559.6679065778521,559.9815429414886,530.1966944566392,111,47,29,24,1,674
4,12100,7136,4964,2854,2141,1698,443,7136.0,5348,3271,925,1410,819,259,826,568,133,503,336,87,10,10,3,2599,1538,443,2556,570.3623032888336,,360.0,920.1441458583432,1144.6896004038178,1313.8714185856886,1354.2350549493387,530.9857876242808,531.5208525593457,531.4351382736314,530.4799434684367,111,31,50,19,1,0
5,12100,7228,4872,2891,2168,1614,555,7228.0,4987,3321,1119,854,555,197,673,444,153,1042,713,211,13,14,3,2405,1595,555,2673,542.3834566897926,,360.0,874.4870312880857,1101.396122197169,1263.1233949244918,1313.4870312881453,502.12592175748483,501.86466634622946,502.2116360431991,498.1425884241514,113,26,33,40,1,0
6,12100,7653,4447,3061,2296,1851,445,7653.0,3979,3984,888,702,634,143,456,491,110,845,863,189,5,8,1,1971,1988,445,3249,528.9772826815803,,360.0,866.118654923944,1104.6641094693896,1287.8459276512651,1328.3913821967335,480.5686660892678,480.53533275593446,480.2216963922981,468.65438037498177,120,22,30,38,1,0
7,12100,7848,4252,3139,2354,1688,667,7848.0,3987,3625,1283,648,582,205,448,405,131,781,742,273,16,14,7,2094,1882,667,3205,516.2591512477804,,360.0,856.2264704229905,1094.1425543390576,1262.4152816118371,1323.1425543391306,466.4458102898959,466.46247695656257,466.5315245756102,465.4906154847011,123,20,29,36,1,0
8,12100,7967,4133,3187,2390,1728,662,7967.0,4259,3590,1220,715,613,214,718,560,199,517,432,144,10,10,1,2299,1975,662,3031,491.3362835137719,,360.0,657.3847866822316,1058.8446934421083,1230.935602533071,1291.1174207149097,445.18678418679093,444.8398144898212,443.47098332099,440.5095114595181,125,30,31,22,1,0
9,12100,7656,4444,3062,2297,1681,616,7656.0,4627,3383,1237,674,523,184,808,587,251,716,515,186,0,0,0,2429,1758,616,2853,521.3789410603712,,360.0,857.6509965040502,1092.504143357179,1260.2314160845037,1316.2314160845228,476.72222387770415,476.7055572110375,476.39430179978206,0.0,120,33,28,29,0,0
10,12100,7814,4286,3126,2344,1807,537,7814.0,4222,3809,975,851,812,183,114,118,25,1013,939,230,0,1,0,2244,1939,537,3094,534.3824452299942,,360.0,882.9598118793267,1125.8689027884207,1305.0507209702948,1353.9598118794024,484.63580372663296,486.4373188781482,486.3349379257672,400.1122106530379,123,6,37,44,1,0
11,12100,7571,4529,3028,2271,1619,653,7571.0,5478,4816,1098,875,783,207,630,596,121,645,536,114,12,7,3,3316,2894,653,708,490.5743323926859,,360.0,648.3985943927723,1031.3802960244348,1178.6530232972123,1252.9257505699597,484.97756186456184,484.89184757884755,485.16976965676963,471.53968307668265,118,27,38,26,1,0
12,12100,8794,3306,3518,2638,2185,453,8794.0,4169,4284,724,599,642,109,340,338,55,561,545,106,4,6,1,2665,2753,453,2923,470.57994032003563,,360.0,653.5100870156894,1072.897383052961,1286.4428375984833,1327.5337466894064,412.0012103037043,411.5685263210203,414.1996951521892,346.49428389677604,137,15,27,25,1,0
13,12100,7373,4727,2949,2212,1745,467,7373.0,4320,3196,1056,783,590,200,566,448,143,993,730,242,17,11,4,1961,1417,467,3528,542.5840156974,,360.0,879.981420733681,1111.0723298245873,1284.617784370096,1326.9814207337467,486.10924511075274,488.341063292571,489.0350026865104,486.194959396467,116,24,32,40,1,0
14,12100,8419,3681,3368,2526,1879,646,8419.0,3817,4035,1048,750,790,181,14,18,2,825,871,217,4,7,2,2224,2349,646,3200,475.16631983955835,,360.0,650.4451729220485,1059.3569444837901,1245.084217211121,1303.8114899384138,396.3718233409413,419.2642475833662,419.5421696612883,371.24758091669815,130,1,35,39,1,0
15,12100,8060,4040,3224,2418,1881,537,8060.0,4674,4099,962,1012,947,211,686,595,170,183,180,41,6,6,3,2787,2371,537,2365,474.2775365053797,,360.0,642.1726999733622,1033.2523037029277,1219.161394612077,1267.8886673393663,440.08797200389586,441.61156507748893,440.7985780645019,384.8957642116869,126,30,44,9,1,0
16,12100,8346,3754,3338,2504,2163,341,8346.0,3991,3185,647,1056,829,168,156,136,24,662,594,113,8,7,1,2109,1619,341,4277,496.073386402554,,360.0,845.1541220785043,1092.3209090146488,1303.8663635601704,1334.95727265109,410.57122746953087,413.8272880755916,413.91300236130587,411.2651668634703,131,7,42,28,1,0
17,12100,8685,3415,3474,2606,2131,474,8685.0,4504,2714,837,1031,581,178,476,274,99,436,238,85,12,4,1,2549,1617,474,4045,464.2552659905353,,360.0,644.9715111712035,1055.729436579098,1264.3658002155278,1307.4567093064516,387.7811609637185,387.90258953514706,387.7311609637185,374.75929949185667,136,17,36,16,1,0
18,12100,6495,5605,2598,1948,1446,503,6495.0,4687,3646,1223,1373,1082,352,709,550,194,642,504,173,17,8,1,1946,1502,503,2544,594.1803573636149,,360.0,941.1116232358279,1148.020714144946,1294.4752595995362,1340.1116232359154,556.8481191806396,558.2859979685185,557.9556949382154,514.0247425572618,101,30,57,27,1,0
19,12100,7983,4117,3193,2395,1906,489,7983.0,4139,2473,1084,997,585,249,585,348,167,632,372,178,3,0,1,1922,1168,489,4404,542.1754679128519,,360.0,901.6550379404874,1149.2914015768674,1337.5641288496538,1381.9277652133053,474.7069012473996,474.7426155331139,474.77594886644727,274.2190224595156,125,22,37,24,1,0
20,12100,7831,4269,3132,2349,2025,325,7831.0,4520,2329,763,468,224,88,1119,559,179,967,485,170,7,2,1,1959,1059,325,4488,566.1654200506433,,360.0,937.9360089483288,1181.390554402912,1380.3905544029747,1409.8450998575302,497.8749728427452,496.35137976915206,497.1643667821391,483.6074403752123,123,38,16,33,1,0
21,12100,7987,4113,3195,2396,1969,427,7987.0,3785,2493,1011,599,417,173,613,395,157,880,589,247,21,15,7,1672,1077,427,4811,532.9799773096736,,360.0,884.7091032454985,1132.3454668818679,1326.2545577910198,1365.163648700124,458.3862621575417,458.85227947355907,458.7832318545114,444.98171670299587,125,24,24,35,1,0
22,12100,7280,4820,2912,2184,1824,360,7280.0,5451,3276,756,1031,611,147,794,483,104,920,580,145,4,1,0,2702,1601,360,2617,542.4657326018375,,360.0,876.487646956777,1104.8512833204074,1285.6694651386458,1318.3967378659297,501.4515979448349,501.38255032578724,501.79856764180454,404.9113382045728,114,28,36,33,1,0
23,12100,7529,4571,3012,2259,1781,477,7529.0,4028,4094,955,778,731,194,460,417,105,815,885,177,3,4,2,1972,2057,477,3023,519.1694927120681,,360.0,852.0467025642439,1080.2538121213313,1257.0719939395683,1300.3447212123103,474.16004137834915,474.87064743895525,474.4736777419855,461.46848293679034,118,20,35,38,1,0
24,12100,8694,3406,3478,2608,1977,631,8694.0,4212,3443,977,646,489,112,158,168,31,860,722,200,14,3,3,2534,2061,631,3468,449.5797284778682,,360.0,630.4805072447111,1031.4369175010813,1226.0732811375062,1283.5278265920713,381.54421604941456,382.9820948372934,383.19096929616785,352.36759267279035,136,8,25,36,1,0
