,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
0,12500,8991,3509,3596,2697,2351,347,8991.0,4144,4496,572,308,343,48,520,589,75,713,802,101,5,4,1,2598,2758,347,3288,485.58419040221725,,360.0,847.9688986755183,1116.3025203154482,1344.9388839518847,1376.5752475882591,436.6683630626548,435.7988825431743,436.44044098473273,366.60039769468784,141,24,14,33,1,0
1,12500,8467,4033,3387,2540,2030,510,8467.0,5034,3073,876,588,329,92,514,344,87,1181,707,186,1,3,1,2750,1690,510,3517,511.46980112601574,,360.0,865.5792474366241,1126.3065201638951,1325.8519747094126,1372.2156110730648,457.4680061501213,458.9058849380001,459.2528546349698,441.9006901328048,133,19,21,42,1,0
2,12500,8741,3759,3496,2622,2053,570,8741.0,5393,3179,918,737,445,116,725,430,115,640,409,114,14,11,3,3277,1884,570,3010,468.9749713718312,,360.0,650.7963186521743,1068.1862953421241,1269.7317498876423,1321.5499317058418,408.41755203212557,409.0424438070174,408.86690268147623,399.63789835247167,136,26,26,24,1,0
3,12500,8263,4237,3305,2479,2012,467,8263.0,4201,3356,969,992,765,246,675,522,155,418,348,100,4,11,1,2112,1710,467,3974,531.081336381744,,360.0,893.1448375008695,1148.319662675708,1346.2287535848614,1388.5923899485122,469.42633947493357,468.3687637173578,468.7157334143275,462.13694553553944,129,28,41,18,1,0
4,12500,7752,4748,3101,2326,1846,479,7752.0,5196,3542,929,908,650,159,784,509,131,858,568,159,14,7,1,2632,1808,479,2833,553.0501050441585,,360.0,911.8406282931041,1153.1133555658519,1335.931537384091,1379.3860828386512,511.49651529488614,511.35430750267835,511.1495455979164,442.33655858492745,121,29,35,32,1,0
5,12500,8868,3632,3547,2660,2126,535,8868.0,4255,2988,974,1170,800,263,460,343,107,234,171,68,9,6,1,2382,1668,535,4283,503.1847334983766,,360.0,864.9589650320321,1135.4597808828455,1343.7325081556387,1392.2779627011098,436.00298840207574,435.6726853717727,435.70839965748695,416.29238234146953,138,19,45,10,1,0
6,12500,7048,5452,2819,2114,1620,495,,4898,4660,1006,798,761,162,412,441,93,1301,1208,254,12,8,2,2375,2242,495,1936,640.066406715287,,360.0,1075.260691387944,1282.4425095698277,,,613.2535610356796,613.2368943690129,613.2202277023463,488.59533592745095,110,19,35,56,1,712
7,12500,8442,4058,3377,2533,1986,546,8442.0,4179,4173,979,454,462,123,752,765,186,605,564,124,13,10,0,2355,2372,546,3169,518.6538353354267,,360.0,877.029669780487,1137.2114879623105,1332.5751243260083,1382.211487962389,468.4959485787748,468.04659792942414,468.5632645960908,437.154173686999,131,35,21,26,1,0
8,12500,7028,5472,2811,2108,1835,274,,5529,3657,624,887,568,101,1599,1103,191,572,374,57,10,9,1,2461,1603,274,2690,642.6361845500883,,360.0,1080.363474189774,1286.999837826203,,,602.8471524954468,602.9162001144945,602.1032131015074,594.5001827984769,111,58,32,21,1,756
9,12500,8416,4084,3366,2525,2182,343,,3697,2798,811,726,549,169,591,461,139,706,564,157,12,7,3,1662,1217,343,5194,538.3809701173112,,360.0,911.172368280219,1170.5456783035552,1383.9093146672592,,458.48397876493027,457.09848092943236,458.5863597173112,414.04609997705063,131,24,29,29,1,56
10,12500,7951,4549,3180,2385,1713,673,7951.0,4173,3840,1308,749,688,234,369,343,110,903,839,289,12,11,2,2140,1959,673,3179,492.7822459074672,,360.0,658.368049206297,1059.5455550337736,1230.1819186701903,1291.2728277611202,446.0499376134622,445.7029679164925,447.10513241865704,417.17937484289905,124,17,34,41,1,0
11,12500,8118,4382,3247,2435,1978,458,8118.0,4664,4020,816,1046,881,179,369,324,49,737,655,130,7,5,0,2505,2155,458,3000,527.7833221510941,,360.0,880.2257669634514,1131.4984942361828,1326.1348578726077,1367.7712215089855,480.78435531414937,481.02309990289393,481.13132501111903,416.7958271756198,127,15,43,31,1,0
12,12500,8102,4398,3241,2431,1569,861,8102.0,3439,4434,1601,388,500,189,629,830,296,600,700,251,9,2,4,1813,2402,861,3026,514.275835265697,,360.0,859.8799411850098,1108.8729481780042,1266.4184027235074,1344.6002209053522,471.21002743971985,466.8987720284643,471.54033047002287,364.1933607730506,127,36,22,32,1,0
13,12500,8620,3880,3448,2586,2098,488,8620.0,4382,2424,988,612,341,155,740,417,160,830,440,185,0,0,0,2200,1226,488,4706,518.2693121014089,,360.0,883.0879765120761,1147.9970674211777,1353.7243401485155,1398.087976512167,442.76121856175155,442.38091553144847,442.4666298171628,0.0,135,27,23,30,0,0
