,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
0,12100,7470,4630,2988,2241,1939,302,7470.0,4860,4500,551,724,716,73,580,516,73,956,866,100,9,14,3,2591,2388,302,2189,537.6354251488237,,360.0,876.1746017418255,1109.4718243283226,1300.2656556999036,1327.9319319247506,505.90446900831967,505.6059050961204,504.92686028900914,497.57832521372825,116,24,31,39,1,0
1,12100,8730,3370,3492,2619,1826,793,8730.0,4563,3604,1258,587,499,175,404,316,113,597,497,176,2,3,1,2973,2289,793,2675,453.73861120973464,,360.0,635.5559085218069,1039.8743606334644,1221.0302193575722,1293.057865863015,400.0177975631814,400.2809519043167,400.30838338682895,315.49954360639333,137,17,26,26,1,0
2,12100,7716,4384,3086,2315,1811,504,7716.0,3996,4193,964,741,859,216,731,746,165,422,425,79,0,0,0,2102,2163,504,2947,558.9838903363864,,360.0,922.3310763690233,1162.8190940829072,1341.8327746500443,1387.4899249170155,513.0400979736637,513.1724477374812,512.3758839283987,0.0,120,33,37,19,0,0
3,12100,7139,4961,2856,2142,1876,265,,3200,3294,804,627,655,160,1011,1073,253,484,558,124,6,8,2,1072,1000,265,4802,634.9451112612323,,360.0,1068.7832284086708,1279.2743219817332,,,560.3007942994467,560.1249031937045,560.4979802780985,526.8920122020629,111,47,29,24,1,702
4,12100,7136,4964,2854,2141,1698,443,7136.0,5348,3271,925,1410,819,259,826,568,133,503,336,87,10,10,3,2599,1538,443,2556,570.9060861659353,,360.0,920.498957122197,1144.5543421391756,1314.4010715838324,1354.8028099574656,530.4156202437168,530.9981225183038,530.8843621076948,530.0088360484352,111,31,50,19,1,0
5,12100,7228,4872,2891,2168,1614,555,7228.0,4987,3321,1119,854,555,197,673,444,153,1042,713,211,13,14,3,2405,1595,555,2673,542.3230736594688,,360.0,873.9882923868881,1101.3063249091895,1262.9214141712328,1313.4091031301455,503.1092314810931,503.40542235296755,501.74785716942773,494.33159459402856,113,26,33,40,1,0
6,12100,7653,4447,3061,2296,1851,445,7653.0,3979,3984,888,702,634,143,456,491,110,845,863,189,5,8,1,1971,1988,445,3249,530.3461768463334,,360.0,867.8922257678372,1107.3153103314462,1290.573870953193,1330.8329299098766,480.62902429695714,480.833745673454,480.5451880364974,473.5015091589511,120,22,30,38,1,0
7,12100,7848,4252,3139,2354,1688,667,7848.0,3987,3625,1283,648,582,205,448,405,131,781,742,273,16,14,7,2094,1882,667,3205,516.3066612857264,,360.0,856.0159483855718,1093.4774431723506,1261.6472216324673,1321.9437508776584,465.47518226537665,465.545529932566,465.6267432408945,464.7569829253394,123,20,29,36,1,0
8,12100,7967,4133,3187,2390,1728,662,7967.0,4259,3590,1220,715,613,214,718,560,199,517,432,144,10,10,1,2299,1975,662,3031,491.5490842874809,,360.0,657.4744846110347,1059.552067314465,1231.5921735116729,1292.3479524705817,444.07822709109917,444.3785756688911,442.8258756329586,443.08515077823347,125,30,31,22,1,0
9,12100,7656,4444,3062,2297,1681,616,7656.0,4627,3383,1237,674,523,184,808,587,251,716,515,186,0,0,0,2429,1758,616,2853,520.332788912091,,360.0,855.6664092908164,1088.482445522086,1256.4306516094528,1312.445678406666,475.7145258286103,475.79891844662484,475.4630205007449,0.0,120,33,28,29,0,0
10,12100,7814,4286,3126,2344,1807,537,7814.0,4222,3809,975,851,812,183,114,118,25,1013,939,230,0,1,0,2244,1939,537,3094,534.6498843569987,,360.0,880.6071556885325,1123.5333743797578,1302.8287492930153,1351.5963037439537,482.95531730059423,487.09606118818925,487.1367930697151,402.73313229976276,123,6,37,44,1,0
11,12100,7571,4529,3028,2271,1619,653,7571.0,5478,4816,1098,875,783,207,630,596,121,645,536,114,12,7,3,3316,2894,653,708,491.9133642023526,,360.0,649.591134133932,1033.0448202753928,1180.0163120875786,1254.1978591285867,485.7864927705568,485.70733557865793,485.6168085006341,468.8337757395362,118,27,38,26,1,0
12,12100,8794,3306,3518,2638,2185,453,8794.0,4169,4284,724,599,642,109,340,338,55,561,545,106,4,6,1,2665,2753,453,2923,471.2075435138878,,360.0,654.0423970162699,1075.2319260353609,1288.8013969682813,1329.9017186218578,411.655889185635,411.13890060536943,414.0025848571648,349.2315728402585,137,15,27,25,1,0
13,12100,7373,4727,2949,2212,1745,467,7373.0,4320,3196,1056,783,590,200,566,448,143,993,730,242,17,11,4,1961,1417,467,3528,545.1115839211878,,360.0,885.6967180183203,1116.310440999431,1289.7516106232933,1332.093891848798,488.8971068889027,488.5768254475883,489.14122429631647,487.1565913154929,116,24,32,40,1,0
14,12100,8419,3681,3368,2526,1879,646,8419.0,3817,4035,1048,750,790,181,14,18,2,825,871,217,4,7,2,2224,2349,646,3200,475.70146857588907,,360.0,650.7914778552911,1059.331895953772,1244.8164129455065,1303.7330484753188,402.18073187372806,435.171252458845,435.4004903973603,364.25439335800627,130,1,35,39,1,0
15,12100,8060,4040,3224,2418,1881,537,8060.0,4674,4099,962,1012,947,211,686,595,170,183,180,41,6,6,3,2787,2371,537,2365,474.7414647723452,,360.0,642.6402578907977,1034.331750692494,1220.359330927586,1269.3993668770404,441.3762839963787,441.0166920151079,440.52318740840406,382.87875718190026,126,30,44,9,1,0
16,12100,8346,3754,3338,2504,2163,341,8346.0,3991,3185,647,1056,829,168,156,136,24,662,594,113,8,7,1,2109,1619,341,4277,496.9944161028137,,360.0,846.4877857386658,1094.5836643831485,1305.8116491512478,1336.7047980147672,410.79476991180934,414.0132633631225,414.10431012021377,411.5088288487733,131,7,42,28,1,0
17,12100,8685,3415,3474,2606,2131,474,8685.0,4504,2714,837,1031,581,178,476,274,99,436,238,85,12,4,1,2549,1617,474,4045,464.18072159635295,,360.0,645.0708799444843,1056.067938362395,1264.7924358514358,1307.6990891423543,386.80077925597936,387.3920532280286,387.7395048803579,378.60484214269826,136,17,36,16,1,0
