,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
0,12100,7470,4630,2988,2241,1939,302,7470.0,4860,4500,551,724,716,73,580,516,73,956,866,100,9,14,3,2591,2388,302,2189,541.906317712752,1147.2680861686267,360.0,884.4117695076827,1118.7453313029787,1338.8591270920801,1366.8947090809465,504.1812157422484,504.2691808988446,504.6315026117508,502.4967551199123,116,24,31,39,1,0
1,12100,8730,3370,3492,2619,1826,793,8730.0,4563,3604,1258,587,499,175,404,316,113,597,497,176,2,3,1,2973,2289,793,2675,452.8125729494212,1115.0938334555108,360.0,635.8432197622448,1045.530740199837,1296.4251660969235,1368.7847489720823,395.56115317706957,398.7428250274573,399.13768259929134,318.3628609266254,137,17,26,26,1,0
2,12100,7716,4384,3086,2315,1811,504,,3996,4193,964,741,859,216,731,746,165,422,425,79,0,0,0,2102,2163,504,2947,556.3619676244853,1243.9424719988083,360.0,921.1675884629326,1162.1504643069325,1407.742027757406,,510.3797660810442,510.97624273069323,510.12719073884506,0.0,120,33,37,19,0,487
3,12100,7139,4961,2856,2142,1876,265,,3200,3294,804,627,655,160,1011,1073,253,484,558,124,6,8,2,1072,1000,265,4802,637.3230818476352,1370.0790124562643,360.0,1075.5110491688772,1286.3553082828503,,,561.1140893671561,560.2440364557789,562.1192560324006,519.6985875632071,111,47,29,24,1,1699
4,12100,7136,4964,2854,2141,1698,443,,5348,3271,925,1410,819,259,826,568,133,503,336,87,10,10,3,2599,1538,443,2556,573.0095841062367,1234.1369958566613,360.0,925.9517829925556,1150.0534590569168,1387.9086696702261,,532.2031060094503,532.0160854079882,531.2908638289324,526.2585307703288,111,31,50,19,1,195
5,12100,7228,4872,2891,2168,1614,555,7228.0,4987,3321,1119,854,555,197,673,444,153,1042,713,211,13,14,3,2405,1595,555,2673,545.0047979017206,1193.4219856303434,360.0,879.7391025626251,1109.750734215541,1355.1036704245096,1406.3138954037602,501.5162457101695,502.75172178742577,503.4887021742106,498.7281010180509,113,26,33,40,1,0
6,12100,7653,4447,3061,2296,1851,445,7653.0,3979,3984,888,702,634,143,456,491,110,845,863,189,5,8,1,1971,1988,445,3249,533.1311222290674,1179.9263340705236,360.0,874.8901394742282,1114.742751715574,1364.203780981779,1404.8088377259976,481.20567772854054,481.6258467746514,483.3393598664101,465.6402938671822,120,22,30,38,1,0
7,12100,7848,4252,3139,2354,1688,667,,3987,3625,1283,648,582,205,448,405,131,781,742,273,16,14,7,2094,1882,667,3205,516.6694372716279,1185.6105160523405,360.0,854.9770205247684,1090.1369563584963,1356.1122092295598,,463.3862609547935,464.05470201752456,464.1365286891974,462.30752615658605,123,20,29,36,1,68
8,12100,7967,4133,3187,2390,1728,662,7967.0,4259,3590,1220,715,613,214,718,560,199,517,432,144,10,10,1,2299,1975,662,3031,494.1957678756393,1148.264715745638,360.0,660.635013435888,1063.9422188207839,1320.013140236232,1379.858623339651,446.640763888875,446.7787147611305,445.12327829416654,443.15203268417355,125,30,31,22,1,0
9,12100,7656,4444,3062,2297,1681,616,7656.0,4627,3383,1237,674,523,184,808,587,251,716,515,186,0,0,0,2429,1758,616,2853,521.1353105006804,1179.3926154859278,360.0,853.9558467081168,1086.3390801899088,1350.080568780062,1406.2743131312548,474.562571653666,474.4863693517031,474.3481245461203,0.0,120,33,28,29,0,0
