,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
1,8300,5381,2919,2690,1883,527,807,5381,2719,2010,597,486,371,94,535,387,108,478,345,113,0,1,1,1220,906,281,2974,381.4205457,1017.755356,360,507.9884029,582.7884029,783.5276886,1051.694641,306.7219501,306.5719501,306.7469501,296.536815,84,21,20,19,1,[],[],[],1
2,8300,5111,3189,2556,1789,479,767,5111,2525,2155,700,541,507,142,397,368,126,534,416,143,8,5,2,1045,859,287,2920,380.9919743,995.8950157,360,502.0705457,573.2741172,592.0705457,1030.434301,317.1950074,317.114602,317.2700074,313.7713588,80,18,24,22,1,[],[],[],1
3,8300,5235,3065,2618,1832,336,785,5235,2985,2108,908,576,417,186,355,211,101,593,444,170,8,2,2,1453,1034,449,2299,376.5634029,1031.125813,360,500.2741172,572.93126,586.1884029,1081.865098,308.6646278,308.9450332,308.8950332,300.6315197,83,14,24,25,1,[],[],[],1
4,8300,6275,2025,3138,2196,711,941,6275,3359,2999,331,215,206,18,534,411,44,286,257,38,10,5,1,2314,2120,230,1611,371.70626,1006.814155,360,515.95626,782.3598315,833.8134029,1035.553441,323.9345488,324.498738,324.523738,294.4941925,98,20,9,12,1,[],[],[],2
5,8300,5479,2821,2740,1918,519,822,5479,3706,1855,543,585,282,78,366,174,51,787,374,112,10,2,0,1958,1023,302,2196,375.8491172,1029.830341,360,504.3598315,580.4741172,781.0134029,1065.769627,313.1573086,313.412714,313.237714,283.7592742,86,12,19,26,1,[],[],[],2
6,8300,5267,3033,2634,1843,328,790,5267,3162,2624,899,514,486,153,463,368,146,432,331,137,1,1,1,1752,1438,462,1615,371.70626,1022.303037,360,495.95626,569.1884029,582.0705457,1074.242323,329.1458776,328.9904722,328.6654722,307.7447105,83,20,24,18,1,[],[],[],2
7,8300,4791,3509,2396,1677,585,719,4791,2627,1707,485,758,507,134,571,360,102,561,378,114,15,7,2,722,455,133,3481,385.0634029,995.8108398,360,500.0026886,566.45626,589.6884029,1014.950126,309.5837703,310.2195811,310.0891757,308.3175541,75,21,28,22,1,[],[],[],1
8,8300,6029,2271,3014,2110,573,904,6029,2650,2419,566,96,91,27,438,449,104,504,453,103,5,1,0,1607,1425,332,2665,379.20626,959.8973033,360,518.63126,781.5134029,821.4884029,1024.836589,330.3980468,330.3230468,330.5676414,264.4537593,94,20,5,22,1,[],[],[],2
9,8300,5904,2396,2952,2066,382,886,5904,3098,2046,850,468,317,106,346,217,106,404,292,134,3,3,0,1877,1217,504,2306,376.6348315,1034.787961,360,513.4276886,595.5455457,792.3134029,1090.927247,309.207152,309.0625574,309.232152,301.1548792,92,14,18,17,1,[],[],[],2
10,8300,5559,2741,2780,1946,490,834,5559,3554,1845,654,394,190,72,394,207,80,809,420,158,12,4,1,1945,1024,343,2247,376.20626,998.7250842,360,506.3455457,583.4884029,782.9741172,1038.86437,291.504513,290.2132968,291.354513,265.1497219,86,14,14,28,1,[],[],[],1
