sortation_center_id,inbound_date,planned_arrival_datetime,actual_arrival_datetime,,actual_pallets,planned_pallets,actual_packages,planned_packages,planned_truck_sequence,actual_truck_sequence,day_of_week,Promotion,TMAX,TMIN,AWND,PRCP,SNOW,RAFT,yesterday_packages,Time Delta,Truck Number,Total Daily Packages,percentage contribution
3858,5/1/2024,5/1/2024 18:05,5/1/2024 17:29,6:05:00 PM,9,9,447,447,1,1,Wednesday,0,65.4,48.4,11.06666667,0.406969697,0,7303,7848,-35.99999999,1,8601,0.051970701
3858,5/1/2024,5/1/2024 18:44,5/1/2024 18:19,6:44:00 PM,11,11,604,604,2,4,Wednesday,0,65.4,48.4,11.06666667,0.406969697,0,7303,7848,-25,2,8601,0.070224393
3858,5/1/2024,5/1/2024 19:00,5/1/2024 18:08,7:00:00 PM,12,12,584,584,3,2,Wednesday,0,65.4,48.4,11.06666667,0.406969697,0,7303,7848,-51.99999999,3,8601,0.067899082
3858,5/1/2024,5/1/2024 19:15,5/1/2024 18:29,7:15:00 PM,5,5,277,277,4,5,Wednesday,0,65.4,48.4,11.06666667,0.406969697,0,7303,7848,-46,4,8601,0.032205557
3858,5/1/2024,5/1/2024 19:33,5/1/2024 18:08,7:33:00 PM,8,9,468,470,5,3,Wednesday,0,65.4,48.4,11.06666667,0.406969697,0,7303,7848,-84.99999999,5,8601,0.054412278
3858,5/1/2024,5/1/2024 19:45,5/1/2024 19:24,7:45:00 PM,17,17,876,876,6,7,Wednesday,0,65.4,48.4,11.06666667,0.406969697,0,7303,7848,-21,6,8601,0.101848622
3858,5/1/2024,5/1/2024 20:05,5/1/2024 19:15,8:05:00 PM,5,5,219,219,7,6,Wednesday,0,65.4,48.4,11.06666667,0.406969697,0,7303,7848,-50,7,8601,0.025462156
3858,5/1/2024,5/1/2024 20:42,5/1/2024 19:52,8:42:00 PM,12,12,623,623,8,8,Wednesday,0,65.4,48.4,11.06666667,0.406969697,0,7303,7848,-50.00000001,8,8601,0.072433438
3858,5/1/2024,5/1/2024 21:01,5/1/2024 20:07,9:01:00 PM,13,13,657,657,9,9,Wednesday,0,65.4,48.4,11.06666667,0.406969697,0,7303,7848,-54.00000001,9,8601,0.076386467
3858,5/1/2024,5/1/2024 21:01,5/1/2024 20:13,9:01:00 PM,10,10,713,713,10,11,Wednesday,0,65.4,48.4,11.06666667,0.406969697,0,7303,7848,-48,10,8601,0.082897338
3858,5/1/2024,5/1/2024 21:15,5/1/2024 20:10,9:15:00 PM,7,7,363,363,11,10,Wednesday,0,65.4,48.4,11.06666667,0.406969697,0,7303,7848,-64.99999999,11,8601,0.042204395
3858,5/2/2024,5/2/2024 8:52,5/2/2024 7:50,8:52:00 AM,3,3,146,146,12,14,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-61.99999999,12,6859,0.021285902
3858,5/2/2024,5/2/2024 8:56,5/2/2024 7:31,8:56:00 AM,5,5,203,203,13,13,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-84.99999999,13,6859,0.029596151
3858,5/2/2024,5/2/2024 9:20,5/2/2024 9:02,9:20:00 AM,4,4,204,204,14,15,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-18.00000001,14,6859,0.029741945
3858,5/2/2024,5/2/2024 9:30,5/2/2024 6:59,9:30:00 AM,3,3,156,156,15,12,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-151,15,6859,0.02274384
3858,5/2/2024,5/2/2024 18:05,5/2/2024 17:52,6:05:00 PM,9,9,481,481,1,1,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-13,1,6859,0.070126841
3858,5/2/2024,5/2/2024 18:44,5/2/2024 18:22,6:44:00 PM,9,9,423,423,2,2,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-22,2,6859,0.061670797
3858,5/2/2024,5/2/2024 19:00,5/2/2024 18:27,7:00:00 PM,12,13,582,606,3,3,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-32.99999999,3,6859,0.084852019
3858,5/2/2024,5/2/2024 19:15,5/2/2024 18:35,7:15:00 PM,5,5,275,275,4,4,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-40,4,6859,0.040093308
3858,5/2/2024,5/2/2024 19:33,5/2/2024 19:39,7:33:00 PM,7,8,425,433,5,7,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,5.999999999,5,6859,0.061962385
3858,5/2/2024,5/2/2024 19:45,5/2/2024 18:50,7:45:00 PM,12,13,641,709,6,5,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-55,6,6859,0.093453856
3858,5/2/2024,5/2/2024 20:05,5/2/2024 19:15,8:05:00 PM,3,3,152,152,7,6,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-50,7,6859,0.022160665
3858,5/2/2024,5/2/2024 20:42,5/2/2024 20:18,8:42:00 PM,11,11,610,610,8,10,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-24,8,6859,0.088934247
3858,5/2/2024,5/2/2024 21:01,5/2/2024 20:06,9:01:00 PM,10,10,699,699,9,8,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-55,9,6859,0.101909899
3858,5/2/2024,5/2/2024 21:15,5/2/2024 20:17,9:15:00 PM,4,4,308,308,10,9,Thursday,0,57.4,47.8,6.4,0.253039216,0,8349,8601,-58,11,6859,0.044904505
3858,5/3/2024,5/3/2024 8:52,5/3/2024 7:47,8:52:00 AM,3,3,124,124,11,12,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-64.99999999,12,10536,0.011769172
3858,5/3/2024,5/3/2024 8:56,5/3/2024 8:54,8:56:00 AM,4,4,236,236,12,14,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-1.999999996,13,10536,0.022399393
3858,5/3/2024,5/3/2024 9:20,5/3/2024 8:47,9:20:00 AM,4,6,145,221,13,13,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-33,14,10536,0.013762339
3858,5/3/2024,5/3/2024 9:30,5/3/2024 7:21,9:30:00 AM,4,4,236,236,14,11,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-129,15,10536,0.022399393
3858,5/3/2024,5/3/2024 18:05,5/3/2024 17:35,6:05:00 PM,10,10,585,585,1,1,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-29.99999999,1,10536,0.055523918
3858,5/3/2024,5/3/2024 18:44,5/3/2024 18:07,6:44:00 PM,6,6,319,319,2,2,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-36.99999999,2,10536,0.030277145
3858,5/3/2024,5/3/2024 19:00,5/3/2024 18:08,7:00:00 PM,10,12,599,637,3,3,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-51.99999999,3,10536,0.056852696
3858,5/3/2024,5/3/2024 19:15,5/3/2024 19:10,7:15:00 PM,5,5,315,315,4,5,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-5.000000006,4,10536,0.029897494
3858,5/3/2024,5/3/2024 19:33,5/3/2024 18:28,7:33:00 PM,7,8,466,468,5,4,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-65,5,10536,0.044229309
3858,5/3/2024,5/3/2024 19:45,5/3/2024 23:20,7:45:00 PM,13,13,818,818,6,11,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,215,6,10536,0.077638573
3858,5/3/2024,5/3/2024 20:05,5/3/2024 19:51,8:05:00 PM,4,4,215,215,7,6,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-14,7,10536,0.020406226
3858,5/3/2024,5/3/2024 20:42,5/3/2024 19:59,8:42:00 PM,9,10,533,637,8,7,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-43,8,10536,0.050588459
3858,5/3/2024,5/3/2024 21:01,5/3/2024 20:07,9:01:00 PM,13,14,649,660,10,8,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-54.00000001,9,10536,0.06159833
3858,5/3/2024,5/3/2024 21:01,5/3/2024 20:24,9:01:00 PM,12,12,875,875,9,9,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-37.00000001,10,10536,0.083048595
3858,5/3/2024,5/3/2024 21:15,5/3/2024 20:34,9:15:00 PM,6,6,406,406,11,10,Friday,0,67.4,42.8,9.3,0.372291667,0,8668,6859,-41,11,10536,0.038534548
3858,5/4/2024,5/4/2024 8:52,5/4/2024 8:26,8:52:00 AM,5,5,125,125,12,14,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-25.99999999,12,11695,0.010688328
3858,5/4/2024,5/4/2024 8:56,5/4/2024 7:31,8:56:00 AM,5,5,229,229,13,12,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-84.99999999,13,11695,0.019581018
3858,5/4/2024,5/4/2024 9:20,5/4/2024 8:09,9:20:00 AM,6,6,228,228,14,13,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-71,14,11695,0.019495511
3858,5/4/2024,5/4/2024 18:05,5/4/2024 17:31,6:05:00 PM,7,7,394,394,1,1,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-34,1,11695,0.033689611
3858,5/4/2024,5/4/2024 18:44,5/4/2024 17:42,6:44:00 PM,9,9,556,556,2,2,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-61.99999999,2,11695,0.047541684
3858,5/4/2024,5/4/2024 19:00,5/4/2024 18:00,7:00:00 PM,10,11,573,588,3,4,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-60,3,11695,0.048995297
3858,5/4/2024,5/4/2024 19:15,5/4/2024 18:36,7:15:00 PM,4,4,218,218,4,5,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-39,4,11695,0.018640445
3858,5/4/2024,5/4/2024 19:33,5/4/2024 17:47,7:33:00 PM,9,9,508,508,5,3,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-106,5,11695,0.043437366
3858,5/4/2024,5/4/2024 19:45,5/4/2024 19:26,7:45:00 PM,12,12,800,800,6,7,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-19,6,11695,0.068405301
3858,5/4/2024,5/4/2024 20:05,5/4/2024 19:17,8:05:00 PM,4,4,209,209,7,6,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-48,7,11695,0.017870885
3858,5/4/2024,5/4/2024 20:42,5/4/2024 19:43,8:42:00 PM,11,11,543,543,8,8,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-59,8,11695,0.046430098
3858,5/4/2024,5/4/2024 21:01,5/4/2024 20:08,9:01:00 PM,9,9,636,636,9,10,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-53.00000001,9,11695,0.054382215
3858,5/4/2024,5/4/2024 21:01,5/4/2024 20:31,9:01:00 PM,11,11,603,603,10,11,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-30,10,11695,0.051560496
3858,5/4/2024,5/4/2024 21:15,5/4/2024 19:55,9:15:00 PM,6,6,374,374,11,9,Saturday,0,64.2,46,8.533333333,0.168314607,0,7378,10536,-80,11,11695,0.031979478
3858,5/5/2024,5/5/2024 8:52,5/5/2024 8:14,8:52:00 AM,4,5,163,216,12,14,Sunday,0,68.2,41.8,4.4,0.103815789,0,6594,11695,-38,12,10892,0.014965112
3858,5/5/2024,5/5/2024 8:56,5/5/2024 7:31,8:56:00 AM,5,5,287,287,13,13,Sunday,0,68.2,41.8,4.4,0.103815789,0,6594,11695,-84.99999999,13,10892,0.026349614
3858,5/5/2024,5/5/2024 9:20,5/5/2024 8:21,9:20:00 AM,3,4,169,189,14,15,Sunday,0,68.2,41.8,4.4,0.103815789,0,6594,11695,-59,14,10892,0.015515975
3858,5/5/2024,5/5/2024 9:30,5/5/2024 7:21,9:30:00 AM,4,4,184,184,15,12,Sunday,0,68.2,41.8,4.4,0.103815789,0,6594,11695,-129,15,10892,0.016893133
3858,5/5/2024,5/5/2024 18:05,5/5/2024 17:26,6:05:00 PM,12,12,643,643,1,1,Sunday,0,68.2,41.8,4.4,0.103815789,0,6594,11695,-38.99999999,1,10892,0.059034154
3858,5/5/2024,5/5/2024 18:44,5/5/2024 18:21,6:44:00 PM,12,12,730,730,2,3,Sunday,0,68.2,41.8,4.4,0.103815789,0,6594,11695,-23,2,10892,0.067021667
