,Pallet,num_packages,earliest_arrival,packages,linehaul
0,1,55,74.140076682275,"[('PKG000001', 'FDEG', 'FDEG'), ('PKG000002', 'UPSN', 'UPSN'), ('PKG000003', 'UPSN', 'UPSN'), ('PKG000004', 'TLMD', '2'), ('PKG000005', 'UPSN', 'UPSN'), ('PKG000006', 'USPS', 'USPS'), ('PKG000007', 'FDEG', 'FDEG'), ('PKG000008', 'TLMD', '2'), ('PKG000009', 'TLMD', '2'), ('PKG000010', 'TLMD', '3AB'), ('PKG000011', 'FDEG', 'FDEG'), ('PKG000012', 'TLMD', '2'), ('PKG000013', 'UPSN', 'UPSN'), ('PKG000014', 'USPS', 'USPS'), ('PKG000015', 'TLMD', '1'), ('PKG000016', 'FDEG', 'FDEG'), ('PKG000017', 'TLMD', '2'), ('PKG000018', 'USPS', 'USPS'), ('PKG000019', 'TLMD', '2'), ('PKG000020', 'UPSN', 'UPSN'), ('PKG000021', 'FDEG', 'FDEG'), ('PKG000022', 'USPS', 'USPS'), ('PKG000023', 'FDEG', 'FDEG'), ('PKG000024', 'UPSN', 'UPSN'), ('PKG000025', 'TLMD', '3AB'), ('PKG000026', 'UPSN', 'UPSN'), ('PKG000027', 'TLMD', '2'), ('PKG000028', 'FDEG', 'FDEG'), ('PKG000029', 'UPSN', 'UPSN'), ('PKG000030', 'UPSN', 'UPSN'), ('PKG000031', 'FDEG', 'FDEG'), ('PKG000032', 'TLMD', '1'), ('PKG000033', 'UPSN', 'UPSN'), ('PKG000034', 'TLMD', '2'), ('PKG000035', 'FDEG', 'FDEG'), ('PKG000036', 'FDEG', 'FDEG'), ('PKG000037', 'USPS', 'USPS'), ('PKG000038', 'TLMD', '3AB'), ('PKG000039', 'TLMD', '1'), ('PKG000040', 'TLMD', '2'), ('PKG000041', 'FDEG', 'FDEG'), ('PKG000042', 'TLMD', '2'), ('PKG000043', 'TLMD', '3AB'), ('PKG000044', 'TLMD', '1'), ('PKG000045', 'TLMD', '1'), ('PKG000046', 'FDEG', 'FDEG'), ('PKG000047', 'FDEG', 'FDEG'), ('PKG000048', 'FDEG', 'FDEG'), ('PKG000049', 'FDEG', 'FDEG'), ('PKG000050', 'TLMD', '3AB'), ('PKG000051', 'TLMD', '1'), ('PKG000052', 'UPSN', 'UPSN'), ('PKG000053', 'USPS', 'USPS'), ('PKG000054', 'TLMD', '2'), ('PKG000055', 'USPS', 'USPS')]",A
1,2,54,74.140076682275,"[('PKG000056', 'TLMD', '1'), ('PKG000057', 'USPS', 'USPS'), ('PKG000058', 'TLMD', '1'), ('PKG000059', 'TLMD', '2'), ('PKG000060', 'TLMD', '1'), ('PKG000061', 'UPSN', 'UPSN'), ('PKG000062', 'TLMD', '2'), ('PKG000063', 'TLMD', '1'), ('PKG000064', 'FDEG', 'FDEG'), ('PKG000065', 'TLMD', '3AB'), ('PKG000066', 'FDEG', 'FDEG'), ('PKG000067', 'TLMD', '3AB'), ('PKG000068', 'TLMD', '1'), ('PKG000069', 'UPSN', 'UPSN'), ('PKG000070', 'TLMD', '1'), ('PKG000071', 'FDEG', 'FDEG'), ('PKG000072', 'TLMD', '1'), ('PKG000073', 'USPS', 'USPS'), ('PKG000074', 'TLMD', '2'), ('PKG000075', 'FDEG', 'FDEG'), ('PKG000076', 'TLMD', '1'), ('PKG000077', 'TLMD', '1'), ('PKG000078', 'TLMD', '2'), ('PKG000079', 'USPS', 'USPS'), ('PKG000080', 'FDEG', 'FDEG'), ('PKG000081', 'FDEG', 'FDEG'), ('PKG000082', 'TLMD', '2'), ('PKG000083', 'UPSN', 'UPSN'), ('PKG000084', 'FDEG', 'FDEG'), ('PKG000085', 'FDEG', 'FDEG'), ('PKG000086', 'TLMD', '1'), ('PKG000087', 'TLMD', '1'), ('PKG000088', 'FDEG', 'FDEG'), ('PKG000089', 'UPSN', 'UPSN'), ('PKG000090', 'UPSN', 'UPSN'), ('PKG000091', 'TLMD', '2'), ('PKG000092', 'TLMD', '3AB'), ('PKG000093', 'TLMD', '1'), ('PKG000094', 'TLMD', '2'), ('PKG000095', 'TLMD', '1'), ('PKG000096', 'FDEG', 'FDEG'), ('PKG000097', 'TLMD', '1'), ('PKG000098', 'USPS', 'USPS'), ('PKG000099', 'UPSN', 'UPSN'), ('PKG000100', 'USPS', 'USPS'), ('PKG000101', 'TLMD', '1'), ('PKG000102', 'FDEG', 'FDEG'), ('PKG000103', 'USPS', 'USPS'), ('PKG000104', 'TLMD', '3AB'), ('PKG000105', 'TLMD', '3AB'), ('PKG000106', 'TLMD', '1'), ('PKG000107', 'UPSN', 'UPSN'), ('PKG000108', 'TLMD', '3AB'), ('PKG000109', 'UPSN', 'UPSN')]",A
2,3,40,74.140076682275,"[('PKG000110', 'TLMD', '1'), ('PKG000111', 'TLMD', '3AB'), ('PKG000112', 'FDEG', 'FDEG'), ('PKG000113', 'TLMD', '3AB'), ('PKG000114', 'FDEG', 'FDEG'), ('PKG000115', 'UPSN', 'UPSN'), ('PKG000116', 'FDEG', 'FDEG'), ('PKG000117', 'USPS', 'USPS'), ('PKG000118', 'TLMD', '1'), ('PKG000119', 'USPS', 'USPS'), ('PKG000120', 'TLMD', '1'), ('PKG000121', 'TLMD', '1'), ('PKG000122', 'TLMD', '1'), ('PKG000123', 'USPS', 'USPS'), ('PKG000124', 'FDEG', 'FDEG'), ('PKG000125', 'FDEG', 'FDEG'), ('PKG000126', 'USPS', 'USPS'), ('PKG000127', 'UPSN', 'UPSN'), ('PKG000128', 'FDEG', 'FDEG'), ('PKG000129', 'TLMD', '2'), ('PKG000130', 'TLMD', '1'), ('PKG000131', 'FDEG', 'FDEG'), ('PKG000132', 'USPS', 'USPS'), ('PKG000133', 'TLMD', '3AB'), ('PKG000134', 'TLMD', '2'), ('PKG000135', 'FDEG', 'FDEG'), ('PKG000136', 'TLMD', '1'), ('PKG000137', 'FDEG', 'FDEG'), ('PKG000138', 'TLMD', '2'), ('PKG000139', 'TLMD', '1'), ('PKG000140', 'TLMD', '3AB'), ('PKG000141', 'UPSN', 'UPSN'), ('PKG000142', 'FDEG', 'FDEG'), ('PKG000143', 'FDEG', 'FDEG'), ('PKG000144', 'TLMD', '2'), ('PKG000145', 'TLMD', '1'), ('PKG000146', 'UPSN', 'UPSN'), ('PKG000147', 'TLMD', '2'), ('PKG000148', 'TLMD', '1'), ('PKG000149', 'FDEG', 'FDEG')]",A
3,4,57,74.140076682275,"[('PKG000150', 'USPS', 'USPS'), ('PKG000151', 'TLMD', '2'), ('PKG000152', 'UPSN', 'UPSN'), ('PKG000153', 'TLMD', '3AB'), ('PKG000154', 'UPSN', 'UPSN'), ('PKG000155', 'TLMD', '1'), ('PKG000156', 'TLMD', '2'), ('PKG000157', 'UPSN', 'UPSN'), ('PKG000158', 'FDEG', 'FDEG'), ('PKG000159', 'FDEG', 'FDEG'), ('PKG000160', 'USPS', 'USPS'), ('PKG000161', 'TLMD', '2'), ('PKG000162', 'FDEG', 'FDEG'), ('PKG000163', 'FDEG', 'FDEG'), ('PKG000164', 'TLMD', '3AB'), ('PKG000165', 'TLMD', '1'), ('PKG000166', 'TLMD', '1'), ('PKG000167', 'USPS', 'USPS'), ('PKG000168', 'FDEG', 'FDEG'), ('PKG000169', 'UPSN', 'UPSN'), ('PKG000170', 'TLMD', '1'), ('PKG000171', 'TLMD', '3AB'), ('PKG000172', 'TLMD', '3AB'), ('PKG000173', 'TLMD', '3AB'), ('PKG000174', 'UPSN', 'UPSN'), ('PKG000175', 'TLMD', '2'), ('PKG000176', 'TLMD', '2'), ('PKG000177', 'UPSN', 'UPSN'), ('PKG000178', 'UPSN', 'UPSN'), ('PKG000179', 'TLMD', '3AB'), ('PKG000180', 'UPSN', 'UPSN'), ('PKG000181', 'TLMD', '2'), ('PKG000182', 'USPS', 'USPS'), ('PKG000183', 'USPS', 'USPS'), ('PKG000184', 'FDEG', 'FDEG'), ('PKG000185', 'TLMD', '2'), ('PKG000186', 'USPS', 'USPS'), ('PKG000187', 'UPSN', 'UPSN'), ('PKG000188', 'TLMD', '2'), ('PKG000189', 'FDEG', 'FDEG'), ('PKG000190', 'FDEG', 'FDEG'), ('PKG000191', 'FDEG', 'FDEG'), ('PKG000192', 'TLMD', '2'), ('PKG000193', 'TLMD', '3AB'), ('PKG000194', 'FDEG', 'FDEG'), ('PKG000195', 'TLMD', '2'), ('PKG000196', 'TLMD', '2'), ('PKG000197', 'TLMD', '1'), ('PKG000198', 'FDEG', 'FDEG'), ('PKG000199', 'UPSN', 'UPSN'), ('PKG000200', 'TLMD', '1'), ('PKG000201', 'TLMD', '2'), ('PKG000202', 'UPSN', 'UPSN'), ('PKG000203', 'UPSN', 'UPSN'), ('PKG000204', 'UPSN', 'UPSN'), ('PKG000205', 'FDEG', 'FDEG'), ('PKG000206', 'USPS', 'USPS')]",A
4,5,58,74.140076682275,"[('PKG000207', 'TLMD', '2'), ('PKG000208', 'FDEG', 'FDEG'), ('PKG000209', 'TLMD', '3AB'), ('PKG000210', 'UPSN', 'UPSN'), ('PKG000211', 'TLMD', '2'), ('PKG000212', 'USPS', 'USPS'), ('PKG000213', 'TLMD', '2'), ('PKG000214', 'TLMD', '3AB'), ('PKG000215', 'UPSN', 'UPSN'), ('PKG000216', 'TLMD', '3AB'), ('PKG000217', 'UPSN', 'UPSN'), ('PKG000218', 'TLMD', '2'), ('PKG000219', 'TLMD', '3AB'), ('PKG000220', 'USPS', 'USPS'), ('PKG000221', 'TLMD', '1'), ('PKG000222', 'UPSN', 'UPSN'), ('PKG000223', 'USPS', 'USPS'), ('PKG000224', 'TLMD', '2'), ('PKG000225', 'FDEG', 'FDEG'), ('PKG000226', 'TLMD', '2'), ('PKG000227', 'TLMD', '2'), ('PKG000228', 'TLMD', '1'), ('PKG000229', 'TLMD', '1'), ('PKG000230', 'UPSN', 'UPSN'), ('PKG000231', 'TLMD', '1'), ('PKG000232', 'TLMD', '1'), ('PKG000233', 'TLMD', '2'), ('PKG000234', 'UPSN', 'UPSN'), ('PKG000235', 'FDEG', 'FDEG'), ('PKG000236', 'UPSN', 'UPSN'), ('PKG000237', 'UPSN', 'UPSN'), ('PKG000238', 'TLMD', '1'), ('PKG000239', 'TLMD', '3AB'), ('PKG000240', 'FDEG', 'FDEG'), ('PKG000241', 'USPS', 'USPS'), ('PKG000242', 'TLMD', '1'), ('PKG000243', 'TLMD', '2'), ('PKG000244', 'FDEG', 'FDEG'), ('PKG000245', 'TLMD', '1'), ('PKG000246', 'UPSN', 'UPSN'), ('PKG000247', 'FDEG', 'FDEG'), ('PKG000248', 'TLMD', '1'), ('PKG000249', 'UPSN', 'UPSN'), ('PKG000250', 'FDEG', 'FDEG'), ('PKG000251', 'UPSN', 'UPSN'), ('PKG000252', 'TLMD', '3AB'), ('PKG000253', 'FDEG', 'FDEG'), ('PKG000254', 'TLMD', '2'), ('PKG000255', 'UPSN', 'UPSN'), ('PKG000256', 'UPSN', 'UPSN'), ('PKG000257', 'TLMD', '2'), ('PKG000258', 'FDEG', 'FDEG'), ('PKG000259', 'TLMD', '2'), ('PKG000260', 'FDEG', 'FDEG'), ('PKG000261', 'TLMD', '3AB'), ('PKG000262', 'TLMD', '3AB'), ('PKG000263', 'FDEG', 'FDEG'), ('PKG000264', 'FDEG', 'FDEG')]",A
5,6,56,74.140076682275,"[('PKG000265', 'TLMD', '2'), ('PKG000266', 'FDEG', 'FDEG'), ('PKG000267', 'TLMD', '1'), ('PKG000268', 'FDEG', 'FDEG'), ('PKG000269', 'TLMD', '1'), ('PKG000270', 'TLMD', '1'), ('PKG000271', 'FDEG', 'FDEG'), ('PKG000272', 'UPSN', 'UPSN'), ('PKG000273', 'USPS', 'USPS'), ('PKG000274', 'TLMD', '2'), ('PKG000275', 'TLMD', '3AB'), ('PKG000276', 'UPSN', 'UPSN'), ('PKG000277', 'FDEG', 'FDEG'), ('PKG000278', 'FDEG', 'FDEG'), ('PKG000279', 'UPSN', 'UPSN'), ('PKG000280', 'USPS', 'USPS'), ('PKG000281', 'FDEG', 'FDEG'), ('PKG000282', 'UPSN', 'UPSN'), ('PKG000283', 'FDEG', 'FDEG'), ('PKG000284', 'FDEG', 'FDEG'), ('PKG000285', 'TLMD', '1'), ('PKG000286', 'UPSN', 'UPSN'), ('PKG000287', 'TLMD', '2'), ('PKG000288', 'TLMD', '2'), ('PKG000289', 'FDEG', 'FDEG'), ('PKG000290', 'TLMD', '1'), ('PKG000291', 'TLMD', '2'), ('PKG000292', 'TLMD', '1'), ('PKG000293', 'TLMD', '2'), ('PKG000294', 'USPS', 'USPS'), ('PKG000295', 'TLMD', '1'), ('PKG000296', 'TLMD', '3AB'), ('PKG000297', 'TLMD', '2'), ('PKG000298', 'UPSN', 'UPSN'), ('PKG000299', 'FDEG', 'FDEG'), ('PKG000300', 'FDEG', 'FDEG'), ('PKG000301', 'TLMD', '3AB'), ('PKG000302', 'FDE', 'FDE'), ('PKG000303', 'UPSN', 'UPSN'), ('PKG000304', 'TLMD', '1'), ('PKG000305', 'USPS', 'USPS'), ('PKG000306', 'TLMD', '1'), ('PKG000307', 'TLMD', '3AB'), ('PKG000308', 'FDEG', 'FDEG'), ('PKG000309', 'UPSN', 'UPSN'), ('PKG000310', 'UPSN', 'UPSN'), ('PKG000311', 'TLMD', '1'), ('PKG000312', 'TLMD', '1'), ('PKG000313', 'FDEG', 'FDEG'), ('PKG000314', 'FDEG', 'FDEG'), ('PKG000315', 'TLMD', '3AB'), ('PKG000316', 'TLMD', '1'), ('PKG000317', 'USPS', 'USPS'), ('PKG000318', 'USPS', 'USPS'), ('PKG000319', 'FDEG', 'FDEG'), ('PKG000320', 'FDEG', 'FDEG')]",A
6,7,55,74.140076682275,"[('PKG000321', 'FDEG', 'FDEG'), ('PKG000322', 'UPSN', 'UPSN'), ('PKG000323', 'TLMD', '3AB'), ('PKG000324', 'FDEG', 'FDEG'), ('PKG000325', 'FDEG', 'FDEG'), ('PKG000326', 'FDEG', 'FDEG'), ('PKG000327', 'UPSN', 'UPSN'), ('PKG000328', 'TLMD', '1'), ('PKG000329', 'TLMD', '3AB'), ('PKG000330', 'FDEG', 'FDEG'), ('PKG000331', 'TLMD', '3AB'), ('PKG000332', 'TLMD', '2'), ('PKG000333', 'TLMD', '1'), ('PKG000334', 'TLMD', '1'), ('PKG000335', 'USPS', 'USPS'), ('PKG000336', 'TLMD', '1'), ('PKG000337', 'TLMD', '2'), ('PKG000338', 'FDEG', 'FDEG'), ('PKG000339', 'TLMD', '3AB'), ('PKG000340', 'TLMD', '1'), ('PKG000341', 'TLMD', '1'), ('PKG000342', 'TLMD', '3AB'), ('PKG000343', 'TLMD', '1'), ('PKG000344', 'UPSN', 'UPSN'), ('PKG000345', 'TLMD', '1'), ('PKG000346', 'USPS', 'USPS'), ('PKG000347', 'FDEG', 'FDEG'), ('PKG000348', 'TLMD', '1'), ('PKG000349', 'USPS', 'USPS'), ('PKG000350', 'USPS', 'USPS'), ('PKG000351', 'TLMD', '1'), ('PKG000352', 'FDEG', 'FDEG'), ('PKG000353', 'UPSN', 'UPSN'), ('PKG000354', 'USPS', 'USPS'), ('PKG000355', 'TLMD', '3AB'), ('PKG000356', 'TLMD', '1'), ('PKG000357', 'USPS', 'USPS'), ('PKG000358', 'FDEG', 'FDEG'), ('PKG000359', 'TLMD', '2'), ('PKG000360', 'TLMD', '3AB'), ('PKG000361', 'TLMD', '2'), ('PKG000362', 'TLMD', '1'), ('PKG000363', 'USPS', 'USPS'), ('PKG000364', 'TLMD', '2'), ('PKG000365', 'FDEG', 'FDEG'), ('PKG000366', 'UPSN', 'UPSN'), ('PKG000367', 'TLMD', '1'), ('PKG000368', 'UPSN', 'UPSN'), ('PKG000369', 'UPSN', 'UPSN'), ('PKG000370', 'UPSN', 'UPSN'), ('PKG000371', 'UPSN', 'UPSN'), ('PKG000372', 'USPS', 'USPS'), ('PKG000373', 'TLMD', '2'), ('PKG000374', 'USPS', 'USPS'), ('PKG000375', 'UPSN', 'UPSN')]",A
7,8,55,74.140076682275,"[('PKG000376', 'USPS', 'USPS'), ('PKG000377', 'USPS', 'USPS'), ('PKG000378', 'USPS', 'USPS'), ('PKG000379', 'USPS', 'USPS'), ('PKG000380', 'TLMD', '1'), ('PKG000381', 'UPSN', 'UPSN'), ('PKG000382', 'FDEG', 'FDEG'), ('PKG000383', 'TLMD', '1'), ('PKG000384', 'TLMD', '3AB'), ('PKG000385', 'TLMD', '1'), ('PKG000386', 'UPSN', 'UPSN'), ('PKG000387', 'TLMD', '1'), ('PKG000388', 'UPSN', 'UPSN'), ('PKG000389', 'UPSN', 'UPSN'), ('PKG000390', 'USPS', 'USPS'), ('PKG000391', 'TLMD', '2'), ('PKG000392', 'TLMD', '2'), ('PKG000393', 'TLMD', '1'), ('PKG000394', 'TLMD', '1'), ('PKG000395', 'UPSN', 'UPSN'), ('PKG000396', 'TLMD', '2'), ('PKG000397', 'TLMD', '1'), ('PKG000398', 'FDEG', 'FDEG'), ('PKG000399', 'TLMD', '1'), ('PKG000400', 'TLMD', '3AB'), ('PKG000401', 'FDEG', 'FDEG'), ('PKG000402', 'UPSN', 'UPSN'), ('PKG000403', 'TLMD', '1'), ('PKG000404', 'TLMD', '3AB'), ('PKG000405', 'TLMD', '1'), ('PKG000406', 'TLMD', '3AB'), ('PKG000407', 'TLMD', '3AB'), ('PKG000408', 'TLMD', '2'), ('PKG000409', 'TLMD', '3AB'), ('PKG000410', 'TLMD', '2'), ('PKG000411', 'TLMD', '2'), ('PKG000412', 'TLMD', '3AB'), ('PKG000413', 'TLMD', '2'), ('PKG000414', 'TLMD', '1'), ('PKG000415', 'TLMD', '1'), ('PKG000416', 'UPSN', 'UPSN'), ('PKG000417', 'FDEG', 'FDEG'), ('PKG000418', 'FDEG', 'FDEG'), ('PKG000419', 'TLMD', '1'), ('PKG000420', 'TLMD', '1'), ('PKG000421', 'FDEG', 'FDEG'), ('PKG000422', 'TLMD', '1'), ('PKG000423', 'TLMD', '2'), ('PKG000424', 'FDEG', 'FDEG'), ('PKG000425', 'UPSN', 'UPSN'), ('PKG000426', 'TLMD', '3AB'), ('PKG000427', 'TLMD', '1'), ('PKG000428', 'UPSN', 'UPSN'), ('PKG000429', 'FDEG', 'FDEG'), ('PKG000430', 'TLMD', '1')]",A
8,9,59,74.140076682275,"[('PKG000431', 'TLMD', '1'), ('PKG000432', 'TLMD', '1'), ('PKG000433', 'FDEG', 'FDEG'), ('PKG000434', 'USPS', 'USPS'), ('PKG000435', 'UPSN', 'UPSN'), ('PKG000436', 'TLMD', '1'), ('PKG000437', 'UPSN', 'UPSN'), ('PKG000438', 'FDEG', 'FDEG'), ('PKG000439', 'TLMD', '2'), ('PKG000440', 'TLMD', '2'), ('PKG000441', 'USPS', 'USPS'), ('PKG000442', 'TLMD', '1'), ('PKG000443', 'TLMD', '2'), ('PKG000444', 'TLMD', '2'), ('PKG000445', 'UPSN', 'UPSN'), ('PKG000446', 'FDEG', 'FDEG'), ('PKG000447', 'USPS', 'USPS'), ('PKG000448', 'USPS', 'USPS'), ('PKG000449', 'TLMD', '3AB'), ('PKG000450', 'USPS', 'USPS'), ('PKG000451', 'USPS', 'USPS'), ('PKG000452', 'TLMD', '1'), ('PKG000453', 'TLMD', '1'), ('PKG000454', 'TLMD', '2'), ('PKG000455', 'UPSN', 'UPSN'), ('PKG000456', 'UPSN', 'UPSN'), ('PKG000457', 'UPSN', 'UPSN'), ('PKG000458', 'TLMD', '2'), ('PKG000459', 'UPSN', 'UPSN'), ('PKG000460', 'USPS', 'USPS'), ('PKG000461', 'FDEG', 'FDEG'), ('PKG000462', 'USPS', 'USPS'), ('PKG000463', 'TLMD', '2'), ('PKG000464', 'FDEG', 'FDEG'), ('PKG000465', 'TLMD', '3AB'), ('PKG000466', 'TLMD', '3AB'), ('PKG000467', 'TLMD', '1'), ('PKG000468', 'TLMD', '2'), ('PKG000469', 'TLMD', '3AB'), ('PKG000470', 'TLMD', '2'), ('PKG000471', 'UPSN', 'UPSN'), ('PKG000472', 'UPSN', 'UPSN'), ('PKG000473', 'FDEG', 'FDEG'), ('PKG000474', 'TLMD', '1'), ('PKG000475', 'USPS', 'USPS'), ('PKG000476', 'FDEG', 'FDEG'), ('PKG000477', 'FDEG', 'FDEG'), ('PKG000478', 'TLMD', '1'), ('PKG000479', 'UPSN', 'UPSN'), ('PKG000480', 'TLMD', '3AB'), ('PKG000481', 'TLMD', '1'), ('PKG000482', 'TLMD', '2'), ('PKG000483', 'TLMD', '2'), ('PKG000484', 'UPSN', 'UPSN'), ('PKG000485', 'UPSN', 'UPSN'), ('PKG000486', 'USPS', 'USPS'), ('PKG000487', 'UPSN', 'UPSN'), ('PKG000488', 'USPS', 'USPS'), ('PKG000489', 'USPS', 'USPS')]",A
9,10,58,74.140076682275,"[('PKG000490', 'UPSN', 'UPSN'), ('PKG000491', 'TLMD', '1'), ('PKG000492', 'USPS', 'USPS'), ('PKG000493', 'TLMD', '2'), ('PKG000494', 'TLMD', '2'), ('PKG000495', 'FDEG', 'FDEG'), ('PKG000496', 'UPSN', 'UPSN'), ('PKG000497', 'TLMD', '1'), ('PKG000498', 'TLMD', '1'), ('PKG000499', 'FDEG', 'FDEG'), ('PKG000500', 'TLMD', '2'), ('PKG000501', 'TLMD', '2'), ('PKG000502', 'TLMD', '3AB'), ('PKG000503', 'UPSN', 'UPSN'), ('PKG000504', 'FDEG', 'FDEG'), ('PKG000505', 'TLMD', '2'), ('PKG000506', 'FDEG', 'FDEG'), ('PKG000507', 'TLMD', '1'), ('PKG000508', 'UPSN', 'UPSN'), ('PKG000509', 'FDEG', 'FDEG'), ('PKG000510', 'USPS', 'USPS'), ('PKG000511', 'FDEG', 'FDEG'), ('PKG000512', 'USPS', 'USPS'), ('PKG000513', 'UPSN', 'UPSN'), ('PKG000514', 'UPSN', 'UPSN'), ('PKG000515', 'UPSN', 'UPSN'), ('PKG000516', 'TLMD', '1'), ('PKG000517', 'TLMD', '1'), ('PKG000518', 'TLMD', '2'), ('PKG000519', 'FDEG', 'FDEG'), ('PKG000520', 'TLMD', '2'), ('PKG000521', 'UPSN', 'UPSN'), ('PKG000522', 'USPS', 'USPS'), ('PKG000523', 'TLMD', '1'), ('PKG000524', 'TLMD', '3AB'), ('PKG000525', 'UPSN', 'UPSN'), ('PKG000526', 'TLMD', '2'), ('PKG000527', 'FDEG', 'FDEG'), ('PKG000528', 'TLMD', '1'), ('PKG000529', 'TLMD', '3AB'), ('PKG000530', 'FDEG', 'FDEG'), ('PKG000531', 'TLMD', '3AB'), ('PKG000532', 'TLMD', '3AB'), ('PKG000533', 'TLMD', '3AB'), ('PKG000534', 'TLMD', '1'), ('PKG000535', 'TLMD', '3AB'), ('PKG000536', 'TLMD', '2'), ('PKG000537', 'TLMD', '1'), ('PKG000538', 'UPSN', 'UPSN'), ('PKG000539', 'TLMD', '2'), ('PKG000540', 'TLMD', '3AB'), ('PKG000541', 'TLMD', '3AB'), ('PKG000542', 'TLMD', '1'), ('PKG000543', 'TLMD', '3AB'), ('PKG000544', 'TLMD', '1'), ('PKG000545', 'TLMD', '3AB'), ('PKG000546', 'TLMD', '3AB'), ('PKG000547', 'TLMD', '1')]",A
