,Pallet,num_packages,earliest_arrival,packages,linehaul
0,1,42,77.14831359116354,"[('PKG000001', 'TLMD', '2'), ('PKG000002', 'UPSN', 'UPSN'), ('PKG000003', 'UPSN', 'UPSN'), ('PKG000004', 'USPS', 'USPS'), ('PKG000005', 'TLMD', '1'), ('PKG000006', 'TLMD', '1'), ('PKG000007', 'TLMD', '1'), ('PKG000008', 'USPS', 'USPS'), ('PKG000009', 'TLMD', '1'), ('PKG000010', 'UPSN', 'UPSN'), ('PKG000011', 'TLMD', '3AB'), ('PKG000012', 'TLMD', '2'), ('PKG000013', 'TLMD', '1'), ('PKG000014', 'TLMD', '2'), ('PKG000015', 'TLMD', '1'), ('PKG000016', 'TLMD', '1'), ('PKG000017', 'USPS', 'USPS'), ('PKG000018', 'TLMD', '1'), ('PKG000019', 'TLMD', '3AB'), ('PKG000020', 'TLMD', '2'), ('PKG000021', 'USPS', 'USPS'), ('PKG000022', 'TLMD', '2'), ('PKG000023', 'FDEG', 'FDEG'), ('PKG000024', 'FDEG', 'FDEG'), ('PKG000025', 'TLMD', '3AB'), ('PKG000026', 'USPS', 'USPS'), ('PKG000027', 'TLMD', '1'), ('PKG000028', 'TLMD', '1'), ('PKG000029', 'TLMD', '1'), ('PKG000030', 'TLMD', '2'), ('PKG000031', 'TLMD', '1'), ('PKG000032', 'TLMD', '1'), ('PKG000033', 'TLMD', '2'), ('PKG000034', 'TLMD', '1'), ('PKG000035', 'TLMD', '1'), ('PKG000036', 'UPSN', 'UPSN'), ('PKG000037', 'FDEG', 'FDEG'), ('PKG000038', 'TLMD', '1'), ('PKG000039', 'TLMD', '2'), ('PKG000040', 'UPSN', 'UPSN'), ('PKG000041', 'TLMD', '1'), ('PKG000042', 'UPSN', 'UPSN')]",A
1,2,61,77.14831359116354,"[('PKG000043', 'FDEG', 'FDEG'), ('PKG000044', 'UPSN', 'UPSN'), ('PKG000045', 'TLMD', '1'), ('PKG000046', 'TLMD', '1'), ('PKG000047', 'UPSN', 'UPSN'), ('PKG000048', 'USPS', 'USPS'), ('PKG000049', 'FDEG', 'FDEG'), ('PKG000050', 'UPSN', 'UPSN'), ('PKG000051', 'UPSN', 'UPSN'), ('PKG000052', 'TLMD', '3AB'), ('PKG000053', 'TLMD', '1'), ('PKG000054', 'TLMD', '2'), ('PKG000055', 'TLMD', '2'), ('PKG000056', 'TLMD', '2'), ('PKG000057', 'TLMD', '2'), ('PKG000058', 'TLMD', '2'), ('PKG000059', 'FDEG', 'FDEG'), ('PKG000060', 'TLMD', '1'), ('PKG000061', 'TLMD', '2'), ('PKG000062', 'TLMD', '2'), ('PKG000063', 'UPSN', 'UPSN'), ('PKG000064', 'UPSN', 'UPSN'), ('PKG000065', 'FDEG', 'FDEG'), ('PKG000066', 'FDEG', 'FDEG'), ('PKG000067', 'TLMD', '2'), ('PKG000068', 'FDEG', 'FDEG'), ('PKG000069', 'FDEG', 'FDEG'), ('PKG000070', 'TLMD', '2'), ('PKG000071', 'TLMD', '3AB'), ('PKG000072', 'TLMD', '2'), ('PKG000073', 'TLMD', '1'), ('PKG000074', 'USPS', 'USPS'), ('PKG000075', 'TLMD', '1'), ('PKG000076', 'UPSN', 'UPSN'), ('PKG000077', 'UPSN', 'UPSN'), ('PKG000078', 'TLMD', '1'), ('PKG000079', 'TLMD', '2'), ('PKG000080', 'UPSN', 'UPSN'), ('PKG000081', 'TLMD', '1'), ('PKG000082', 'TLMD', '1'), ('PKG000083', 'TLMD', '2'), ('PKG000084', 'USPS', 'USPS'), ('PKG000085', 'UPSN', 'UPSN'), ('PKG000086', 'FDEG', 'FDEG'), ('PKG000087', 'UPSN', 'UPSN'), ('PKG000088', 'TLMD', '1'), ('PKG000089', 'TLMD', '2'), ('PKG000090', 'TLMD', '2'), ('PKG000091', 'UPSN', 'UPSN'), ('PKG000092', 'TLMD', '1'), ('PKG000093', 'TLMD', '1'), ('PKG000094', 'UPSN', 'UPSN'), ('PKG000095', 'TLMD', '1'), ('PKG000096', 'TLMD', '1'), ('PKG000097', 'TLMD', '1'), ('PKG000098', 'UPSN', 'UPSN'), ('PKG000099', 'UPSN', 'UPSN'), ('PKG000100', 'TLMD', '1'), ('PKG000101', 'UPSN', 'UPSN'), ('PKG000102', 'TLMD', '2'), ('PKG000103', 'TLMD', '3AB')]",A
2,3,66,77.14831359116354,"[('PKG000104', 'TLMD', '2'), ('PKG000105', 'FDEG', 'FDEG'), ('PKG000106', 'TLMD', '1'), ('PKG000107', 'TLMD', '1'), ('PKG000108', 'TLMD', '2'), ('PKG000109', 'TLMD', '2'), ('PKG000110', 'TLMD', '1'), ('PKG000111', 'TLMD', '1'), ('PKG000112', 'USPS', 'USPS'), ('PKG000113', 'USPS', 'USPS'), ('PKG000114', 'UPSN', 'UPSN'), ('PKG000115', 'UPSN', 'UPSN'), ('PKG000116', 'UPSN', 'UPSN'), ('PKG000117', 'FDEG', 'FDEG'), ('PKG000118', 'TLMD', '2'), ('PKG000119', 'TLMD', '1'), ('PKG000120', 'TLMD', '1'), ('PKG000121', 'UPSN', 'UPSN'), ('PKG000122', 'TLMD', '3AB'), ('PKG000123', 'TLMD', '1'), ('PKG000124', 'FDEG', 'FDEG'), ('PKG000125', 'TLMD', '1'), ('PKG000126', 'TLMD', '1'), ('PKG000127', 'TLMD', '2'), ('PKG000128', 'TLMD', '1'), ('PKG000129', 'TLMD', '3AB'), ('PKG000130', 'UPSN', 'UPSN'), ('PKG000131', 'TLMD', '1'), ('PKG000132', 'FDEG', 'FDEG'), ('PKG000133', 'UPSN', 'UPSN'), ('PKG000134', 'TLMD', '2'), ('PKG000135', 'TLMD', '1'), ('PKG000136', 'TLMD', '1'), ('PKG000137', 'TLMD', '3AB'), ('PKG000138', 'TLMD', '3AB'), ('PKG000139', 'TLMD', '1'), ('PKG000140', 'TLMD', '1'), ('PKG000141', 'FDEG', 'FDEG'), ('PKG000142', 'TLMD', '1'), ('PKG000143', 'USPS', 'USPS'), ('PKG000144', 'TLMD', '2'), ('PKG000145', 'FDEG', 'FDEG'), ('PKG000146', 'FDEG', 'FDEG'), ('PKG000147', 'USPS', 'USPS'), ('PKG000148', 'TLMD', '2'), ('PKG000149', 'TLMD', '1'), ('PKG000150', 'TLMD', '1'), ('PKG000151', 'TLMD', '2'), ('PKG000152', 'USPS', 'USPS'), ('PKG000153', 'TLMD', '1'), ('PKG000154', 'TLMD', '1'), ('PKG000155', 'FDEG', 'FDEG'), ('PKG000156', 'TLMD', '1'), ('PKG000157', 'TLMD', '1'), ('PKG000158', 'UPSN', 'UPSN'), ('PKG000159', 'TLMD', '1'), ('PKG000160', 'USPS', 'USPS'), ('PKG000161', 'FDEG', 'FDEG'), ('PKG000162', 'UPSN', 'UPSN'), ('PKG000163', 'UPSN', 'UPSN'), ('PKG000164', 'FDEG', 'FDEG'), ('PKG000165', 'UPSN', 'UPSN'), ('PKG000166', 'TLMD', '1'), ('PKG000167', 'UPSN', 'UPSN'), ('PKG000168', 'TLMD', '1'), ('PKG000169', 'USPS', 'USPS')]",A
3,4,56,77.14831359116354,"[('PKG000170', 'TLMD', '3AB'), ('PKG000171', 'FDEG', 'FDEG'), ('PKG000172', 'TLMD', '3AB'), ('PKG000173', 'TLMD', '1'), ('PKG000174', 'TLMD', '3AB'), ('PKG000175', 'TLMD', '2'), ('PKG000176', 'FDEG', 'FDEG'), ('PKG000177', 'UPSN', 'UPSN'), ('PKG000178', 'TLMD', '3AB'), ('PKG000179', 'UPSN', 'UPSN'), ('PKG000180', 'TLMD', '1'), ('PKG000181', 'FDEG', 'FDEG'), ('PKG000182', 'TLMD', '1'), ('PKG000183', 'UPSN', 'UPSN'), ('PKG000184', 'TLMD', '2'), ('PKG000185', 'UPSN', 'UPSN'), ('PKG000186', 'TLMD', '3AB'), ('PKG000187', 'UPSN', 'UPSN'), ('PKG000188', 'FDEG', 'FDEG'), ('PKG000189', 'TLMD', '1'), ('PKG000190', 'TLMD', '1'), ('PKG000191', 'TLMD', '1'), ('PKG000192', 'FDEG', 'FDEG'), ('PKG000193', 'UPSN', 'UPSN'), ('PKG000194', 'TLMD', '2'), ('PKG000195', 'TLMD', '1'), ('PKG000196', 'USPS', 'USPS'), ('PKG000197', 'TLMD', '2'), ('PKG000198', 'TLMD', '1'), ('PKG000199', 'TLMD', '1'), ('PKG000200', 'TLMD', '1'), ('PKG000201', 'TLMD', '2'), ('PKG000202', 'TLMD', '1'), ('PKG000203', 'TLMD', '1'), ('PKG000204', 'UPSN', 'UPSN'), ('PKG000205', 'UPSN', 'UPSN'), ('PKG000206', 'TLMD', '1'), ('PKG000207', 'TLMD', '3AB'), ('PKG000208', 'FDEG', 'FDEG'), ('PKG000209', 'TLMD', '2'), ('PKG000210', 'TLMD', '1'), ('PKG000211', 'UPSN', 'UPSN'), ('PKG000212', 'FDEG', 'FDEG'), ('PKG000213', 'TLMD', '3AB'), ('PKG000214', 'TLMD', '1'), ('PKG000215', 'TLMD', '1'), ('PKG000216', 'TLMD', '2'), ('PKG000217', 'TLMD', '1'), ('PKG000218', 'TLMD', '2'), ('PKG000219', 'TLMD', '3AB'), ('PKG000220', 'TLMD', '1'), ('PKG000221', 'TLMD', '2'), ('PKG000222', 'TLMD', '1'), ('PKG000223', 'TLMD', '2'), ('PKG000224', 'FDE', 'FDE'), ('PKG000225', 'TLMD', '2')]",A
4,5,56,77.14831359116354,"[('PKG000226', 'UPSN', 'UPSN'), ('PKG000227', 'TLMD', '1'), ('PKG000228', 'TLMD', '1'), ('PKG000229', 'FDEG', 'FDEG'), ('PKG000230', 'TLMD', '3AB'), ('PKG000231', 'TLMD', '2'), ('PKG000232', 'UPSN', 'UPSN'), ('PKG000233', 'FDEG', 'FDEG'), ('PKG000234', 'UPSN', 'UPSN'), ('PKG000235', 'TLMD', '2'), ('PKG000236', 'UPSN', 'UPSN'), ('PKG000237', 'TLMD', '2'), ('PKG000238', 'USPS', 'USPS'), ('PKG000239', 'UPSN', 'UPSN'), ('PKG000240', 'TLMD', '2'), ('PKG000241', 'TLMD', '2'), ('PKG000242', 'TLMD', '1'), ('PKG000243', 'TLMD', '2'), ('PKG000244', 'TLMD', '2'), ('PKG000245', 'TLMD', '2'), ('PKG000246', 'UPSN', 'UPSN'), ('PKG000247', 'TLMD', '1'), ('PKG000248', 'TLMD', '1'), ('PKG000249', 'TLMD', '2'), ('PKG000250', 'TLMD', '2'), ('PKG000251', 'TLMD', '1'), ('PKG000252', 'FDEG', 'FDEG'), ('PKG000253', 'FDEG', 'FDEG'), ('PKG000254', 'FDEG', 'FDEG'), ('PKG000255', 'FDEG', 'FDEG'), ('PKG000256', 'TLMD', '2'), ('PKG000257', 'TLMD', '1'), ('PKG000258', 'TLMD', '3AB'), ('PKG000259', 'TLMD', '3AB'), ('PKG000260', 'TLMD', '1'), ('PKG000261', 'TLMD', '2'), ('PKG000262', 'UPSN', 'UPSN'), ('PKG000263', 'TLMD', '1'), ('PKG000264', 'TLMD', '2'), ('PKG000265', 'TLMD', '1'), ('PKG000266', 'TLMD', '2'), ('PKG000267', 'TLMD', '1'), ('PKG000268', 'TLMD', '1'), ('PKG000269', 'TLMD', '1'), ('PKG000270', 'TLMD', '1'), ('PKG000271', 'UPSN', 'UPSN'), ('PKG000272', 'TLMD', '2'), ('PKG000273', 'TLMD', '2'), ('PKG000274', 'TLMD', '2'), ('PKG000275', 'UPSN', 'UPSN'), ('PKG000276', 'UPSN', 'UPSN'), ('PKG000277', 'TLMD', '1'), ('PKG000278', 'TLMD', '1'), ('PKG000279', 'TLMD', '3AB'), ('PKG000280', 'TLMD', '3AB'), ('PKG000281', 'TLMD', '1')]",A
5,6,62,77.14831359116354,"[('PKG000282', 'UPSN', 'UPSN'), ('PKG000283', 'TLMD', '2'), ('PKG000284', 'UPSN', 'UPSN'), ('PKG000285', 'TLMD', '1'), ('PKG000286', 'TLMD', '2'), ('PKG000287', 'TLMD', '3AB'), ('PKG000288', 'TLMD', '1'), ('PKG000289', 'TLMD', '2'), ('PKG000290', 'TLMD', '1'), ('PKG000291', 'TLMD', '2'), ('PKG000292', 'UPSN', 'UPSN'), ('PKG000293', 'TLMD', '1'), ('PKG000294', 'USPS', 'USPS'), ('PKG000295', 'TLMD', '1'), ('PKG000296', 'UPSN', 'UPSN'), ('PKG000297', 'UPSN', 'UPSN'), ('PKG000298', 'TLMD', '3AB'), ('PKG000299', 'TLMD', '3AB'), ('PKG000300', 'TLMD', '1'), ('PKG000301', 'TLMD', '1'), ('PKG000302', 'UPSN', 'UPSN'), ('PKG000303', 'USPS', 'USPS'), ('PKG000304', 'TLMD', '1'), ('PKG000305', 'TLMD', '1'), ('PKG000306', 'TLMD', '1'), ('PKG000307', 'TLMD', '1'), ('PKG000308', 'TLMD', '2'), ('PKG000309', 'UPSN', 'UPSN'), ('PKG000310', 'UPSN', 'UPSN'), ('PKG000311', 'FDEG', 'FDEG'), ('PKG000312', 'UPSN', 'UPSN'), ('PKG000313', 'TLMD', '1'), ('PKG000314', 'TLMD', '1'), ('PKG000315', 'TLMD', '1'), ('PKG000316', 'UPSN', 'UPSN'), ('PKG000317', 'TLMD', '1'), ('PKG000318', 'TLMD', '2'), ('PKG000319', 'UPSN', 'UPSN'), ('PKG000320', 'TLMD', '2'), ('PKG000321', 'TLMD', '1'), ('PKG000322', 'TLMD', '2'), ('PKG000323', 'TLMD', '2'), ('PKG000324', 'TLMD', '1'), ('PKG000325', 'TLMD', '1'), ('PKG000326', 'USPS', 'USPS'), ('PKG000327', 'USPS', 'USPS'), ('PKG000328', 'TLMD', '1'), ('PKG000329', 'TLMD', '2'), ('PKG000330', 'TLMD', '3AB'), ('PKG000331', 'TLMD', '2'), ('PKG000332', 'USPS', 'USPS'), ('PKG000333', 'TLMD', '3AB'), ('PKG000334', 'TLMD', '1'), ('PKG000335', 'TLMD', '1'), ('PKG000336', 'USPS', 'USPS'), ('PKG000337', 'UPSN', 'UPSN'), ('PKG000338', 'TLMD', '1'), ('PKG000339', 'TLMD', '3AB'), ('PKG000340', 'UPSN', 'UPSN'), ('PKG000341', 'TLMD', '3AB'), ('PKG000342', 'TLMD', '2'), ('PKG000343', 'TLMD', '1')]",A
6,7,66,76.34057956842294,"[('PKG000344', 'TLMD', '2'), ('PKG000345', 'TLMD', '3AB'), ('PKG000346', 'USPS', 'USPS'), ('PKG000347', 'TLMD', '2'), ('PKG000348', 'TLMD', '1'), ('PKG000349', 'UPSN', 'UPSN'), ('PKG000350', 'TLMD', '2'), ('PKG000351', 'TLMD', '3AB'), ('PKG000352', 'TLMD', '3AB'), ('PKG000353', 'TLMD', '2'), ('PKG000354', 'TLMD', '1'), ('PKG000355', 'UPSN', 'UPSN'), ('PKG000356', 'TLMD', '1'), ('PKG000357', 'TLMD', '2'), ('PKG000358', 'TLMD', '1'), ('PKG000359', 'FDEG', 'FDEG'), ('PKG000360', 'UPSN', 'UPSN'), ('PKG000361', 'TLMD', '2'), ('PKG000362', 'TLMD', '3AB'), ('PKG000363', 'TLMD', '1'), ('PKG000364', 'USPS', 'USPS'), ('PKG000365', 'TLMD', '1'), ('PKG000366', 'TLMD', '2'), ('PKG000367', 'USPS', 'USPS'), ('PKG000368', 'TLMD', '1'), ('PKG000369', 'TLMD', '1'), ('PKG000370', 'USPS', 'USPS'), ('PKG000371', 'TLMD', '2'), ('PKG000372', 'TLMD', '1'), ('PKG000373', 'TLMD', '1'), ('PKG000374', 'TLMD', '1'), ('PKG000375', 'USPS', 'USPS'), ('PKG000376', 'USPS', 'USPS'), ('PKG000377', 'TLMD', '2'), ('PKG000378', 'TLMD', '2'), ('PKG000379', 'UPSN', 'UPSN'), ('PKG000380', 'TLMD', '2'), ('PKG000381', 'USPS', 'USPS'), ('PKG000382', 'TLMD', '2'), ('PKG000383', 'TLMD', '1'), ('PKG000384', 'TLMD', '2'), ('PKG000385', 'UPSN', 'UPSN'), ('PKG000386', 'TLMD', '1'), ('PKG000387', 'TLMD', '2'), ('PKG000388', 'TLMD', '1'), ('PKG000389', 'UPSN', 'UPSN'), ('PKG000390', 'FDEG', 'FDEG'), ('PKG000391', 'TLMD', '2'), ('PKG000392', 'TLMD', '1'), ('PKG000393', 'TLMD', '2'), ('PKG000394', 'TLMD', '1'), ('PKG000395', 'TLMD', '2'), ('PKG000396', 'TLMD', '1'), ('PKG000397', 'TLMD', '2'), ('PKG000398', 'UPSN', 'UPSN'), ('PKG000399', 'FDEG', 'FDEG'), ('PKG000400', 'UPSN', 'UPSN'), ('PKG000401', 'TLMD', '3AB'), ('PKG000402', 'USPS', 'USPS'), ('PKG000403', 'TLMD', '1'), ('PKG000404', 'TLMD', '1'), ('PKG000405', 'TLMD', '2'), ('PKG000406', 'TLMD', '2'), ('PKG000407', 'TLMD', '1'), ('PKG000408', 'TLMD', '2'), ('PKG000409', 'TLMD', '1')]",A
7,8,63,76.34057956842294,"[('PKG000410', 'FDEG', 'FDEG'), ('PKG000411', 'USPS', 'USPS'), ('PKG000412', 'UPSN', 'UPSN'), ('PKG000413', 'USPS', 'USPS'), ('PKG000414', 'FDEG', 'FDEG'), ('PKG000415', 'TLMD', '2'), ('PKG000416', 'UPSN', 'UPSN'), ('PKG000417', 'UPSN', 'UPSN'), ('PKG000418', 'USPS', 'USPS'), ('PKG000419', 'UPSN', 'UPSN'), ('PKG000420', 'TLMD', '1'), ('PKG000421', 'TLMD', '1'), ('PKG000422', 'TLMD', '1'), ('PKG000423', 'TLMD', '3AB'), ('PKG000424', 'USPS', 'USPS'), ('PKG000425', 'UPSN', 'UPSN'), ('PKG000426', 'UPSN', 'UPSN'), ('PKG000427', 'TLMD', '1'), ('PKG000428', 'USPS', 'USPS'), ('PKG000429', 'TLMD', '1'), ('PKG000430', 'TLMD', '1'), ('PKG000431', 'TLMD', '1'), ('PKG000432', 'TLMD', '2'), ('PKG000433', 'UPSN', 'UPSN'), ('PKG000434', 'TLMD', '2'), ('PKG000435', 'TLMD', '2'), ('PKG000436', 'TLMD', '1'), ('PKG000437', 'TLMD', '2'), ('PKG000438', 'TLMD', '2'), ('PKG000439', 'TLMD', '1'), ('PKG000440', 'UPSN', 'UPSN'), ('PKG000441', 'USPS', 'USPS'), ('PKG000442', 'TLMD', '2'), ('PKG000443', 'UPSN', 'UPSN'), ('PKG000444', 'TLMD', '2'), ('PKG000445', 'TLMD', '2'), ('PKG000446', 'TLMD', '1'), ('PKG000447', 'TLMD', '1'), ('PKG000448', 'TLMD', '1'), ('PKG000449', 'TLMD', '1'), ('PKG000450', 'TLMD', '2'), ('PKG000451', 'TLMD', '1'), ('PKG000452', 'TLMD', '2'), ('PKG000453', 'TLMD', '2'), ('PKG000454', 'UPSN', 'UPSN'), ('PKG000455', 'TLMD', '1'), ('PKG000456', 'TLMD', '2'), ('PKG000457', 'UPSN', 'UPSN'), ('PKG000458', 'TLMD', '2'), ('PKG000459', 'UPSN', 'UPSN'), ('PKG000460', 'FDEG', 'FDEG'), ('PKG000461', 'TLMD', '1'), ('PKG000462', 'TLMD', '1'), ('PKG000463', 'TLMD', '2'), ('PKG000464', 'TLMD', '1'), ('PKG000465', 'TLMD', '1'), ('PKG000466', 'TLMD', '1'), ('PKG000467', 'UPSN', 'UPSN'), ('PKG000468', 'TLMD', '1'), ('PKG000469', 'TLMD', '1'), ('PKG000470', 'TLMD', '1'), ('PKG000471', 'TLMD', '1'), ('PKG000472', 'TLMD', '1')]",A
8,9,67,76.34057956842294,"[('PKG000473', 'TLMD', '2'), ('PKG000474', 'UPSN', 'UPSN'), ('PKG000475', 'TLMD', '2'), ('PKG000476', 'UPSN', 'UPSN'), ('PKG000477', 'TLMD', '1'), ('PKG000478', 'USPS', 'USPS'), ('PKG000479', 'TLMD', '1'), ('PKG000480', 'TLMD', '2'), ('PKG000481', 'TLMD', '1'), ('PKG000482', 'FDEG', 'FDEG'), ('PKG000483', 'FDEG', 'FDEG'), ('PKG000484', 'TLMD', '3AB'), ('PKG000485', 'TLMD', '1'), ('PKG000486', 'TLMD', '1'), ('PKG000487', 'FDEG', 'FDEG'), ('PKG000488', 'TLMD', '1'), ('PKG000489', 'TLMD', '2'), ('PKG000490', 'TLMD', '1'), ('PKG000491', 'TLMD', '3AB'), ('PKG000492', 'UPSN', 'UPSN'), ('PKG000493', 'TLMD', '1'), ('PKG000494', 'FDEG', 'FDEG'), ('PKG000495', 'TLMD', '1'), ('PKG000496', 'TLMD', '2'), ('PKG000497', 'TLMD', '1'), ('PKG000498', 'TLMD', '1'), ('PKG000499', 'TLMD', '2'), ('PKG000500', 'UPSN', 'UPSN'), ('PKG000501', 'TLMD', '2'), ('PKG000502', 'TLMD', '1'), ('PKG000503', 'USPS', 'USPS'), ('PKG000504', 'TLMD', '1'), ('PKG000505', 'UPSN', 'UPSN'), ('PKG000506', 'TLMD', '1'), ('PKG000507', 'UPSN', 'UPSN'), ('PKG000508', 'FDEG', 'FDEG'), ('PKG000509', 'UPSN', 'UPSN'), ('PKG000510', 'TLMD', '2'), ('PKG000511', 'TLMD', '2'), ('PKG000512', 'USPS', 'USPS'), ('PKG000513', 'TLMD', '1'), ('PKG000514', 'TLMD', '1'), ('PKG000515', 'TLMD', '2'), ('PKG000516', 'TLMD', '1'), ('PKG000517', 'TLMD', '3AB'), ('PKG000518', 'UPSN', 'UPSN'), ('PKG000519', 'USPS', 'USPS'), ('PKG000520', 'UPSN', 'UPSN'), ('PKG000521', 'TLMD', '2'), ('PKG000522', 'FDEG', 'FDEG'), ('PKG000523', 'TLMD', '2'), ('PKG000524', 'TLMD', '3AB'), ('PKG000525', 'TLMD', '1'), ('PKG000526', 'TLMD', '1'), ('PKG000527', 'UPSN', 'UPSN'), ('PKG000528', 'TLMD', '3AB'), ('PKG000529', 'UPSN', 'UPSN'), ('PKG000530', 'UPSN', 'UPSN'), ('PKG000531', 'TLMD', '1'), ('PKG000532', 'TLMD', '1'), ('PKG000533', 'TLMD', '2'), ('PKG000534', 'TLMD', '2'), ('PKG000535', 'UPSN', 'UPSN'), ('PKG000536', 'UPSN', 'UPSN'), ('PKG000537', 'TLMD', '1'), ('PKG000538', 'TLMD', '2'), ('PKG000539', 'TLMD', '3AB')]",A
9,10,67,76.34057956842294,"[('PKG000540', 'UPSN', 'UPSN'), ('PKG000541', 'TLMD', '3AB'), ('PKG000542', 'TLMD', '2'), ('PKG000543', 'TLMD', '2'), ('PKG000544', 'TLMD', '2'), ('PKG000545', 'TLMD', '2'), ('PKG000546', 'UPSN', 'UPSN'), ('PKG000547', 'TLMD', '1'), ('PKG000548', 'TLMD', '2'), ('PKG000549', 'FDEG', 'FDEG'), ('PKG000550', 'TLMD', '2'), ('PKG000551', 'TLMD', '1'), ('PKG000552', 'TLMD', '1'), ('PKG000553', 'TLMD', '1'), ('PKG000554', 'TLMD', '2'), ('PKG000555', 'UPSN', 'UPSN'), ('PKG000556', 'TLMD', '2'), ('PKG000557', 'UPSN', 'UPSN'), ('PKG000558', 'UPSN', 'UPSN'), ('PKG000559', 'TLMD', '1'), ('PKG000560', 'TLMD', '2'), ('PKG000561', 'TLMD', '1'), ('PKG000562', 'UPSN', 'UPSN'), ('PKG000563', 'FDEG', 'FDEG'), ('PKG000564', 'TLMD', '2'), ('PKG000565', 'UPSN', 'UPSN'), ('PKG000566', 'TLMD', '2'), ('PKG000567', 'TLMD', '1'), ('PKG000568', 'TLMD', '1'), ('PKG000569', 'UPSN', 'UPSN'), ('PKG000570', 'FDEG', 'FDEG'), ('PKG000571', 'TLMD', '2'), ('PKG000572', 'TLMD', '2'), ('PKG000573', 'USPS', 'USPS'), ('PKG000574', 'TLMD', '1'), ('PKG000575', 'TLMD', '1'), ('PKG000576', 'UPSN', 'UPSN'), ('PKG000577', 'TLMD', '2'), ('PKG000578', 'TLMD', '2'), ('PKG000579', 'TLMD', '2'), ('PKG000580', 'FDEG', 'FDEG'), ('PKG000581', 'USPS', 'USPS'), ('PKG000582', 'TLMD', '1'), ('PKG000583', 'TLMD', '1'), ('PKG000584', 'USPS', 'USPS'), ('PKG000585', 'TLMD', '3AB'), ('PKG000586', 'TLMD', '3AB'), ('PKG000587', 'USPS', 'USPS'), ('PKG000588', 'UPSN', 'UPSN'), ('PKG000589', 'TLMD', '1'), ('PKG000590', 'UPSN', 'UPSN'), ('PKG000591', 'USPS', 'USPS'), ('PKG000592', 'TLMD', '1'), ('PKG000593', 'TLMD', '1'), ('PKG000594', 'TLMD', '1'), ('PKG000595', 'TLMD', '2'), ('PKG000596', 'TLMD', '2'), ('PKG000597', 'TLMD', '1'), ('PKG000598', 'UPSN', 'UPSN'), ('PKG000599', 'USPS', 'USPS'), ('PKG000600', 'UPSN', 'UPSN'), ('PKG000601', 'USPS', 'USPS'), ('PKG000602', 'USPS', 'USPS'), ('PKG000603', 'TLMD', '2'), ('PKG000604', 'TLMD', '1'), ('PKG000605', 'TLMD', '2'), ('PKG000606', 'TLMD', '2')]",A
