,Truck_1_Arrival,Truck_2_Arrival,Truck_3_Arrival,Truck_4_Arrival,Truck_5_Arrival,Truck_6_Arrival,Truck_7_Arrival,Truck_8_Arrival,Truck_9_Arrival,Truck_10_Arrival,Truck_11_Arrival,Truck_12_Arrival,Truck_13_Arrival,Truck_14_Arrival,Truck_15_Arrival,Truck_1_Volume,Truck_2_Volume,Truck_3_Volume,Truck_4_Volume,Truck_5_Volume,Truck_6_Volume,Truck_7_Volume,Truck_8_Volume,Truck_9_Volume,Truck_10_Volume,Truck_11_Volume,Truck_12_Volume,Truck_13_Volume,Truck_14_Volume,Truck_15_Volume
1,69.76306279,102.3042548,119.1382544,155.3042541,174.8408018,173.3336595,199.6587402,234.1307122,224.1526956,215.5666134,187.3161773,945.5539282,931.6735085,964.9171949,916.2231227,448,509,778,183,745,939,171,392,792,714,259,129,153,130,153
2,58.03760512,114.6136939,125.085653,124.4890085,133.8214833,182.3364084,203.6280111,246.2393748,187.9200351,256.1722907,250.7693495,921.621434,910.9657863,965.2916195,934.3255024,137,839,653,319,183,1020,280,601,906,567,606,261,216,196,158
3,49.09171135,43.61811438,148.0533128,144.3434418,125.9042428,152.4233872,189.2566013,205.5268404,252.7261081,231.4167034,258.4973922,957.409051,835.2718539,960.9796462,898.8625585,250,776,638,298,841,1025,334,513,388,744,351,0,186,141,25
4,66.24926062,124.5419615,101.9635292,150.1507777,111.7815965,194.6915278,150.4991619,231.1368498,221.8356275,246.9369167,213.893679,979.3304574,977.0322402,985.3073058,851.5901426,580,493,212,385,446,731,121,453,914,526,255,91,218,268,234
5,68.33306194,120.5843857,104.4022555,154.1834283,104.8764125,185.7013396,202.6900916,244.8156175,232.0635031,239.2659006,244.3951013,955.4655505,882.3565511,950.3770242,787.3448928,536,468,791,387,370,581,151,581,1341,841,461,245,131,0,87
6,76.1518262,127.2223641,102.3921398,117.1566585,134.5129881,179.9106911,213.8830874,207.0534524,173.9612955,249.2821795,306.1076773,961.6550422,1019.898562,980.2501622,864.8338467,564,479,606,419,264,1045,0,463,827,547,191,194,399,147,57
7,69.11334168,179.3179625,122.4045239,97.45002367,135.043648,197.9841607,136.5595362,262.1663323,263.8912838,240.960305,217.0727383,947.9852981,887.1758627,1009.590445,902.0626553,315,519,547,224,49,962,166,516,959,552,452,156,331,124,42
8,54.27982879,137.2323195,119.5156143,94.11506653,161.7463297,178.700984,173.0673097,226.3459859,224.4173432,241.3320258,232.4042911,940.8420108,964.5787735,950.071479,962.3148142,347,476,739,830,712,650,435,416,367,731,157,211,224,200,237
9,82.48990746,146.4365999,118.687241,179.3918791,131.8766119,149.285793,134.3023904,252.8199322,225.8333868,243.2111828,276.4510475,936.1272199,917.7319343,986.5291396,921.7980125,271,267,543,275,895,613,355,815,703,467,405,196,179,126,73
10,85.62519369,113.9492923,74.90002451,112.7020393,112.2323958,195.2324519,155.0983847,218.8910031,206.343168,240.2019099,199.6769179,902.4175027,954.6233002,994.2762887,894.8713018,566,509,623,158,640,758,112,350,634,966,522,181,114,69,172
11,97.42143082,61.08091617,121.5347499,97.07899867,104.7783275,162.0708047,189.3843332,219.5188387,239.4531678,246.3784156,191.5299871,940.5746047,896.9610722,993.3040081,864.0867485,671,514,570,370,0,875,43,393,277,427,540,132,64,86,181
12,52.84876119,110.9041968,102.3640102,131.7651962,116.0072745,139.3204481,175.8438865,231.9996894,196.3001183,244.4061218,189.6456286,936.9475537,992.65412,937.8224513,811.0494507,520,521,722,686,535,552,23,701,746,610,429,228,140,137,96
13,85.81574571,106.7191074,120.0163765,86.2060944,144.2349215,155.818121,144.3360425,203.0862178,191.0372401,236.2475941,222.1227051,979.2674714,890.9525205,980.1709466,812.2815035,623,500,611,0,731,817,301,583,641,809,329,158,204,182,210
14,53.69235871,66.32203616,102.35184,83.72415795,159.2185679,167.1490836,204.261149,232.6358165,235.4802218,244.2114526,192.9568615,944.529725,948.9166416,966.5558245,904.4485984,372,405,920,607,371,814,280,685,466,437,337,221,355,138,176
15,45.90801632,112.9105769,135.5725715,119.009697,107.0095777,150.6957293,199.4393044,190.0854471,209.9352565,216.3827077,218.3291665,942.9819552,942.9603247,993.5298679,849.041957,462,530,733,283,873,623,424,747,730,667,288,139,235,213,234
16,43.38568053,91.80225603,135.3818002,135.2306574,88.74064193,192.3869056,182.4224973,205.2646663,231.5523584,225.2642267,255.1652169,970.7438993,948.3003808,989.2047281,827.5838276,650,333,658,301,434,244,309,647,334,550,402,184,0,108,118
17,63.79799556,82.96442407,124.8273949,109.787595,156.6810727,165.9871402,211.6834095,223.4445878,181.0413407,246.3781839,235.8156541,948.5466551,952.5615075,946.7172373,939.8615602,674,820,813,519,505,628,140,382,446,930,216,210,217,89,155
18,79.43420923,58.39027933,132.7622606,128.6135079,151.3976248,153.2887988,241.1391484,225.1696986,203.6659317,238.1324487,221.216826,937.8494813,1001.270647,996.2288841,868.5874421,455,658,624,255,269,614,16,489,582,688,574,245,122,161,138
19,72.26625852,134.2318105,111.8657126,155.1612214,149.8128519,167.4697699,132.6101869,222.5477252,238.7797627,247.1657508,197.4338893,966.382797,966.168671,970.977898,920.9001796,178,893,917,332,962,538,369,618,740,599,196,139,294,56,186
20,56.55211168,82.88066303,111.7283141,127.797981,95.67335494,130.4261499,174.2845157,241.3320191,169.9871521,215.3105564,314.4521875,937.2450877,957.4912659,970.5071201,922.5010994,457,556,535,412,477,768,222,546,703,579,431,147,326,211,0
21,37.82171605,146.9030255,97.83048781,127.6091767,107.3775226,179.5331814,215.8746828,209.7371983,237.7777513,220.1459335,207.9007354,911.7657076,902.4942179,1014.992975,909.6880536,480,614,757,330,587,612,332,531,705,518,258,289,342,81,188
22,53.99577944,185.098967,175.7489398,128.4233572,80.84049246,165.0622268,201.0105961,231.4567213,248.1901461,193.250277,221.0268728,966.3440611,994.0633836,968.9032037,818.5177241,192,443,331,234,235,574,127,794,418,608,383,81,153,160,185
23,63.22866139,111.9956047,135.9261256,86.60549732,137.0201399,177.1057535,165.8071158,199.1688243,217.897497,221.5269704,211.1289229,964.2096266,922.8486151,999.5119397,993.7440623,401,378,882,362,538,261,165,669,842,563,533,124,261,228,122
24,45.70617283,55.37708956,135.2428198,113.328767,148.8580354,132.5635684,186.9494511,224.1595203,222.0872027,232.5933192,230.1019124,931.2749484,933.5946685,985.5460105,905.8349457,379,523,735,263,673,840,211,370,688,810,453,148,241,126,165
25,56.2501834,102.1707946,103.9231636,147.117736,106.3403486,151.7088189,139.5533227,239.4951687,191.6014719,224.1746868,216.228484,952.2323714,910.4960549,993.1853475,912.6437977,368,594,1029,76,218,534,61,467,426,803,532,177,163,130,123
26,44.43014406,139.956817,106.4345924,143.0014619,111.9549678,168.5311989,170.6343874,224.0932187,240.6492778,230.9230888,196.6866204,958.3963689,908.2094504,967.8401238,930.1384108,690,396,482,408,180,813,731,501,169,744,503,114,205,172,20
27,84.97748401,87.69500048,110.0305774,142.1592543,154.5236914,177.1301229,168.7365444,236.6146145,220.3132826,252.9604618,217.577481,944.8047408,934.4574973,981.8721543,939.9352464,563,556,478,77,850,652,250,596,338,809,521,108,158,84,29
28,93.40268071,131.7894862,121.0966241,150.9028509,79.87950654,182.1258182,232.2263868,214.1349792,211.29198,263.5129232,191.3348436,931.1266135,902.5845166,948.486251,783.7718185,555,299,750,625,660,513,237,482,848,774,372,168,263,135,84
29,37.47241654,137.5114758,142.4106882,120.5244342,37.79922709,164.8423979,154.4195424,235.772891,191.4843429,224.0493105,244.570321,918.7940885,956.0647143,999.7119637,888.6553385,394,303,380,272,543,847,164,520,671,913,234,38,169,0,137
30,29.01378893,104.1115469,71.57574857,157.6976083,118.440394,159.0213449,151.1647176,222.9051198,215.7930702,248.06586,221.1380878,981.3714959,851.0835953,928.7993815,908.9005833,299,602,808,132,93,717,298,371,188,892,156,78,142,106,156
