,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
1,8300,5814,2486,2907,2035,524,872,5814,3602,2328,565,509,338,97,286,190,48,555,383,71,5,3,1,2247,1414,348,1805,447.7734678,1002.391032,360,567.9127535,878.5948964,1017.794896,1052.594896,343.1125292,342.8821238,343.0875292,341.921313,91,11,19,21,1,[],[],[],2
2,8300,5955,2345,2978,2084,343,893,5955,3151,2960,831,99,88,27,411,348,113,585,526,140,6,1,1,2050,1997,550,1358,416.4643769,1014.92789,360,554.4608055,859.6036626,894.0036626,1075.667176,357.9071828,357.121372,357.6017774,303.6600084,93,18,5,26,1,[],[],[],2
3,8300,6166,2134,3083,2158,683,925,6166,3828,2330,352,631,398,65,626,359,45,0,0,0,7,3,0,2564,1570,242,1790,447.7734678,999.0667504,360,574.8806107,907.1948964,1067.394896,1091.594896,337.57783,337.6190462,0,316.8505573,97,21,22,0,1,[],[],[],1
4,8300,5258,3042,2629,1840,405,789,5258,2847,2269,811,498,389,147,447,373,121,520,383,157,3,2,2,1379,1122,384,2373,467.3689224,1029.869344,360,576.5939224,879.8474938,1070.247494,1108.647494,315.6482845,315.7482845,316.00369,298.4629037,83,19,21,22,1,[],[],[],2
5,8300,4734,3566,2367,1657,473,710,4734,3133,3375,463,628,712,93,378,405,51,589,627,82,1,0,0,1537,1631,237,1329,415.7143769,999.0572002,360,529.4250912,595.1393769,1005.653663,1029.453663,348.8781769,348.0281769,348.6880663,82.71463442,74,17,29,26,1,[],[],[],1
6,8300,5121,3179,2560,1792,374,769,5121,3377,2028,797,819,472,176,463,282,104,470,270,122,1,0,0,1624,1004,395,2098,459.705286,1040.237939,360,566.0731431,848.9267146,1062.326715,1101.726715,321.255466,321.105466,321.205466,247.8267132,80,17,30,18,1,[],[],[],2
7,8300,4522,3778,2261,1583,454,678,4522,2616,2645,653,979,977,265,282,297,70,419,385,94,5,5,0,931,981,224,2386,467.4439224,1017.627549,360,561.8939224,820.2653509,864.0367795,1045.766835,359.3481837,360.2089945,359.7285891,354.1029134,71,13,45,18,1,[],[],[],2
8,8300,4887,3413,2444,1710,316,733,4887,3754,2106,872,534,320,113,300,166,82,1040,590,260,2,6,0,1878,1024,417,1568,439.6189224,1050.654115,360,541.3867795,789.5582081,814.5832081,1098.193401,326.9193663,327.0997717,327.3747717,296.0625481,77,11,20,38,1,[],[],[],1
9,8300,5673,2627,2836,1986,534,851,5673,2864,2745,574,208,176,33,677,627,142,342,337,82,1,2,0,1636,1603,317,2117,458.6143769,999.0281294,360,575.8965198,893.4608055,1028.860805,1060.460805,339.5293172,338.3935063,339.4847226,339.0239118,89,29,9,16,1,[],[],[],2
10,8300,5169,3131,2584,1809,516,776,5169,3254,2584,536,351,303,72,364,251,64,860,720,140,3,3,0,1676,1307,260,1926,451.9257406,1006.510404,360,559.2078834,833.004312,884.3471691,1038.24969,325.6768622,326.3072676,326.562673,300.8398843,80,14,15,35,1,[],[],[],2
