,Pallet,num_packages,earliest_arrival,packages,linehaul
0,1,58,30.056479426834382,"[('PKG000001', 'TLMD', '2'), ('PKG000002', 'TLMD', '3AB'), ('PKG000003', 'TLMD', '1'), ('PKG000004', 'FDEG', 'FDEG'), ('PKG000005', 'TLMD', '1'), ('PKG000006', 'FDEG', 'FDEG'), ('PKG000007', 'USPS', 'USPS'), ('PKG000008', 'TLMD', '1'), ('PKG000009', 'TLMD', '3AB'), ('PKG000010', 'TLMD', '2'), ('PKG000011', 'USPS', 'USPS'), ('PKG000012', 'USPS', 'USPS'), ('PKG000013', 'TLMD', '2'), ('PKG000014', 'TLMD', '3AB'), ('PKG000015', 'TLMD', '3AB'), ('PKG000016', 'USPS', 'USPS'), ('PKG000017', 'TLMD', '2'), ('PKG000018', 'USPS', 'USPS'), ('PKG000019', 'USPS', 'USPS'), ('PKG000020', 'TLMD', '2'), ('PKG000021', 'FDEG', 'FDEG'), ('PKG000022', 'UPSN', 'UPSN'), ('PKG000023', 'USPS', 'USPS'), ('PKG000024', 'TLMD', '2'), ('PKG000025', 'TLMD', '1'), ('PKG000026', 'FDEG', 'FDEG'), ('PKG000027', 'TLMD', '1'), ('PKG000028', 'FDEG', 'FDEG'), ('PKG000029', 'TLMD', '3AB'), ('PKG000030', 'TLMD', '3AB'), ('PKG000031', 'TLMD', '3AB'), ('PKG000032', 'TLMD', '2'), ('PKG000033', 'TLMD', '1'), ('PKG000034', 'USPS', 'USPS'), ('PKG000035', 'TLMD', '1'), ('PKG000036', 'TLMD', '3AB'), ('PKG000037', 'TLMD', '2'), ('PKG000038', 'TLMD', '2'), ('PKG000039', 'TLMD', '1'), ('PKG000040', 'TLMD', '1'), ('PKG000041', 'TLMD', '2'), ('PKG000042', 'TLMD', '2'), ('PKG000043', 'TLMD', '3AB'), ('PKG000044', 'TLMD', '2'), ('PKG000045', 'TLMD', '1'), ('PKG000046', 'TLMD', '1'), ('PKG000047', 'TLMD', '3AB'), ('PKG000048', 'FDEG', 'FDEG'), ('PKG000049', 'FDEG', 'FDEG'), ('PKG000050', 'TLMD', '3AB'), ('PKG000051', 'TLMD', '2'), ('PKG000052', 'TLMD', '1'), ('PKG000053', 'TLMD', '1'), ('PKG000054', 'UPSN', 'UPSN'), ('PKG000055', 'TLMD', '2'), ('PKG000056', 'USPS', 'USPS'), ('PKG000057', 'UPSN', 'UPSN'), ('PKG000058', 'TLMD', '3AB')]",A
1,2,55,30.056479426834382,"[('PKG000059', 'TLMD', '1'), ('PKG000060', 'TLMD', '2'), ('PKG000061', 'USPS', 'USPS'), ('PKG000062', 'TLMD', '2'), ('PKG000063', 'FDEG', 'FDEG'), ('PKG000064', 'USPS', 'USPS'), ('PKG000065', 'TLMD', '2'), ('PKG000066', 'USPS', 'USPS'), ('PKG000067', 'TLMD', '1'), ('PKG000068', 'TLMD', '1'), ('PKG000069', 'TLMD', '2'), ('PKG000070', 'TLMD', '3AB'), ('PKG000071', 'TLMD', '1'), ('PKG000072', 'USPS', 'USPS'), ('PKG000073', 'UPSN', 'UPSN'), ('PKG000074', 'FDEG', 'FDEG'), ('PKG000075', 'TLMD', '1'), ('PKG000076', 'TLMD', '1'), ('PKG000077', 'FDEG', 'FDEG'), ('PKG000078', 'TLMD', '3AB'), ('PKG000079', 'TLMD', '3AB'), ('PKG000080', 'USPS', 'USPS'), ('PKG000081', 'FDEG', 'FDEG'), ('PKG000082', 'UPSN', 'UPSN'), ('PKG000083', 'FDEG', 'FDEG'), ('PKG000084', 'TLMD', '2'), ('PKG000085', 'TLMD', '2'), ('PKG000086', 'USPS', 'USPS'), ('PKG000087', 'TLMD', '2'), ('PKG000088', 'TLMD', '2'), ('PKG000089', 'TLMD', '2'), ('PKG000090', 'TLMD', '1'), ('PKG000091', 'USPS', 'USPS'), ('PKG000092', 'TLMD', '1'), ('PKG000093', 'TLMD', '2'), ('PKG000094', 'TLMD', '1'), ('PKG000095', 'TLMD', '2'), ('PKG000096', 'TLMD', '1'), ('PKG000097', 'TLMD', '3AB'), ('PKG000098', 'TLMD', '3AB'), ('PKG000099', 'TLMD', '3AB'), ('PKG000100', 'TLMD', '2'), ('PKG000101', 'TLMD', '1'), ('PKG000102', 'FDEG', 'FDEG'), ('PKG000103', 'TLMD', '1'), ('PKG000104', 'TLMD', '1'), ('PKG000105', 'TLMD', '2'), ('PKG000106', 'TLMD', '1'), ('PKG000107', 'USPS', 'USPS'), ('PKG000108', 'TLMD', '2'), ('PKG000109', 'TLMD', '3AB'), ('PKG000110', 'TLMD', '3AB'), ('PKG000111', 'USPS', 'USPS'), ('PKG000112', 'TLMD', '2'), ('PKG000113', 'TLMD', '2')]",A
2,3,57,30.056479426834382,"[('PKG000114', 'TLMD', '2'), ('PKG000115', 'TLMD', '1'), ('PKG000116', 'TLMD', '2'), ('PKG000117', 'TLMD', '1'), ('PKG000118', 'TLMD', '2'), ('PKG000119', 'TLMD', '3AB'), ('PKG000120', 'FDEG', 'FDEG'), ('PKG000121', 'TLMD', '1'), ('PKG000122', 'USPS', 'USPS'), ('PKG000123', 'TLMD', '2'), ('PKG000124', 'UPSN', 'UPSN'), ('PKG000125', 'TLMD', '3AB'), ('PKG000126', 'TLMD', '1'), ('PKG000127', 'TLMD', '1'), ('PKG000128', 'TLMD', '1'), ('PKG000129', 'USPS', 'USPS'), ('PKG000130', 'TLMD', '3AB'), ('PKG000131', 'USPS', 'USPS'), ('PKG000132', 'USPS', 'USPS'), ('PKG000133', 'USPS', 'USPS'), ('PKG000134', 'TLMD', '1'), ('PKG000135', 'FDEG', 'FDEG'), ('PKG000136', 'UPSN', 'UPSN'), ('PKG000137', 'TLMD', '1'), ('PKG000138', 'TLMD', '1'), ('PKG000139', 'TLMD', '3AB'), ('PKG000140', 'TLMD', '3AB'), ('PKG000141', 'TLMD', '2'), ('PKG000142', 'TLMD', '3AB'), ('PKG000143', 'TLMD', '3AB'), ('PKG000144', 'FDEG', 'FDEG'), ('PKG000145', 'TLMD', '2'), ('PKG000146', 'USPS', 'USPS'), ('PKG000147', 'TLMD', '2'), ('PKG000148', 'TLMD', '3AB'), ('PKG000149', 'TLMD', '3AB'), ('PKG000150', 'TLMD', '1'), ('PKG000151', 'TLMD', '1'), ('PKG000152', 'TLMD', '3AB'), ('PKG000153', 'TLMD', '3AB'), ('PKG000154', 'UPSN', 'UPSN'), ('PKG000155', 'TLMD', '2'), ('PKG000156', 'TLMD', '1'), ('PKG000157', 'USPS', 'USPS'), ('PKG000158', 'FDEG', 'FDEG'), ('PKG000159', 'TLMD', '1'), ('PKG000160', 'TLMD', '3AB'), ('PKG000161', 'TLMD', '2'), ('PKG000162', 'TLMD', '3AB'), ('PKG000163', 'TLMD', '1'), ('PKG000164', 'TLMD', '3AB'), ('PKG000165', 'TLMD', '1'), ('PKG000166', 'TLMD', '1'), ('PKG000167', 'TLMD', '2'), ('PKG000168', 'FDEG', 'FDEG'), ('PKG000169', 'FDEG', 'FDEG'), ('PKG000170', 'TLMD', '2')]",A
3,4,55,30.056479426834382,"[('PKG000171', 'TLMD', '1'), ('PKG000172', 'TLMD', '1'), ('PKG000173', 'FDEG', 'FDEG'), ('PKG000174', 'TLMD', '1'), ('PKG000175', 'FDEG', 'FDEG'), ('PKG000176', 'TLMD', '3AB'), ('PKG000177', 'TLMD', '1'), ('PKG000178', 'TLMD', '2'), ('PKG000179', 'TLMD', '1'), ('PKG000180', 'TLMD', '2'), ('PKG000181', 'TLMD', '3AB'), ('PKG000182', 'TLMD', '1'), ('PKG000183', 'FDEG', 'FDEG'), ('PKG000184', 'TLMD', '3AB'), ('PKG000185', 'TLMD', '1'), ('PKG000186', 'TLMD', '2'), ('PKG000187', 'TLMD', '2'), ('PKG000188', 'FDEG', 'FDEG'), ('PKG000189', 'TLMD', '1'), ('PKG000190', 'USPS', 'USPS'), ('PKG000191', 'TLMD', '3AB'), ('PKG000192', 'FDEG', 'FDEG'), ('PKG000193', 'TLMD', '2'), ('PKG000194', 'TLMD', '3AB'), ('PKG000195', 'TLMD', '2'), ('PKG000196', 'USPS', 'USPS'), ('PKG000197', 'TLMD', '3AB'), ('PKG000198', 'FDEG', 'FDEG'), ('PKG000199', 'TLMD', '3AB'), ('PKG000200', 'FDEG', 'FDEG'), ('PKG000201', 'FDEG', 'FDEG'), ('PKG000202', 'TLMD', '2'), ('PKG000203', 'TLMD', '1'), ('PKG000204', 'USPS', 'USPS'), ('PKG000205', 'TLMD', '3AB'), ('PKG000206', 'USPS', 'USPS'), ('PKG000207', 'FDEG', 'FDEG'), ('PKG000208', 'TLMD', '1'), ('PKG000209', 'FDEG', 'FDEG'), ('PKG000210', 'TLMD', '1'), ('PKG000211', 'FDEG', 'FDEG'), ('PKG000212', 'FDEG', 'FDEG'), ('PKG000213', 'USPS', 'USPS'), ('PKG000214', 'TLMD', '1'), ('PKG000215', 'USPS', 'USPS'), ('PKG000216', 'TLMD', '2'), ('PKG000217', 'TLMD', '1'), ('PKG000218', 'USPS', 'USPS'), ('PKG000219', 'TLMD', '3AB'), ('PKG000220', 'TLMD', '2'), ('PKG000221', 'TLMD', '2'), ('PKG000222', 'USPS', 'USPS'), ('PKG000223', 'TLMD', '2'), ('PKG000224', 'FDEG', 'FDEG'), ('PKG000225', 'TLMD', '1')]",A
4,5,53,30.056479426834382,"[('PKG000226', 'TLMD', '2'), ('PKG000227', 'TLMD', '2'), ('PKG000228', 'TLMD', '3AB'), ('PKG000229', 'TLMD', '2'), ('PKG000230', 'TLMD', '1'), ('PKG000231', 'TLMD', '3AB'), ('PKG000232', 'FDEG', 'FDEG'), ('PKG000233', 'FDEG', 'FDEG'), ('PKG000234', 'TLMD', '1'), ('PKG000235', 'TLMD', '1'), ('PKG000236', 'TLMD', '1'), ('PKG000237', 'TLMD', '1'), ('PKG000238', 'FDEG', 'FDEG'), ('PKG000239', 'TLMD', '1'), ('PKG000240', 'TLMD', '3AB'), ('PKG000241', 'FDEG', 'FDEG'), ('PKG000242', 'TLMD', '2'), ('PKG000243', 'TLMD', '1'), ('PKG000244', 'USPS', 'USPS'), ('PKG000245', 'TLMD', '3AB'), ('PKG000246', 'TLMD', '1'), ('PKG000247', 'USPS', 'USPS'), ('PKG000248', 'USPS', 'USPS'), ('PKG000249', 'TLMD', '1'), ('PKG000250', 'USPS', 'USPS'), ('PKG000251', 'UPSN', 'UPSN'), ('PKG000252', 'FDEG', 'FDEG'), ('PKG000253', 'USPS', 'USPS'), ('PKG000254', 'TLMD', '3AB'), ('PKG000255', 'TLMD', '2'), ('PKG000256', 'USPS', 'USPS'), ('PKG000257', 'TLMD', '3AB'), ('PKG000258', 'TLMD', '1'), ('PKG000259', 'USPS', 'USPS'), ('PKG000260', 'TLMD', '1'), ('PKG000261', 'TLMD', '3AB'), ('PKG000262', 'TLMD', '3AB'), ('PKG000263', 'TLMD', '2'), ('PKG000264', 'TLMD', '2'), ('PKG000265', 'USPS', 'USPS'), ('PKG000266', 'TLMD', '2'), ('PKG000267', 'TLMD', '2'), ('PKG000268', 'USPS', 'USPS'), ('PKG000269', 'USPS', 'USPS'), ('PKG000270', 'TLMD', '3AB'), ('PKG000271', 'TLMD', '3AB'), ('PKG000272', 'USPS', 'USPS'), ('PKG000273', 'TLMD', '2'), ('PKG000274', 'TLMD', '3AB'), ('PKG000275', 'TLMD', '1'), ('PKG000276', 'TLMD', '1'), ('PKG000277', 'TLMD', '2'), ('PKG000278', 'TLMD', '1')]",A
5,6,55,30.056479426834382,"[('PKG000279', 'FDEG', 'FDEG'), ('PKG000280', 'UPSN', 'UPSN'), ('PKG000281', 'TLMD', '1'), ('PKG000282', 'TLMD', '1'), ('PKG000283', 'FDEG', 'FDEG'), ('PKG000284', 'TLMD', '1'), ('PKG000285', 'TLMD', '2'), ('PKG000286', 'TLMD', '2'), ('PKG000287', 'USPS', 'USPS'), ('PKG000288', 'USPS', 'USPS'), ('PKG000289', 'FDEG', 'FDEG'), ('PKG000290', 'TLMD', '1'), ('PKG000291', 'UPSN', 'UPSN'), ('PKG000292', 'FDEG', 'FDEG'), ('PKG000293', 'USPS', 'USPS'), ('PKG000294', 'USPS', 'USPS'), ('PKG000295', 'USPS', 'USPS'), ('PKG000296', 'USPS', 'USPS'), ('PKG000297', 'UPSN', 'UPSN'), ('PKG000298', 'FDEG', 'FDEG'), ('PKG000299', 'TLMD', '2'), ('PKG000300', 'USPS', 'USPS'), ('PKG000301', 'TLMD', '2'), ('PKG000302', 'TLMD', '1'), ('PKG000303', 'FDEG', 'FDEG'), ('PKG000304', 'TLMD', '1'), ('PKG000305', 'TLMD', '2'), ('PKG000306', 'TLMD', '1'), ('PKG000307', 'TLMD', '2'), ('PKG000308', 'TLMD', '1'), ('PKG000309', 'TLMD', '1'), ('PKG000310', 'UPSN', 'UPSN'), ('PKG000311', 'USPS', 'USPS'), ('PKG000312', 'TLMD', '2'), ('PKG000313', 'TLMD', '2'), ('PKG000314', 'USPS', 'USPS'), ('PKG000315', 'TLMD', '1'), ('PKG000316', 'TLMD', '1'), ('PKG000317', 'TLMD', '1'), ('PKG000318', 'TLMD', '3AB'), ('PKG000319', 'USPS', 'USPS'), ('PKG000320', 'TLMD', '2'), ('PKG000321', 'TLMD', '3AB'), ('PKG000322', 'TLMD', '3AB'), ('PKG000323', 'TLMD', '3AB'), ('PKG000324', 'TLMD', '1'), ('PKG000325', 'TLMD', '2'), ('PKG000326', 'USPS', 'USPS'), ('PKG000327', 'FDEG', 'FDEG'), ('PKG000328', 'TLMD', '2'), ('PKG000329', 'UPSN', 'UPSN'), ('PKG000330', 'TLMD', '1'), ('PKG000331', 'TLMD', '3AB'), ('PKG000332', 'UPSN', 'UPSN'), ('PKG000333', 'TLMD', '1')]",A
6,7,64,30.056479426834382,"[('PKG000334', 'TLMD', '3AB'), ('PKG000335', 'TLMD', '3AB'), ('PKG000336', 'TLMD', '2'), ('PKG000337', 'TLMD', '1'), ('PKG000338', 'UPSN', 'UPSN'), ('PKG000339', 'UPSN', 'UPSN'), ('PKG000340', 'TLMD', '2'), ('PKG000341', 'USPS', 'USPS'), ('PKG000342', 'USPS', 'USPS'), ('PKG000343', 'TLMD', '1'), ('PKG000344', 'USPS', 'USPS'), ('PKG000345', 'TLMD', '3AB'), ('PKG000346', 'TLMD', '2'), ('PKG000347', 'FDEG', 'FDEG'), ('PKG000348', 'TLMD', '2'), ('PKG000349', 'TLMD', '1'), ('PKG000350', 'TLMD', '3AB'), ('PKG000351', 'TLMD', '1'), ('PKG000352', 'UPSN', 'UPSN'), ('PKG000353', 'TLMD', '3AB'), ('PKG000354', 'TLMD', '1'), ('PKG000355', 'TLMD', '1'), ('PKG000356', 'TLMD', '1'), ('PKG000357', 'TLMD', '2'), ('PKG000358', 'FDEG', 'FDEG'), ('PKG000359', 'TLMD', '2'), ('PKG000360', 'TLMD', '1'), ('PKG000361', 'UPSN', 'UPSN'), ('PKG000362', 'UPSN', 'UPSN'), ('PKG000363', 'USPS', 'USPS'), ('PKG000364', 'TLMD', '1'), ('PKG000365', 'TLMD', '3AB'), ('PKG000366', 'UPSN', 'UPSN'), ('PKG000367', 'TLMD', '3AB'), ('PKG000368', 'TLMD', '3AB'), ('PKG000369', 'FDE', 'FDE'), ('PKG000370', 'TLMD', '3AB'), ('PKG000371', 'TLMD', '1'), ('PKG000372', 'UPSN', 'UPSN'), ('PKG000373', 'TLMD', '2'), ('PKG000374', 'FDEG', 'FDEG'), ('PKG000375', 'USPS', 'USPS'), ('PKG000376', 'FDEG', 'FDEG'), ('PKG000377', 'TLMD', '1'), ('PKG000378', 'TLMD', '2'), ('PKG000379', 'USPS', 'USPS'), ('PKG000380', 'TLMD', '1'), ('PKG000381', 'UPSN', 'UPSN'), ('PKG000382', 'FDEG', 'FDEG'), ('PKG000383', 'USPS', 'USPS'), ('PKG000384', 'USPS', 'USPS'), ('PKG000385', 'TLMD', '2'), ('PKG000386', 'TLMD', '1'), ('PKG000387', 'TLMD', '2'), ('PKG000388', 'USPS', 'USPS'), ('PKG000389', 'UPSN', 'UPSN'), ('PKG000390', 'USPS', 'USPS'), ('PKG000391', 'TLMD', '3AB'), ('PKG000392', 'TLMD', '1'), ('PKG000393', 'FDEG', 'FDEG'), ('PKG000394', 'USPS', 'USPS'), ('PKG000395', 'USPS', 'USPS'), ('PKG000396', 'TLMD', '2'), ('PKG000397', 'TLMD', '1')]",A
7,8,52,30.056479426834382,"[('PKG000398', 'TLMD', '1'), ('PKG000399', 'TLMD', '2'), ('PKG000400', 'TLMD', '2'), ('PKG000401', 'TLMD', '1'), ('PKG000402', 'TLMD', '1'), ('PKG000403', 'USPS', 'USPS'), ('PKG000404', 'TLMD', '3AB'), ('PKG000405', 'USPS', 'USPS'), ('PKG000406', 'TLMD', '3AB'), ('PKG000407', 'UPSN', 'UPSN'), ('PKG000408', 'TLMD', '3AB'), ('PKG000409', 'USPS', 'USPS'), ('PKG000410', 'USPS', 'USPS'), ('PKG000411', 'USPS', 'USPS'), ('PKG000412', 'TLMD', '2'), ('PKG000413', 'TLMD', '1'), ('PKG000414', 'FDEG', 'FDEG'), ('PKG000415', 'USPS', 'USPS'), ('PKG000416', 'FDE', 'FDE'), ('PKG000417', 'TLMD', '2'), ('PKG000418', 'UPSN', 'UPSN'), ('PKG000419', 'UPSN', 'UPSN'), ('PKG000420', 'TLMD', '2'), ('PKG000421', 'TLMD', '1'), ('PKG000422', 'USPS', 'USPS'), ('PKG000423', 'TLMD', '2'), ('PKG000424', 'FDEG', 'FDEG'), ('PKG000425', 'TLMD', '1'), ('PKG000426', 'TLMD', '1'), ('PKG000427', 'FDE', 'FDE'), ('PKG000428', 'TLMD', '2'), ('PKG000429', 'UPSN', 'UPSN'), ('PKG000430', 'TLMD', '1'), ('PKG000431', 'TLMD', '2'), ('PKG000432', 'TLMD', '3AB'), ('PKG000433', 'TLMD', '1'), ('PKG000434', 'TLMD', '1'), ('PKG000435', 'USPS', 'USPS'), ('PKG000436', 'UPSN', 'UPSN'), ('PKG000437', 'FDEG', 'FDEG'), ('PKG000438', 'USPS', 'USPS'), ('PKG000439', 'USPS', 'USPS'), ('PKG000440', 'TLMD', '3AB'), ('PKG000441', 'TLMD', '1'), ('PKG000442', 'TLMD', '2'), ('PKG000443', 'TLMD', '2'), ('PKG000444', 'TLMD', '1'), ('PKG000445', 'TLMD', '1'), ('PKG000446', 'TLMD', '1'), ('PKG000447', 'USPS', 'USPS'), ('PKG000448', 'TLMD', '1'), ('PKG000449', 'TLMD', '1')]",A
8,9,59,30.056479426834382,"[('PKG000450', 'TLMD', '2'), ('PKG000451', 'TLMD', '3AB'), ('PKG000452', 'TLMD', '2'), ('PKG000453', 'TLMD', '1'), ('PKG000454', 'TLMD', '1'), ('PKG000455', 'TLMD', '1'), ('PKG000456', 'TLMD', '1'), ('PKG000457', 'USPS', 'USPS'), ('PKG000458', 'TLMD', '1'), ('PKG000459', 'USPS', 'USPS'), ('PKG000460', 'TLMD', '1'), ('PKG000461', 'TLMD', '1'), ('PKG000462', 'UPSN', 'UPSN'), ('PKG000463', 'FDEG', 'FDEG'), ('PKG000464', 'TLMD', '3AB'), ('PKG000465', 'TLMD', '1'), ('PKG000466', 'USPS', 'USPS'), ('PKG000467', 'FDEG', 'FDEG'), ('PKG000468', 'TLMD', '2'), ('PKG000469', 'USPS', 'USPS'), ('PKG000470', 'FDEG', 'FDEG'), ('PKG000471', 'USPS', 'USPS'), ('PKG000472', 'TLMD', '1'), ('PKG000473', 'TLMD', '2'), ('PKG000474', 'TLMD', '2'), ('PKG000475', 'UPSN', 'UPSN'), ('PKG000476', 'TLMD', '1'), ('PKG000477', 'TLMD', '1'), ('PKG000478', 'TLMD', '3AB'), ('PKG000479', 'FDEG', 'FDEG'), ('PKG000480', 'TLMD', '1'), ('PKG000481', 'UPSN', 'UPSN'), ('PKG000482', 'FDEG', 'FDEG'), ('PKG000483', 'TLMD', '2'), ('PKG000484', 'FDEG', 'FDEG'), ('PKG000485', 'TLMD', '2'), ('PKG000486', 'TLMD', '2'), ('PKG000487', 'TLMD', '1'), ('PKG000488', 'TLMD', '2'), ('PKG000489', 'TLMD', '2'), ('PKG000490', 'FDEG', 'FDEG'), ('PKG000491', 'TLMD', '1'), ('PKG000492', 'TLMD', '1'), ('PKG000493', 'UPSN', 'UPSN'), ('PKG000494', 'TLMD', '2'), ('PKG000495', 'TLMD', '1'), ('PKG000496', 'FDEG', 'FDEG'), ('PKG000497', 'TLMD', '1'), ('PKG000498', 'TLMD', '2'), ('PKG000499', 'TLMD', '3AB'), ('PKG000500', 'TLMD', '1'), ('PKG000501', 'TLMD', '2'), ('PKG000502', 'TLMD', '2'), ('PKG000503', 'USPS', 'USPS'), ('PKG000504', 'USPS', 'USPS'), ('PKG000505', 'TLMD', '2'), ('PKG000506', 'TLMD', '3AB'), ('PKG000507', 'TLMD', '2'), ('PKG000508', 'FDEG', 'FDEG')]",A
9,10,40,70.6600958540713,"[('PKG000509', 'UPSN', 'UPSN'), ('PKG000510', 'USPS', 'USPS'), ('PKG000511', 'UPSN', 'UPSN'), ('PKG000512', 'TLMD', '1'), ('PKG000513', 'TLMD', '1'), ('PKG000514', 'USPS', 'USPS'), ('PKG000515', 'TLMD', '1'), ('PKG000516', 'FDEG', 'FDEG'), ('PKG000517', 'TLMD', '2'), ('PKG000518', 'TLMD', '1'), ('PKG000519', 'TLMD', '1'), ('PKG000520', 'TLMD', '1'), ('PKG000521', 'FDEG', 'FDEG'), ('PKG000522', 'TLMD', '2'), ('PKG000523', 'TLMD', '3AB'), ('PKG000524', 'TLMD', '3AB'), ('PKG000525', 'TLMD', '3AB'), ('PKG000526', 'TLMD', '1'), ('PKG000527', 'FDEG', 'FDEG'), ('PKG000528', 'UPSN', 'UPSN'), ('PKG000529', 'TLMD', '2'), ('PKG000530', 'TLMD', '1'), ('PKG000531', 'USPS', 'USPS'), ('PKG000532', 'USPS', 'USPS'), ('PKG000533', 'FDEG', 'FDEG'), ('PKG000534', 'USPS', 'USPS'), ('PKG000535', 'FDEG', 'FDEG'), ('PKG000536', 'TLMD', '2'), ('PKG000537', 'TLMD', '2'), ('PKG000538', 'TLMD', '3AB'), ('PKG000539', 'FDEG', 'FDEG'), ('PKG000540', 'USPS', 'USPS'), ('PKG000541', 'UPSN', 'UPSN'), ('PKG000542', 'TLMD', '1'), ('PKG000543', 'TLMD', '1'), ('PKG000544', 'TLMD', '3AB'), ('PKG000545', 'TLMD', '1'), ('PKG000546', 'TLMD', '1'), ('PKG000547', 'TLMD', '1'), ('PKG000548', 'USPS', 'USPS')]",A
