Pallet,num_packages,earliest_arrival,packages,linehaul
1,50,90.62314821711459,"[('PKG000001', 'UPSN', 'UPSN'), ('PKG000002', 'TLMD', '1'), ('PKG000003', 'USPS', 'USPS'), ('PKG000004', 'TLMD', '1'), ('PKG000005', 'TLMD', '1'), ('PKG000006', 'TLMD', '1'), ('PKG000007', 'USPS', 'USPS'), ('PKG000008', 'TLMD', '1'), ('PKG000009', 'TLMD', '3AB'), ('PKG000010', 'UPSN', 'UPSN'), ('PKG000011', 'TLMD', '1'), ('PKG000012', 'FDEG', 'FDEG'), ('PKG000013', 'TLMD', '1'), ('PKG000014', 'TLMD', '1'), ('PKG000015', 'USPS', 'USPS'), ('PKG000016', 'TLMD', '1'), ('PKG000017', 'TLMD', '2'), ('PKG000018', 'UPSN', 'UPSN'), ('PKG000019', 'UPSN', 'UPSN'), ('PKG000020', 'USPS', 'USPS'), ('PKG000021', 'UPSN', 'UPSN'), ('PKG000022', 'USPS', 'USPS'), ('PKG000023', 'UPSN', 'UPSN'), ('PKG000024', 'UPSN', 'UPSN'), ('PKG000025', 'UPSN', 'UPSN'), ('PKG000026', 'UPSN', 'UPSN'), ('PKG000027', 'TLMD', '2'), ('PKG000028', 'UPSN', 'UPSN'), ('PKG000029', 'TLMD', '3AB'), ('PKG000030', 'FDEG', 'FDEG'), ('PKG000031', 'UPSN', 'UPSN'), ('PKG000032', 'UPSN', 'UPSN'), ('PKG000033', 'FDEG', 'FDEG'), ('PKG000034', 'TLMD', '1'), ('PKG000035', 'UPSN', 'UPSN'), ('PKG000036', 'FDEG', 'FDEG'), ('PKG000037', 'TLMD', '1'), ('PKG000038', 'UPSN', 'UPSN'), ('PKG000039', 'UPSN', 'UPSN'), ('PKG000040', 'TLMD', '2'), ('PKG000041', 'UPSN', 'UPSN'), ('PKG000042', 'TLMD', '2'), ('PKG000043', 'FDEG', 'FDEG'), ('PKG000044', 'TLMD', '1'), ('PKG000045', 'UPSN', 'UPSN'), ('PKG000046', 'UPSN', 'UPSN'), ('PKG000047', 'UPSN', 'UPSN'), ('PKG000048', 'FDEG', 'FDEG'), ('PKG000049', 'TLMD', '3AB'), ('PKG000050', 'TLMD', '1')]",A
2,56,90.62314821711459,"[('PKG000051', 'TLMD', '1'), ('PKG000052', 'UPSN', 'UPSN'), ('PKG000053', 'USPS', 'USPS'), ('PKG000054', 'USPS', 'USPS'), ('PKG000055', 'TLMD', '1'), ('PKG000056', 'FDEG', 'FDEG'), ('PKG000057', 'USPS', 'USPS'), ('PKG000058', 'USPS', 'USPS'), ('PKG000059', 'UPSN', 'UPSN'), ('PKG000060', 'UPSN', 'UPSN'), ('PKG000061', 'FDEG', 'FDEG'), ('PKG000062', 'TLMD', '1'), ('PKG000063', 'FDEG', 'FDEG'), ('PKG000064', 'TLMD', '1'), ('PKG000065', 'UPSN', 'UPSN'), ('PKG000066', 'UPSN', 'UPSN'), ('PKG000067', 'TLMD', '2'), ('PKG000068', 'TLMD', '2'), ('PKG000069', 'TLMD', '2'), ('PKG000070', 'TLMD', '2'), ('PKG000071', 'USPS', 'USPS'), ('PKG000072', 'UPSN', 'UPSN'), ('PKG000073', 'TLMD', '2'), ('PKG000074', 'TLMD', '1'), ('PKG000075', 'TLMD', '1'), ('PKG000076', 'TLMD', '1'), ('PKG000077', 'USPS', 'USPS'), ('PKG000078', 'FDEG', 'FDEG'), ('PKG000079', 'TLMD', '1'), ('PKG000080', 'FDEG', 'FDEG'), ('PKG000081', 'TLMD', '3AB'), ('PKG000082', 'TLMD', '1'), ('PKG000083', 'USPS', 'USPS'), ('PKG000084', 'USPS', 'USPS'), ('PKG000085', 'TLMD', '2'), ('PKG000086', 'UPSN', 'UPSN'), ('PKG000087', 'TLMD', '1'), ('PKG000088', 'TLMD', '2'), ('PKG000089', 'TLMD', '1'), ('PKG000090', 'TLMD', '1'), ('PKG000091', 'TLMD', '2'), ('PKG000092', 'UPSN', 'UPSN'), ('PKG000093', 'TLMD', '1'), ('PKG000094', 'TLMD', '2'), ('PKG000095', 'TLMD', '1'), ('PKG000096', 'USPS', 'USPS'), ('PKG000097', 'FDEG', 'FDEG'), ('PKG000098', 'USPS', 'USPS'), ('PKG000099', 'TLMD', '2'), ('PKG000100', 'TLMD', '2'), ('PKG000101', 'TLMD', '1'), ('PKG000102', 'USPS', 'USPS'), ('PKG000103', 'UPSN', 'UPSN'), ('PKG000104', 'FDEG', 'FDEG'), ('PKG000105', 'FDEG', 'FDEG'), ('PKG000106', 'TLMD', '2')]",A
3,61,90.62314821711459,"[('PKG000107', 'FDEG', 'FDEG'), ('PKG000108', 'TLMD', '2'), ('PKG000109', 'USPS', 'USPS'), ('PKG000110', 'TLMD', '2'), ('PKG000111', 'USPS', 'USPS'), ('PKG000112', 'USPS', 'USPS'), ('PKG000113', 'USPS', 'USPS'), ('PKG000114', 'UPSN', 'UPSN'), ('PKG000115', 'TLMD', '1'), ('PKG000116', 'TLMD', '1'), ('PKG000117', 'USPS', 'USPS'), ('PKG000118', 'UPSN', 'UPSN'), ('PKG000119', 'TLMD', '1'), ('PKG000120', 'USPS', 'USPS'), ('PKG000121', 'FDEG', 'FDEG'), ('PKG000122', 'TLMD', '2'), ('PKG000123', 'UPSN', 'UPSN'), ('PKG000124', 'UPSN', 'UPSN'), ('PKG000125', 'TLMD', '2'), ('PKG000126', 'FDEG', 'FDEG'), ('PKG000127', 'USPS', 'USPS'), ('PKG000128', 'USPS', 'USPS'), ('PKG000129', 'TLMD', '2'), ('PKG000130', 'TLMD', '2'), ('PKG000131', 'UPSN', 'UPSN'), ('PKG000132', 'TLMD', '1'), ('PKG000133', 'TLMD', '1'), ('PKG000134', 'USPS', 'USPS'), ('PKG000135', 'UPSN', 'UPSN'), ('PKG000136', 'FDEG', 'FDEG'), ('PKG000137', 'TLMD', '2'), ('PKG000138', 'USPS', 'USPS'), ('PKG000139', 'FDEG', 'FDEG'), ('PKG000140', 'FDEG', 'FDEG'), ('PKG000141', 'TLMD', '1'), ('PKG000142', 'TLMD', '1'), ('PKG000143', 'TLMD', '1'), ('PKG000144', 'FDEG', 'FDEG'), ('PKG000145', 'TLMD', '2'), ('PKG000146', 'FDEG', 'FDEG'), ('PKG000147', 'TLMD', '2'), ('PKG000148', 'TLMD', '1'), ('PKG000149', 'TLMD', '3AB'), ('PKG000150', 'UPSN', 'UPSN'), ('PKG000151', 'USPS', 'USPS'), ('PKG000152', 'FDEG', 'FDEG'), ('PKG000153', 'TLMD', '2'), ('PKG000154', 'USPS', 'USPS'), ('PKG000155', 'UPSN', 'UPSN'), ('PKG000156', 'TLMD', '2'), ('PKG000157', 'FDEG', 'FDEG'), ('PKG000158', 'UPSN', 'UPSN'), ('PKG000159', 'UPSN', 'UPSN'), ('PKG000160', 'TLMD', '1'), ('PKG000161', 'UPSN', 'UPSN'), ('PKG000162', 'TLMD', '1'), ('PKG000163', 'USPS', 'USPS'), ('PKG000164', 'FDEG', 'FDEG'), ('PKG000165', 'TLMD', '3AB'), ('PKG000166', 'TLMD', '1'), ('PKG000167', 'USPS', 'USPS')]",A
4,49,90.62314821711459,"[('PKG000168', 'TLMD', '2'), ('PKG000169', 'TLMD', '1'), ('PKG000170', 'UPSN', 'UPSN'), ('PKG000171', 'TLMD', '1'), ('PKG000172', 'FDEG', 'FDEG'), ('PKG000173', 'FDEG', 'FDEG'), ('PKG000174', 'TLMD', '2'), ('PKG000175', 'FDEG', 'FDEG'), ('PKG000176', 'FDEG', 'FDEG'), ('PKG000177', 'TLMD', '2'), ('PKG000178', 'TLMD', '1'), ('PKG000179', 'TLMD', '1'), ('PKG000180', 'USPS', 'USPS'), ('PKG000181', 'UPSN', 'UPSN'), ('PKG000182', 'TLMD', '2'), ('PKG000183', 'TLMD', '1'), ('PKG000184', 'USPS', 'USPS'), ('PKG000185', 'UPSN', 'UPSN'), ('PKG000186', 'TLMD', '3AB'), ('PKG000187', 'TLMD', '2'), ('PKG000188', 'FDEG', 'FDEG'), ('PKG000189', 'USPS', 'USPS'), ('PKG000190', 'USPS', 'USPS'), ('PKG000191', 'TLMD', '2'), ('PKG000192', 'FDEG', 'FDEG'), ('PKG000193', 'TLMD', '1'), ('PKG000194', 'USPS', 'USPS'), ('PKG000195', 'TLMD', '1'), ('PKG000196', 'FDEG', 'FDEG'), ('PKG000197', 'TLMD', '2'), ('PKG000198', 'TLMD', '2'), ('PKG000199', 'TLMD', '2'), ('PKG000200', 'FDEG', 'FDEG'), ('PKG000201', 'USPS', 'USPS'), ('PKG000202', 'USPS', 'USPS'), ('PKG000203', 'UPSN', 'UPSN'), ('PKG000204', 'UPSN', 'UPSN'), ('PKG000205', 'TLMD', '2'), ('PKG000206', 'TLMD', '3AB'), ('PKG000207', 'TLMD', '1'), ('PKG000208', 'TLMD', '1'), ('PKG000209', 'TLMD', '2'), ('PKG000210', 'FDEG', 'FDEG'), ('PKG000211', 'TLMD', '2'), ('PKG000212', 'TLMD', '3AB'), ('PKG000213', 'UPSN', 'UPSN'), ('PKG000214', 'UPSN', 'UPSN'), ('PKG000215', 'TLMD', '1'), ('PKG000216', 'USPS', 'USPS')]",A
5,63,90.62314821711459,"[('PKG000217', 'TLMD', '1'), ('PKG000218', 'USPS', 'USPS'), ('PKG000219', 'UPSN', 'UPSN'), ('PKG000220', 'USPS', 'USPS'), ('PKG000221', 'UPSN', 'UPSN'), ('PKG000222', 'FDEG', 'FDEG'), ('PKG000223', 'FDEG', 'FDEG'), ('PKG000224', 'TLMD', '1'), ('PKG000225', 'UPSN', 'UPSN'), ('PKG000226', 'TLMD', '1'), ('PKG000227', 'USPS', 'USPS'), ('PKG000228', 'FDEG', 'FDEG'), ('PKG000229', 'TLMD', '2'), ('PKG000230', 'UPSN', 'UPSN'), ('PKG000231', 'FDEG', 'FDEG'), ('PKG000232', 'TLMD', '2'), ('PKG000233', 'UPSN', 'UPSN'), ('PKG000234', 'FDEG', 'FDEG'), ('PKG000235', 'UPSN', 'UPSN'), ('PKG000236', 'UPSN', 'UPSN'), ('PKG000237', 'TLMD', '3AB'), ('PKG000238', 'TLMD', '1'), ('PKG000239', 'TLMD', '2'), ('PKG000240', 'FDEG', 'FDEG'), ('PKG000241', 'TLMD', '1'), ('PKG000242', 'UPSN', 'UPSN'), ('PKG000243', 'USPS', 'USPS'), ('PKG000244', 'TLMD', '3AB'), ('PKG000245', 'UPSN', 'UPSN'), ('PKG000246', 'UPSN', 'UPSN'), ('PKG000247', 'UPSN', 'UPSN'), ('PKG000248', 'TLMD', '1'), ('PKG000249', 'USPS', 'USPS'), ('PKG000250', 'TLMD', '3AB'), ('PKG000251', 'TLMD', '1'), ('PKG000252', 'TLMD', '1'), ('PKG000253', 'TLMD', '2'), ('PKG000254', 'TLMD', '2'), ('PKG000255', 'TLMD', '1'), ('PKG000256', 'TLMD', '1'), ('PKG000257', 'FDEG', 'FDEG'), ('PKG000258', 'UPSN', 'UPSN'), ('PKG000259', 'TLMD', '1'), ('PKG000260', 'UPSN', 'UPSN'), ('PKG000261', 'FDEG', 'FDEG'), ('PKG000262', 'TLMD', '1'), ('PKG000263', 'USPS', 'USPS'), ('PKG000264', 'USPS', 'USPS'), ('PKG000265', 'FDEG', 'FDEG'), ('PKG000266', 'UPSN', 'UPSN'), ('PKG000267', 'TLMD', '1'), ('PKG000268', 'TLMD', '1'), ('PKG000269', 'TLMD', '2'), ('PKG000270', 'TLMD', '2'), ('PKG000271', 'UPSN', 'UPSN'), ('PKG000272', 'TLMD', '3AB'), ('PKG000273', 'USPS', 'USPS'), ('PKG000274', 'USPS', 'USPS'), ('PKG000275', 'TLMD', '2'), ('PKG000276', 'TLMD', '1'), ('PKG000277', 'TLMD', '1'), ('PKG000278', 'TLMD', '1'), ('PKG000279', 'FDEG', 'FDEG')]",A
6,62,98.50001026232056,"[('PKG000280', 'FDEG', 'FDEG'), ('PKG000281', 'FDEG', 'FDEG'), ('PKG000282', 'USPS', 'USPS'), ('PKG000283', 'UPSN', 'UPSN'), ('PKG000284', 'TLMD', '1'), ('PKG000285', 'USPS', 'USPS'), ('PKG000286', 'USPS', 'USPS'), ('PKG000287', 'UPSN', 'UPSN'), ('PKG000288', 'USPS', 'USPS'), ('PKG000289', 'FDEG', 'FDEG'), ('PKG000290', 'TLMD', '1'), ('PKG000291', 'UPSN', 'UPSN'), ('PKG000292', 'TLMD', '3AB'), ('PKG000293', 'UPSN', 'UPSN'), ('PKG000294', 'TLMD', '1'), ('PKG000295', 'USPS', 'USPS'), ('PKG000296', 'UPSN', 'UPSN'), ('PKG000297', 'USPS', 'USPS'), ('PKG000298', 'UPSN', 'UPSN'), ('PKG000299', 'TLMD', '1'), ('PKG000300', 'TLMD', '1'), ('PKG000301', 'TLMD', '2'), ('PKG000302', 'FDEG', 'FDEG'), ('PKG000303', 'TLMD', '1'), ('PKG000304', 'FDEG', 'FDEG'), ('PKG000305', 'USPS', 'USPS'), ('PKG000306', 'TLMD', '1'), ('PKG000307', 'TLMD', '1'), ('PKG000308', 'UPSN', 'UPSN'), ('PKG000309', 'TLMD', '2'), ('PKG000310', 'TLMD', '1'), ('PKG000311', 'USPS', 'USPS'), ('PKG000312', 'TLMD', '1'), ('PKG000313', 'UPSN', 'UPSN'), ('PKG000314', 'FDEG', 'FDEG'), ('PKG000315', 'TLMD', '1'), ('PKG000316', 'TLMD', '2'), ('PKG000317', 'TLMD', '2'), ('PKG000318', 'UPSN', 'UPSN'), ('PKG000319', 'USPS', 'USPS'), ('PKG000320', 'TLMD', '2'), ('PKG000321', 'TLMD', '2'), ('PKG000322', 'TLMD', '2'), ('PKG000323', 'FDEG', 'FDEG'), ('PKG000324', 'TLMD', '2'), ('PKG000325', 'USPS', 'USPS'), ('PKG000326', 'UPSN', 'UPSN'), ('PKG000327', 'FDEG', 'FDEG'), ('PKG000328', 'FDEG', 'FDEG'), ('PKG000329', 'UPSN', 'UPSN'), ('PKG000330', 'USPS', 'USPS'), ('PKG000331', 'UPSN', 'UPSN'), ('PKG000332', 'TLMD', '1'), ('PKG000333', 'TLMD', '2'), ('PKG000334', 'TLMD', '2'), ('PKG000335', 'TLMD', '2'), ('PKG000336', 'UPSN', 'UPSN'), ('PKG000337', 'TLMD', '2'), ('PKG000338', 'UPSN', 'UPSN'), ('PKG000339', 'TLMD', '1'), ('PKG000340', 'USPS', 'USPS'), ('PKG000341', 'TLMD', '2')]",A
7,41,98.50001026232056,"[('PKG000342', 'TLMD', '2'), ('PKG000343', 'UPSN', 'UPSN'), ('PKG000344', 'USPS', 'USPS'), ('PKG000345', 'USPS', 'USPS'), ('PKG000346', 'FDEG', 'FDEG'), ('PKG000347', 'TLMD', '3AB'), ('PKG000348', 'TLMD', '1'), ('PKG000349', 'UPSN', 'UPSN'), ('PKG000350', 'UPSN', 'UPSN'), ('PKG000351', 'USPS', 'USPS'), ('PKG000352', 'UPSN', 'UPSN'), ('PKG000353', 'TLMD', '1'), ('PKG000354', 'FDEG', 'FDEG'), ('PKG000355', 'USPS', 'USPS'), ('PKG000356', 'UPSN', 'UPSN'), ('PKG000357', 'USPS', 'USPS'), ('PKG000358', 'TLMD', '1'), ('PKG000359', 'TLMD', '3AB'), ('PKG000360', 'TLMD', '2'), ('PKG000361', 'FDEG', 'FDEG'), ('PKG000362', 'TLMD', '1'), ('PKG000363', 'FDEG', 'FDEG'), ('PKG000364', 'USPS', 'USPS'), ('PKG000365', 'TLMD', '1'), ('PKG000366', 'FDEG', 'FDEG'), ('PKG000367', 'FDEG', 'FDEG'), ('PKG000368', 'TLMD', '2'), ('PKG000369', 'UPSN', 'UPSN'), ('PKG000370', 'UPSN', 'UPSN'), ('PKG000371', 'TLMD', '2'), ('PKG000372', 'TLMD', '2'), ('PKG000373', 'USPS', 'USPS'), ('PKG000374', 'TLMD', '1'), ('PKG000375', 'UPSN', 'UPSN'), ('PKG000376', 'FDEG', 'FDEG'), ('PKG000377', 'TLMD', '1'), ('PKG000378', 'TLMD', '1'), ('PKG000379', 'USPS', 'USPS'), ('PKG000380', 'FDEG', 'FDEG'), ('PKG000381', 'UPSN', 'UPSN'), ('PKG000382', 'TLMD', '2')]",A
8,59,98.50001026232056,"[('PKG000383', 'TLMD', '1'), ('PKG000384', 'TLMD', '2'), ('PKG000385', 'USPS', 'USPS'), ('PKG000386', 'UPSN', 'UPSN'), ('PKG000387', 'FDEG', 'FDEG'), ('PKG000388', 'FDEG', 'FDEG'), ('PKG000389', 'TLMD', '1'), ('PKG000390', 'TLMD', '2'), ('PKG000391', 'USPS', 'USPS'), ('PKG000392', 'TLMD', '1'), ('PKG000393', 'UPSN', 'UPSN'), ('PKG000394', 'TLMD', '1'), ('PKG000395', 'TLMD', '2'), ('PKG000396', 'USPS', 'USPS'), ('PKG000397', 'TLMD', '1'), ('PKG000398', 'TLMD', '1'), ('PKG000399', 'UPSN', 'UPSN'), ('PKG000400', 'TLMD', '1'), ('PKG000401', 'TLMD', '2'), ('PKG000402', 'TLMD', '1'), ('PKG000403', 'TLMD', '1'), ('PKG000404', 'UPSN', 'UPSN'), ('PKG000405', 'UPSN', 'UPSN'), ('PKG000406', 'FDEG', 'FDEG'), ('PKG000407', 'FDEG', 'FDEG'), ('PKG000408', 'UPSN', 'UPSN'), ('PKG000409', 'FDEG', 'FDEG'), ('PKG000410', 'FDEG', 'FDEG'), ('PKG000411', 'USPS', 'USPS'), ('PKG000412', 'TLMD', '1'), ('PKG000413', 'USPS', 'USPS'), ('PKG000414', 'TLMD', '3AB'), ('PKG000415', 'TLMD', '3AB'), ('PKG000416', 'FDEG', 'FDEG'), ('PKG000417', 'TLMD', '2'), ('PKG000418', 'FDEG', 'FDEG'), ('PKG000419', 'UPSN', 'UPSN'), ('PKG000420', 'UPSN', 'UPSN'), ('PKG000421', 'FDEG', 'FDEG'), ('PKG000422', 'FDEG', 'FDEG'), ('PKG000423', 'TLMD', '1'), ('PKG000424', 'UPSN', 'UPSN'), ('PKG000425', 'FDEG', 'FDEG'), ('PKG000426', 'UPSN', 'UPSN'), ('PKG000427', 'USPS', 'USPS'), ('PKG000428', 'UPSN', 'UPSN'), ('PKG000429', 'TLMD', '3AB'), ('PKG000430', 'USPS', 'USPS'), ('PKG000431', 'TLMD', '2'), ('PKG000432', 'FDEG', 'FDEG'), ('PKG000433', 'USPS', 'USPS'), ('PKG000434', 'TLMD', '1'), ('PKG000435', 'USPS', 'USPS'), ('PKG000436', 'TLMD', '2'), ('PKG000437', 'TLMD', '2'), ('PKG000438', 'TLMD', '1'), ('PKG000439', 'TLMD', '2'), ('PKG000440', 'TLMD', '2'), ('PKG000441', 'USPS', 'USPS')]",A
9,49,98.50001026232056,"[('PKG000442', 'FDEG', 'FDEG'), ('PKG000443', 'UPSN', 'UPSN'), ('PKG000444', 'USPS', 'USPS'), ('PKG000445', 'TLMD', '3AB'), ('PKG000446', 'UPSN', 'UPSN'), ('PKG000447', 'TLMD', '2'), ('PKG000448', 'TLMD', '2'), ('PKG000449', 'USPS', 'USPS'), ('PKG000450', 'TLMD', '1'), ('PKG000451', 'TLMD', '1'), ('PKG000452', 'USPS', 'USPS'), ('PKG000453', 'UPSN', 'UPSN'), ('PKG000454', 'TLMD', '2'), ('PKG000455', 'USPS', 'USPS'), ('PKG000456', 'TLMD', '1'), ('PKG000457', 'TLMD', '1'), ('PKG000458', 'TLMD', '2'), ('PKG000459', 'USPS', 'USPS'), ('PKG000460', 'USPS', 'USPS'), ('PKG000461', 'UPSN', 'UPSN'), ('PKG000462', 'UPSN', 'UPSN'), ('PKG000463', 'USPS', 'USPS'), ('PKG000464', 'UPSN', 'UPSN'), ('PKG000465', 'FDEG', 'FDEG'), ('PKG000466', 'UPSN', 'UPSN'), ('PKG000467', 'UPSN', 'UPSN'), ('PKG000468', 'FDEG', 'FDEG'), ('PKG000469', 'USPS', 'USPS'), ('PKG000470', 'TLMD', '1'), ('PKG000471', 'TLMD', '2'), ('PKG000472', 'UPSN', 'UPSN'), ('PKG000473', 'UPSN', 'UPSN'), ('PKG000474', 'UPSN', 'UPSN'), ('PKG000475', 'TLMD', '3AB'), ('PKG000476', 'TLMD', '1'), ('PKG000477', 'FDEG', 'FDEG'), ('PKG000478', 'TLMD', '2'), ('PKG000479', 'TLMD', '1'), ('PKG000480', 'TLMD', '1'), ('PKG000481', 'TLMD', '2'), ('PKG000482', 'TLMD', '1'), ('PKG000483', 'FDEG', 'FDEG'), ('PKG000484', 'TLMD', '1'), ('PKG000485', 'USPS', 'USPS'), ('PKG000486', 'TLMD', '1'), ('PKG000487', 'UPSN', 'UPSN'), ('PKG000488', 'TLMD', '1'), ('PKG000489', 'TLMD', '2'), ('PKG000490', 'TLMD', '3AB')]",A
10,52,98.50001026232056,"[('PKG000491', 'TLMD', '1'), ('PKG000492', 'UPSN', 'UPSN'), ('PKG000493', 'UPSN', 'UPSN'), ('PKG000494', 'FDEG', 'FDEG'), ('PKG000495', 'USPS', 'USPS'), ('PKG000496', 'TLMD', '1'), ('PKG000497', 'FDEG', 'FDEG'), ('PKG000498', 'UPSN', 'UPSN'), ('PKG000499', 'USPS', 'USPS'), ('PKG000500', 'USPS', 'USPS'), ('PKG000501', 'UPSN', 'UPSN'), ('PKG000502', 'FDEG', 'FDEG'), ('PKG000503', 'UPSN', 'UPSN'), ('PKG000504', 'FDEG', 'FDEG'), ('PKG000505', 'TLMD', '2'), ('PKG000506', 'TLMD', '1'), ('PKG000507', 'USPS', 'USPS'), ('PKG000508', 'UPSN', 'UPSN'), ('PKG000509', 'USPS', 'USPS'), ('PKG000510', 'USPS', 'USPS'), ('PKG000511', 'USPS', 'USPS'), ('PKG000512', 'USPS', 'USPS'), ('PKG000513', 'UPSN', 'UPSN'), ('PKG000514', 'TLMD', '1'), ('PKG000515', 'USPS', 'USPS'), ('PKG000516', 'FDEG', 'FDEG'), ('PKG000517', 'UPSN', 'UPSN'), ('PKG000518', 'FDEG', 'FDEG'), ('PKG000519', 'TLMD', '1'), ('PKG000520', 'USPS', 'USPS'), ('PKG000521', 'UPSN', 'UPSN'), ('PKG000522', 'TLMD', '1'), ('PKG000523', 'UPSN', 'UPSN'), ('PKG000524', 'UPSN', 'UPSN'), ('PKG000525', 'TLMD', '2'), ('PKG000526', 'TLMD', '2'), ('PKG000527', 'UPSN', 'UPSN'), ('PKG000528', 'TLMD', '1'), ('PKG000529', 'FDEG', 'FDEG'), ('PKG000530', 'TLMD', '2'), ('PKG000531', 'UPSN', 'UPSN'), ('PKG000532', 'TLMD', '2'), ('PKG000533', 'UPSN', 'UPSN'), ('PKG000534', 'USPS', 'USPS'), ('PKG000535', 'TLMD', '1'), ('PKG000536', 'TLMD', '1'), ('PKG000537', 'UPSN', 'UPSN'), ('PKG000538', 'FDEG', 'FDEG'), ('PKG000539', 'UPSN', 'UPSN'), ('PKG000540', 'USPS', 'USPS'), ('PKG000541', 'TLMD', '1'), ('PKG000542', 'FDEG', 'FDEG')]",A
