,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD,PACKAGES_PER_HOUR_TOTAL,PACKAGES_PER_HOUR_END
0,8300,5476,2824,2738.0,1917.0,134.0,821.0,,1454,5810,1036,209,778,134,111,473,82,180,715,131,2,7,2,952,3837,687,441.83826017870115,1008.3337997622993,555.3489744644132,833.6311173215495,1014.4730854765851,,442.1542974439021,441.9892395288383,442.3196449342438,419.4374055520108,86.0,14.0,23.0,21.0,1.0,[],[],"[<Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B825D8EF0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B825DAB70>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B825DA660>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B825DAD50>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B825DAF00>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B825DAFC0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B825DB080>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B825DB140>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B825DB200>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B825DB2C0>]",687.0,,
1,8300,4838,3462,2419.0,1693.0,95.0,726.0,4838.0,1390,5810,1100,260,957,198,140,611,106,217,808,165,0,0,0,773,3434,631,436.897844629024,1072.4105943698678,537.7514160575944,783.4657017718756,787.9764160575897,1141.349880084168,437.4064494617901,437.2030710834134,436.8976656780079,0.0,77.0,18.0,29.0,24.0,0.0,[],[],[],1.0,18.043478260869566,20.940560777141833
2,8300,5704,2596,2852.0,1996.0,153.0,856.0,5704.0,1463,5811,1026,175,703,132,90,408,63,194,685,127,6,12,1,998,4003,703,385.9350548314453,1006.3745955456748,518.9314834028746,598.0421976885834,784.1314834028688,1082.5138812599766,385.80562877617695,385.90562877617685,386.2860341815823,381.1306287761812,89.0,12.0,21.0,21.0,1.0,[],[],[],1.0,18.043478260869566,21.803640867245313
3,8300,4712,3588,2356.0,1649.0,91.0,707.0,4712.0,1434,5810,1056,187,742,127,169,789,146,243,1004,167,4,10,0,831,3265,616,387.5563334797935,1037.5301999702156,500.7527620512231,566.2670477655053,569.8384763369336,1104.8694856845154,390.7329885056935,390.80798850569346,390.7829885056935,385.67690742461133,74.0,23.0,22.0,29.0,1.0,[],[],[],2.0,18.043478260869566,21.46744952377917
4,8300,5277,3023,2638.0,1847.0,121.0,792.0,,1468,5810,1022,123,478,88,217,849,136,191,806,126,1,7,1,936,3670,671,436.0084279417747,1022.225484305413,545.4334279417732,808.8048565131961,1033.5647700197,,436.7041949367001,436.6987895312943,436.4987895312945,415.5325733150826,83.0,25.0,14.0,23.0,1.0,[],[],"[<Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B868B1E20>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B868B14F0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B868B0AD0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B868B2B40>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B868B2CF0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B868B2DB0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B868B2E70>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B868B2F30>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B868B2FF0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B868B30B0>]",671.0,,
5,8300,5210,3090,2605.0,1823.0,107.0,782.0,5210.0,1383,5810,1107,239,1041,213,134,494,111,152,587,108,4,7,0,854,3681,675,379.81358303769207,1039.0961731229038,503.01001160912176,575.1778687519746,579.4635830376886,1112.435458837205,379.9091569824235,380.0341569824234,379.81456238782937,350.70915698245005,83.0,15.0,30.0,17.0,1.0,[],[],[],1.0,18.043478260869566,21.35600572311631
6,8300,6322,1978,3161.0,2213.0,162.0,948.0,,1442,5811,1047,42,184,24,128,508,109,161,689,126,0,5,2,1111,4425,786,446.70493550393246,1023.1264944611572,576.8692212182144,914.4977926468065,1032.0657801754437,,446.60050944866407,444.42550944866605,446.82550944866387,443.45050944866693,99.0,15.0,5.0,20.0,1.0,[],[],"[<Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FAADB0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FAC470>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FAC080>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FAC6E0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FAC7A0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FAC860>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FAC920>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FAC9E0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FACAA0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FACB60>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FACC20>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B85FACCE0>]",786.0,,
7,8300,5741,2559,,,,,,1258,5810,1232,187,809,152,92,440,87,123,539,116,4,8,2,852,4014,875,,,,,,,,,,,,,,,,,,,,,
8,8300,5749,2551,2874.0,2012.0,138.0,862.0,5749.0,1406,5810,1084,173,727,157,77,321,57,176,718,145,0,0,0,980,4044,725,386.0403918627222,1039.4126969175852,519.7761061484371,599.7511061484316,784.7511061484313,1117.7519826318876,386.1413712128594,386.16637121285936,386.28596580745347,0.0,90.0,10.0,22.0,21.0,0.0,[],[],[],1.0,18.043478260869566,21.278385105312033
9,8300,5607,2693,2804.0,1962.0,78.0,841.0,5607.0,1333,5810,1157,151,636,142,204,870,183,83,349,68,1,5,1,894,3950,763,418.1098966461746,1022.6117121546242,547.1634680747444,821.4491823604523,827.1884680747378,1104.7509978689275,418.5020922125289,418.2966868071233,417.91628140171787,408.2054705909151,88.0,26.0,19.0,10.0,1.0,[],[],[],1.0,18.043478260869566,21.469204053490863
